client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,clearing_code,bank_account,iban,swift,expired_date,last_update,wf_state,_edge_case
1000,SUP0019,Harper-Atkinson,"Smith, Kni",IT,N,N,GB995226828,82909480,GB,Z0,UKVAT,60DAYS,CHAPS,GBP,10,93-77-11,99639081,,,,2025-08-01,T,
1000,SUP0020,Taylor LLC,"Buckley, R",UTIL,N,N,GB244193987,45496015,GB,S20,UKVAT,30DAYS,INT,GBP,10,,,GB29449353487401640052,QGTOGBPA,,2021-06-04,T,
1000,SUP0021,Powell PLC,Anderson G,PROF,N,N,GB138684919,59555330,GB,Z0,UKVAT,14DAYS,CHAPS,GBP,5,26-15-49,58942697,,,,2026-01-16,T,
1000,SUP0022,Griffiths LLC,Smith-Smit,CONS,N,N,GB325567963,43491314,GB,Z0,UKVAT,30DAYS,BACS,GBP,0,81-62-89,30743797,,,,2026-03-11,T,
1000,SUP0023,"May, Cunningham and Jones",Stewart PL,GEN,N,N,GB958872154,33763566,GB,EX,UKVAT,30DAYS,CHAPS,GBP,0,52-62-95,43308443,,,,2022-07-01,T,
1000,SUP0024,Clarke Group,"O'Brien, H",UTIL,N,N,GB510751046,15197528,GB,EX,UKVAT,14DAYS,CHAPS,GBP,0,68-54-49,40547349,,,,2022-04-02,T,
1000,SUP0025,Murray Ltd,"Lawson, We",GEN,N,N,GB527849588,54058573,GB,EX,UKVAT,30DAYS,BACS,GBP,0,54-92-75,63643924,,,,2024-10-23,T,
1000,SUP0026,"Patel, Lyons and Price",Wilson LLC,UTIL,N,N,GB223847257,45059710,GB,S20,UKVAT,60DAYS,INT,GBP,0,,,GB23965569816934060883,JBRIGBL4,,2025-01-14,T,
1000,SUP0027,Fox and Sons,"Quinn, Ham",PROF,N,N,GB432091877,99508850,GB,EX,UKVAT,60DAYS,INT,GBP,5,,,GB99482366299468044369,PILRGBS2,,2025-06-19,T,
1000,SUP0028,Townsend Inc,Bruce-Smit,UTIL,N,N,GB404713332,79182797,GB,Z0,UKVAT,60DAYS,CHAPS,GBP,0,40-96-49,40150759,,,,2025-07-10,T,
1000,SUP0029,"Jones, Powell and Wood","Allen, Smi",GEN,N,N,GB126226563,16202700,GB,S20,UKVAT,COD,CHAPS,GBP,10,19-68-63,94525678,,,,2024-03-24,T,
1000,SUP0030,Bates-Glover,Nixon-Ali,IT,N,N,GB630833445,63640499,GB,S20,UKVAT,14DAYS,CHAPS,GBP,0,23-64-38,33607110,,,,2025-07-05,T,
1000,SUP0031,"Holloway, Lambert and Willis",Ahmed LLC,UTIL,N,N,GB698509918,43446826,GB,S20,UKVAT,COD,CHQ,GBP,0,,,,,,2025-06-30,T,
1000,SUP0032,Smith and Sons,"Patterson,",PROF,N,N,GB700141462,89920257,GB,EX,UKVAT,COD,CHQ,GBP,10,,,,,,2025-07-28,T,
1000,SUP0033,Gardiner Inc,Mann-Davis,PROF,N,N,GB578796089,31361812,GB,Z0,UKVAT,COD,CHQ,GBP,5,,,,,,2022-06-15,T,
1000,SUP0034,Bentley PLC,Morgan and,CONS,N,N,GB922286180,79967676,GB,EX,UKVAT,14DAYS,CHAPS,GBP,0,66-19-46,41473195,,,,2022-07-11,T,
1000,SUP0035,Stevenson Group,Taylor Inc,CONS,N,N,GB679984033,20814950,GB,S20,UKVAT,14DAYS,INT,GBP,0,,,GB59231665876036690967,AJTWGB8P,,2025-03-11,T,
1000,SUP0036,Lamb Group,Bennett-Th,IT,N,N,GB335602191,46632757,GB,EX,UKVAT,COD,CHAPS,GBP,0,59-53-95,64266464,,,,2025-01-23,T,
1000,SUP0037,Davison-Andrews,"Adams, Jon",IT,N,N,GB237039296,93517915,GB,Z0,UKVAT,30DAYS,CHAPS,GBP,5,85-82-94,13637575,,,,2021-06-21,T,
1000,SUP0038,Morgan PLC,"Freeman, M",GEN,N,N,GB595744935,34391257,GB,S20,UKVAT,60DAYS,CHQ,GBP,5,,,,,,2022-11-02,T,
1000,SUP0039,"Jones, Bell and Hill",Hunt Inc,IT,N,N,GB450948014,55298556,GB,EX,UKVAT,60DAYS,CHAPS,GBP,5,42-20-70,12601580,,,,2025-03-15,T,
1000,SUP0040,Rees Inc,"Taylor, Ah",CONS,N,N,GB340756713,97260863,GB,S20,UKVAT,30DAYS,BACS,GBP,0,41-35-12,93394260,,,,2021-11-09,T,
1000,SUP0041,"Smith, Wright and Bibi",Moss-Armst,GEN,N,N,GB608482316,99853245,GB,S20,UKVAT,14DAYS,CHAPS,GBP,5,99-42-57,32520277,,,,2024-05-25,T,
1000,SUP0042,Hudson-Martin,"McLean, Ph",GEN,N,N,GB433975497,24508768,GB,Z0,UKVAT,30DAYS,BACS,GBP,0,83-96-58,63238057,,,,2026-04-13,T,
1000,SUP0043,"Hodgson, Saunders and Mitchell",Bailey PLC,UTIL,N,N,GB735760237,94187049,GB,S20,UKVAT,30DAYS,CHAPS,GBP,0,97-86-25,85958181,,,,2025-05-22,T,
1000,SUP0044,"Turner, Ford and Dobson",Daniels-St,CONS,N,N,GB672030854,67495923,GB,Z0,UKVAT,60DAYS,BACS,GBP,0,74-92-53,11698142,,,,2025-10-06,T,
1000,SUP0045,Shaw LLC,Fraser-Lee,IT,N,N,GB213321496,68186525,GB,EX,UKVAT,COD,CHQ,GBP,0,,,,,,2023-06-11,T,
1000,SUP0046,"Stokes, Robinson and Gough","Bailey, Wa",PROF,N,N,GB798423334,46249845,GB,Z0,UKVAT,COD,CHAPS,GBP,5,65-85-44,53258988,,,,2025-10-11,T,
1000,SUP0047,"Webb, Shaw and Pritchard",Cox and So,UTIL,N,N,GB399496923,70505620,GB,S20,UKVAT,COD,CHAPS,GBP,10,88-95-58,55150390,,,,2021-02-28,T,
1000,SUP0048,Bird-Kelly,Martin-Tho,CONS,N,N,GB295249057,75437844,GB,S20,UKVAT,60DAYS,CHQ,GBP,0,,,,,,2022-11-29,T,
1000,SUP0049,Lowe-Smith,Green Grou,PROF,N,N,GB852890318,47080140,GB,Z0,UKVAT,30DAYS,INT,GBP,10,,,GB34136783777014363495,MNLTGBLZ,,2022-07-09,T,
1000,SUP0050,Thomas-Shepherd,Todd LLC,CONS,N,N,GB347538338,26194158,GB,Z0,UKVAT,14DAYS,INT,GBP,0,,,GB25823374989413435240,SDBBGBK7,,2024-07-30,T,
1000,SUP0051,Cox PLC,"Rowe, Pott",UTIL,N,N,GB113169872,87049595,GB,EX,UKVAT,COD,CHQ,GBP,5,,,,,,2023-06-22,T,
1000,SUP0052,"Cooke, Kaur and Lee","Fisher, Sy",GEN,N,N,GB155165334,43887075,GB,EX,UKVAT,30DAYS,INT,GBP,0,,,GB61719022941318699938,JXHPGBPU,,2021-05-04,T,
1000,SUP0053,Sutton-Coles,Sutton and,GEN,N,N,GB771641650,38323322,GB,EX,UKVAT,30DAYS,BACS,GBP,0,40-32-80,20075036,,,,2021-11-17,T,
1000,SUP0054,"Smith, Webb and Porter",Simpson-Mo,IT,N,N,GB583724666,89699989,GB,EX,UKVAT,60DAYS,BACS,GBP,0,39-46-46,70939053,,,,2021-05-26,T,
1000,SUP0055,Taylor and Sons,Jennings-P,CONS,N,N,GB945923902,93893865,GB,Z0,UKVAT,14DAYS,CHAPS,GBP,5,24-79-38,96924061,,,,2021-11-02,T,
1000,SUP0056,Gill-Ali,"Taylor, Ba",GEN,N,N,GB176675731,18004482,GB,S20,UKVAT,60DAYS,INT,GBP,10,,,GB82471746488771906594,AFRWGBVA,,2025-04-16,T,
1000,SUP0057,"Griffiths, Carr and Taylor",Ryan Group,PROF,N,N,GB143198431,33513701,GB,EX,UKVAT,COD,INT,GBP,0,,,GB33967175655125674680,LIIZGBOS,,2021-01-03,T,
1000,SUP0058,Rogers-James,Wilson Ltd,IT,N,N,GB158201193,35176902,GB,Z0,UKVAT,60DAYS,CHQ,GBP,10,,,,,,2025-03-30,T,
1000,SUP0059,Matthews LLC,Morgan LLC,IT,N,N,GB916033628,16927215,GB,S20,UKVAT,60DAYS,CHQ,GBP,10,,,,,,2021-09-26,T,
1000,SUP0060,Hart-Matthews,"Fry, Day a",IT,N,N,GB849740261,75056916,GB,S20,UKVAT,30DAYS,INT,GBP,10,,,GB40248086131712748467,ZGOJGB7S,,2025-12-06,T,
1000,SUP0061,Carpenter-Hunt,Thomas-And,UTIL,N,N,,65692629,GB,EX,UKVAT,60DAYS,CHAPS,GBP,0,46-48-85,87835998,,,,2024-09-13,T,SUP_VAT_MISSING
1000,SUP0062,Briggs-Sinclair,"Robinson, ",GEN,N,N,GB579476614,82287061,GB,EX,UKVAT,60DAYS,,GBP,0,,,,,,2024-02-05,T,SUP_PAY_METHOD_MISSING
1000,SUP0063,Smith Ltd,Winter-Ben,IT,N,N,GB445505799,35320492,GB,Z0,UKVAT,14DAYS,BACS,GBP,10,,,,,,2023-02-24,T,SUP_BANK_MISSING
1000,SUP0064,"Holmes, Singh and Pratt",Hargreaves,IT,N,N,GB146865930,52704903,GB,Z0,UKVAT,,CHAPS,GBP,5,59-94-93,30415230,,,,2023-10-12,T,SUP_TERMS_MISSING
1000,SUP0065,"Wall, Johnson and Adams",Peters LLC,GEN,N,N,GB639331014,89212676,GB,EX,UKVAT,30DAYS,BACS,,5,22-77-68,12059919,,,,2025-01-19,T,SUP_CURRENCY_MISSING
1000,SUP0066,"Gordon, Miles and Ahmed",Naylor-Luc,IT,N,N,12345INVALID,30718012,GB,S20,UKVAT,COD,CHAPS,GBP,0,53-89-98,63349308,,,,2024-08-23,T,SUP_VAT_FORMAT
1000,SUP0067,"Singh, Davies and Poole","Pearce, St",PROF,N,N,GB508031980,52501540,GB,Z0,UKVAT,COD,BACS,GBP,10,123456,20779739,GB14913431611724005045,JDNOGB2G,,2021-06-11,T,SUP_SORT_FORMAT
1000,SUP0068,Hussain-Sykes,"Jenkins, S",PROF,N,N,GB421214426,95756900,GB,EX,UKVAT,60DAYS,INT,GBP,5,,,GB88693792374740748217,TOOSHORT,,2022-03-25,T,SUP_SWIFT_FORMAT
1000,SUP0069,"Dobson, Jones and Hutchinson","Thompson, ",PROF,N,N,GB369108475,98473848,GB,Z0,UKVAT,14DAYS,CHAPS,GBP,0,90-92-15,51464269,,,2023-10-14,2025-06-04,T,SUP_EXPIRED_ACTIVE
1000,SUP0070,"Bibi, Green and Watson",Davies and,UTIL,N,N,GB722312633,58970845,GB,Z0,UKVAT,14DAYS,CHQ,GBP,0,,,,,,2026-02-06,W,SUP_WF_STUCK
1000,SUP0071,Kennedy Inc,Robinson P,CONS,N,Y,GB902601465,65767881,GB,S20,UKVAT,14DAYS,INT,GBP,0,,,GB79588424745171236851,UANLGBYY,,2024-04-12,T,SUP_SUNDRY
1000,SUP0072,Murphy Ltd,Chamberlai,CONS,N,N,GB216335741,41383044,GB,EX,UKVAT,30DAYS,CHQ,GBP,10,,,,,,2022-05-06,T,SUP_STALE
1000,SUP0073,Kennedy Ltd,Lawrence I,PROF,N,N,GB337691219,96926431,GB,S20,UKVAT,COD,BACS,GBP,0,,,GB93612004711382675869,TEKCGBRO,,2026-05-03,T,SUP_BACS_NO_BANK
1000,SUP0074,Lloyd-Roberts,"Weston, Pa",UTIL,N,N,GB896233790,59731689,GB,S20,UKVAT,COD,INT,GBP,5,,,GB40515850643171390053,ZUFVGBTV,,2025-07-24,T,SUP_VAT_DUP
1000,SUP0075,Murphy Group,"Hill, Moor",CONS,C,N,GB931471931,29804386,GB,Z0,UKVAT,30DAYS,CHAPS,GBP,0,28-26-79,43642236,,,2020-12-23,2025-06-24,T,SUP_INACTIVE_FOR_TRANS_JOIN
