client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_method,payment_date,pay_flag,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,last_update,wf_state
HOC,EC_M019,10062,1,INVOICE,05/10/2024,24/06/2025,31/10/2025,embrace B2C models,5501.09,5501.09,GBP,2812.35,2812.35,0,D,P,BACS,,N,12,9,INV-90440,,PO4657,,S20,1,15/01/2026,T
HOL,SUP0071,10063,1,CREDIT,17/07/2025,24/11/2024,10/10/2025,re-contextualize distributed mindshare,-6803.74,7824.3,EUR,-5512.27,5512.27,0,C,N,INT,,N,6,10,INV-84127,10013,PO3304,,S20,1.1476,23/01/2026,T
HOC,SUP0027,10064,1,INVOICE,28/01/2026,20/09/2025,08/09/2025,unleash real-time e-markets,41172.26,41172.26,GBP,31662.18,31662.18,0,D,N,BACS,,N,5,2,INV-16310,,PO7875,CN523,Z0,1,15/01/2026,T
HOC,EC_M013,10065,1,INVOICE,10/01/2025,16/02/2025,09/11/2025,e-enable compelling info-mediaries,19079.7,19079.7,GBP,16793.28,16793.28,0,D,N,BACS,,N,5,1,INV-23726,,,,Z0,1,12/02/2026,
HOC,EC_M014,10066,1,INVOICE,02/11/2024,31/05/2025,14/11/2025,incentivize ubiquitous schemas,47120.79,54188.91,EUR,46396.5,46396.5,0,D,I,CHAPS,,N,3,1,INV-36941,,PO7705,,EX,1.2851,25/12/2025,T
HOC,SUP0070,10067,1,INVOICE,27/05/2025,16/11/2025,04/03/2026,orchestrate integrated solutions,15221.33,15221.33,GBP,5588.38,5588.38,0,D,R,BACS,,N,5,11,INV-72957,,PO1421,,EX,1,26/01/2026,
HOC,EC_M004,10068,1,INVOICE,01/03/2025,20/09/2025,16/10/2025,redefine global partnerships,42266.57,42266.57,GBP,21803.1,21803.1,0,D,R,BACS,,N,6,7,INV-68428,,,,Z0,1,04/02/2026,T
HOC,EC_M016,10069,1,INVOICE,10/08/2025,16/12/2024,05/10/2025,empower next-generation supply-chains,3551.15,3551.15,GBP,2935.25,2935.25,0,D,N,INT,,N,1,7,INV-64870,,PO8779,,S20,1,03/01/2026,T
HOL,SUP0024,10070,1,INVOICE,14/05/2025,20/12/2024,27/09/2025,re-contextualize real-time synergies,20042.82,20042.82,GBP,17993.6,17993.6,0,D,N,BACS,,N,8,3,INV-31910,,PO4157,,Z0,1,22/02/2026,T
HOL,SUP0056,10071,1,INVOICE,24/10/2024,26/01/2025,15/02/2026,envisioneer seamless applications,49864.83,49864.83,GBP,36853.02,36853.02,0,D,N,CHAPS,,N,9,7,INV-46202,,PO1202,,EX,1,19/12/2025,W
HOL,SUP0092,10072,1,INVOICE,27/09/2024,09/10/2024,05/02/2026,benchmark holistic eyeballs,6069.68,6069.68,GBP,2456.7,2456.7,0,D,I,BACS,,N,5,9,INV-63856,,PO8955,,Z0,1,28/02/2026,T
HOC,SUP0068,10073,1,INVOICE,15/07/2025,04/11/2024,09/09/2025,grow compelling convergence,20447.21,20447.21,GBP,14983.13,14983.13,0,D,N,BACS,,N,12,8,INV-58816,,,CN410,Z0,1,28/01/2026,T
HOL,SUP0030,10074,1,INVOICE,02/01/2025,07/12/2024,18/11/2025,facilitate enterprise bandwidth,48638.58,48638.58,GBP,22352.84,22352.84,0,D,I,BACS,,N,4,8,INV-63368,,PO9462,CN940,S20,1,29/12/2025,T
HOL,SUP0018,10075,1,INVOICE,09/11/2024,17/04/2025,,re-contextualize world-class solutions,15900.59,18285.68,EUR,10411.02,10411.02,0,D,N,BACS,,N,4,1,INV-57235,,PO5488,,Z0,1.201,13/12/2025,
HOC,SUP0010,10076,1,INVOICE,05/06/2025,08/04/2025,06/12/2025,scale web-enabled networks,12475.94,14347.33,EUR,8011.43,8011.43,0,D,P,BACS,,N,5,1,INV-31352,,PO4511,CN762,S20,1.2355,29/01/2026,T
HOC,EC_M009,10077,1,INVOICE,24/10/2024,27/11/2025,02/10/2025,synergize bleeding-edge e-markets,1492.59,1492.59,GBP,1263.05,1263.05,0,D,N,BACS,,N,5,10,INV-50037,,PO5511,,Z0,1,19/01/2026,T
HOC,SUP0064,10078,1,INVOICE,09/04/2025,12/12/2025,,integrate turn-key info-mediaries,11301.35,11301.35,GBP,5780.66,5780.66,0,D,P,INT,,N,11,10,INV-49121,,PO8892,,Z0,1,13/12/2025,T
HOC,SUP0068,10079,1,CREDIT,18/11/2025,14/05/2025,18/02/2026,unleash enterprise architectures,-13426.77,13426.77,GBP,-10711.42,10711.42,0,C,I,CHAPS,,N,11,6,INV-13336,10063,PO5250,CN514,Z0,1,28/02/2026,W
HOL,EC_M017,10080,1,INVOICE,13/03/2025,28/12/2024,14/09/2025,repurpose B2C models,40892.73,40892.73,GBP,22090.95,22090.95,0,D,P,INT,,N,5,3,INV-83170,,PO2599,,EX,1,30/01/2026,W
HOL,SUP0054,10081,1,INVOICE,11/10/2025,17/01/2025,17/11/2025,integrate end-to-end mindshare,47372.71,47372.71,GBP,44043.06,44043.06,0,D,P,BACS,,N,5,10,INV-25437,,PO2166,,S20,1,30/12/2025,
HOC,SUP0087,10082,1,CREDIT,12/09/2024,23/10/2025,10/10/2025,benchmark open-source platforms,-26727.01,26727.01,GBP,-15746.89,15746.89,0,C,R,BACS,,N,6,12,INV-20592,10062,PO3897,,S20,1,04/03/2026,T
HOC,SUP0068,10083,1,INVOICE,27/12/2024,08/01/2025,30/01/2026,cultivate visionary platforms,10864.43,10864.43,GBP,9142.2,9142.2,0,D,I,CHAPS,,N,11,7,INV-72573,,PO1618,,EX,1,16/01/2026,
HOL,SUP0078,10084,1,INVOICE,23/01/2025,28/09/2025,06/12/2025,mesh ubiquitous synergies,37963.96,37963.96,GBP,25501.29,25501.29,0,D,P,BACS,,N,2,7,INV-50123,,PO1749,,Z0,1,05/01/2026,W
HOC,EC_M011,10085,1,CREDIT,29/10/2024,28/05/2025,15/01/2026,drive B2B e-markets,-17222.84,17222.84,GBP,-15872.26,15872.26,0,C,N,CHAPS,,N,1,4,INV-27197,10027,PO9267,,Z0,1,11/12/2025,
HOC,SUP0087,10086,1,INVOICE,11/09/2024,09/01/2026,18/09/2025,cultivate B2C partnerships,43888.93,43888.93,GBP,21025.1,21025.1,0,D,N,BACS,,N,12,2,INV-59840,,PO5140,,S20,1,06/02/2026,
HOC,SUP0072,10087,1,INVOICE,09/02/2025,24/11/2025,06/02/2026,syndicate back-end supply-chains,21333.14,21333.14,GBP,7907.89,7907.89,0,D,I,INT,,N,2,5,INV-23928,,PO4272,,EX,1,07/02/2026,T
HOC,SUP0091,10088,1,INVOICE,13/10/2024,01/06/2025,04/03/2026,re-intermediate impactful experiences,15119.88,15119.88,GBP,4953.03,4953.03,0,D,N,BACS,,N,2,10,INV-29548,,PO9383,,EX,1,20/02/2026,T
HOC,SUP0060,10089,1,INVOICE,13/12/2024,05/11/2025,20/12/2025,evolve open-source methodologies,23109.19,23109.19,GBP,22741.84,22741.84,0,D,P,BACS,,N,7,12,INV-16014,,,,EX,1,11/02/2026,T
HOC,SUP0084,10090,1,INVOICE,27/07/2025,12/12/2024,03/02/2026,iterate enterprise vortals,44779.12,44779.12,GBP,43371.37,43371.37,0,D,R,CHAPS,,N,8,5,INV-72684,,PO3732,,EX,1,25/02/2026,T
HOL,SUP0035,10091,1,INVOICE,02/11/2025,27/03/2025,03/12/2025,whiteboard holistic users,21093.37,21093.37,GBP,15050.65,15050.65,0,D,I,BACS,,N,11,12,INV-27125,,PO8997,,Z0,1,07/01/2026,
HOL,SUP0018,10092,1,INVOICE,06/01/2025,18/01/2025,11/10/2025,integrate innovative action-items,13449.84,13449.84,GBP,6993.47,6993.47,0,D,N,BACS,,N,9,9,INV-91033,,,,S20,1,02/01/2026,T
HOL,SUP0088,10093,1,CREDIT,28/01/2026,10/03/2025,26/10/2025,whiteboard front-end e-services,-7858.4,7858.4,GBP,-6903.66,6903.66,0,C,R,CHAPS,,N,3,2,INV-52026,10030,PO5557,,S20,1,24/12/2025,T
HOC,SUP0090,10094,1,INVOICE,19/12/2025,21/11/2024,14/12/2025,extend e-business e-commerce,40946.61,40946.61,GBP,14543.47,14543.47,0,D,N,CHAPS,,N,12,11,,,PO1587,,S20,1,21/02/2026,W
HOC,SUP0072,10095,1,INVOICE,12/08/2025,31/07/2025,06/01/2026,transform mission-critical systems,44560.49,44560.49,GBP,30908.62,30908.62,0,D,R,BACS,,N,9,10,INV-96136,,PO8414,,EX,1,04/02/2026,
HOL,SUP0080,10096,1,INVOICE,26/07/2025,08/02/2025,21/01/2026,leverage seamless web-readiness,18079.38,18079.38,GBP,13443.15,13443.15,0,D,R,BACS,,N,12,12,INV-24019,,PO4209,,Z0,1,05/02/2026,T
HOL,SUP0055,10097,1,INVOICE,01/12/2024,23/02/2025,09/11/2025,integrate world-class markets,35981,41378.15,USD,13508.56,13508.56,0,D,I,INT,,N,3,8,,,PO8091,CN594,EX,1.2562,10/02/2026,W
HOC,SUP0045,10098,1,INVOICE,08/11/2024,22/08/2025,26/11/2025,envisioneer synergistic relationships,36659.49,36659.49,GBP,14292.33,14292.33,0,D,R,INT,,N,12,4,INV-54939,,PO8419,CN241,Z0,1,17/12/2025,W
HOC,SUP0072,10099,1,INVOICE,25/04/2025,16/03/2025,10/01/2026,brand B2B action-items,42232.18,42232.18,GBP,28864.18,28864.18,0,D,I,BACS,,N,11,6,INV-27389,,PO3913,,EX,1,13/12/2025,T
HOC,SUP0036,10100,1,INVOICE,04/02/2025,04/07/2025,19/10/2025,mesh transparent networks,38158.36,43882.11,USD,26466.49,26466.49,0,D,R,BACS,,N,9,2,,,PO1927,,S20,1.2967,07/12/2025,T
HOC,SUP0041,10101,1,INVOICE,17/01/2026,03/08/2025,06/02/2026,innovate viral communities,42049.4,42049.4,GBP,32942.19,32942.19,0,D,I,INT,,N,4,12,INV-60972,,PO5712,,S20,1,15/01/2026,T
HOL,SUP0092,10102,1,INVOICE,27/01/2026,18/01/2025,27/09/2025,reinvent strategic e-business,47856.75,47856.75,GBP,47046.82,47046.82,0,D,R,BACS,,N,11,12,INV-58200,,PO9955,,S20,1,08/02/2026,T
HOC,EC_M001,10103,1,INVOICE,15/05/2025,03/12/2025,15/11/2025,cultivate enterprise e-business,9282.58,9282.58,GBP,7220.56,7220.56,0,D,P,INT,,N,5,3,INV-43425,,,,S20,1,27/02/2026,T
HOL,SUP0078,10104,1,INVOICE,01/09/2025,27/05/2025,15/10/2025,innovate web-enabled models,30045.58,30045.58,GBP,25285.24,25285.24,0,D,P,BACS,,N,12,6,INV-34100,,PO9276,,EX,1,26/12/2025,T
HOC,SUP0027,10105,1,INVOICE,05/09/2025,14/10/2025,27/09/2025,redefine B2B e-services,17795.45,17795.45,GBP,16342.94,16342.94,0,D,I,CHAPS,,N,9,11,,,PO8301,,EX,1,16/12/2025,W
HOL,SUP0063,10106,1,INVOICE,07/10/2024,06/12/2025,17/10/2025,target dot-com bandwidth,47965.39,55160.2,USD,37306.81,37306.81,0,D,N,INT,,N,6,9,INV-68400,,PO5856,CN297,Z0,1.2028,20/02/2026,T
HOC,EC_M012,10107,1,INVOICE,16/10/2025,17/11/2024,06/02/2026,morph value-added bandwidth,26893.69,26893.69,GBP,19870.49,19870.49,0,D,N,INT,,N,12,12,INV-94746,,PO2181,,S20,1,01/03/2026,T
HOC,SUP0079,10108,1,INVOICE,28/12/2025,14/04/2025,28/12/2025,productize front-end methodologies,2375.37,2375.37,GBP,834.4,834.4,0,D,R,CHAPS,,N,8,11,INV-51471,,,,EX,1,04/03/2026,W
HOL,SUP0018,10109,1,INVOICE,15/10/2024,21/05/2025,10/09/2025,incubate granular partnerships,37920.05,37920.05,GBP,26920.41,26920.41,0,D,P,INT,,N,2,5,INV-67367,,PO1504,,EX,1,04/02/2026,T
HOL,SUP0089,10110,1,INVOICE,03/09/2025,21/02/2025,20/09/2025,grow cross-media applications,39940.14,39940.14,GBP,35731.54,35731.54,0,D,P,BACS,,N,9,9,INV-15475,,,,EX,1,24/12/2025,
HOC,SUP0075,10111,1,INVOICE,27/10/2024,09/03/2025,27/01/2026,monetize cutting-edge portals,10897.62,10897.62,GBP,8925.17,8925.17,0,D,N,BACS,,N,4,10,INV-35470,,PO1891,CN662,Z0,1,12/12/2025,W
