client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference
HOL,SUP0057,30067,1,INVOICE,2025-05-16,2024-11-17,C,15575.43,0,GBP,
HOC,SUP0022,30068,1,INVOICE,2026-01-08,2024-09-21,C,30850.15,0,GBP,
HOC,EC_M016,30069,1,INVOICE,2024-11-27,2025-12-02,C,41579.73,0,GBP,
HOL,SUP0093,30070,1,INVOICE,2025-10-17,2025-01-26,C,9398.68,0,GBP,
HOC,SUP0053,30071,1,INVOICE,2024-11-25,2025-08-10,C,1733.15,0,GBP,
HOC,EC_M013,30072,1,INVOICE,2025-09-18,2025-10-29,C,12879.07,0,GBP,
HOL,SUP0012,30073,1,INVOICE,2025-02-26,2025-12-07,C,22745.22,0,GBP,
HOC,SUP0068,30074,1,INVOICE,2024-09-27,2025-09-22,C,36480.25,0,GBP,
HOC,SUP0049,30075,1,INVOICE,2025-09-11,2025-03-26,C,2673.35,0,GBP,
HOL,SUP0073,30076,1,CREDIT,2025-09-19,2025-10-07,C,-43202.29,0,GBP,30022.0
HOC,SUP0099,30077,1,INVOICE,2025-04-22,2024-12-03,C,21269.29,0,GBP,
HOC,SUP0037,30078,1,INVOICE,2025-10-21,2025-08-09,C,6318.92,0,GBP,
HOL,SUP0001,30079,1,INVOICE,2024-11-20,2024-10-11,C,13028.99,0,GBP,
HOC,EC_M010,30080,1,INVOICE,2024-10-15,2025-07-04,C,40469.0,0,GBP,
HOL,SUP0028,30081,1,INVOICE,2025-01-09,2024-12-07,C,24047.74,0,GBP,
HOL,SUP0011,30082,1,INVOICE,2025-05-24,2025-08-04,C,825.36,0,GBP,
HOC,SUP0007,30083,1,INVOICE,2025-03-12,2026-01-26,C,3225.66,0,GBP,
HOC,SUP0019,30084,1,CREDIT,2025-05-03,2025-03-30,C,-33516.33,0,GBP,30011.0
HOC,SUP0007,30085,1,INVOICE,2025-09-20,2025-05-17,C,49689.89,0,GBP,
HOC,SUP0079,30086,1,INVOICE,2025-09-04,2024-11-23,C,35142.42,0,GBP,
HOC,SUP0096,30087,1,INVOICE,2025-11-29,2025-05-02,C,46608.25,0,GBP,
HOC,SUP0042,30088,1,INVOICE,2025-12-25,2024-12-22,C,19257.5,0,GBP,
HOC,EC_M008,30089,1,INVOICE,2025-10-18,2025-10-31,C,14995.22,0,GBP,
HOL,SUP0089,30090,1,CREDIT,2025-01-05,2024-09-13,C,-16795.82,0,GBP,30026.0
HOC,SUP0090,30091,1,INVOICE,2024-09-09,2025-12-05,C,3380.14,0,GBP,
HOL,SUP0062,30092,1,INVOICE,2025-05-14,2024-12-22,C,30436.51,0,GBP,
HOL,SUP0078,30093,1,INVOICE,2025-03-07,2025-10-23,C,13353.17,0,GBP,
HOC,SUP0079,30094,1,INVOICE,2024-10-11,2024-10-16,C,26225.44,0,GBP,
HOC,EC_M004,30095,1,INVOICE,2025-05-11,2025-08-18,C,30665.59,0,GBP,
HOL,SUP0001,30096,1,INVOICE,2025-11-04,2025-08-04,C,23511.84,0,GBP,
HOC,EC_M003,30097,1,INVOICE,2026-01-17,2025-03-28,C,21024.29,0,GBP,
HOC,SUP0045,30098,1,INVOICE,2026-02-21,2025-08-10,C,32056.43,0,GBP,
HOL,SUP0089,30099,1,INVOICE,2025-04-23,2025-05-01,C,39614.68,0,GBP,
HOC,SUP0065,30100,1,INVOICE,2025-11-08,2025-03-28,C,38468.11,0,GBP,
HOL,SUP0044,30101,1,INVOICE,2026-02-03,2025-09-06,C,28661.62,0,GBP,
HOC,SUP0025,30102,1,INVOICE,2024-10-30,2024-11-04,C,17227.87,0,GBP,
HOC,EC_M003,30103,1,INVOICE,2025-09-26,2024-11-18,C,7219.82,0,GBP,
HOC,EC_M015,30104,1,CREDIT,2024-11-16,2025-01-05,C,-44848.47,0,GBP,30095.0
HOL,SUP0008,30105,1,INVOICE,2025-04-15,2024-09-02,C,15317.52,0,GBP,
HOL,SUP0003,30106,1,INVOICE,2025-03-07,2025-12-27,C,34431.92,0,GBP,
HOL,SUP0020,30107,1,INVOICE,2025-02-13,2024-09-03,C,2043.07,0,GBP,
HOC,EC_M008,30108,1,INVOICE,2025-08-25,2025-11-05,C,30481.61,0,GBP,
HOC,EC_M011,30109,1,INVOICE,2025-04-16,2026-01-31,C,15759.93,0,GBP,
HOL,SUP0035,30110,1,INVOICE,2025-07-04,2025-02-17,C,25104.19,0,GBP,
HOL,SUP0058,30111,1,INVOICE,2024-09-13,2025-04-29,C,15480.12,0,GBP,
HOL,SUP0023,30112,1,INVOICE,2025-08-10,2025-11-30,C,39354.73,0,GBP,
HOL,SUP0057,30113,1,INVOICE,2024-10-08,2025-09-28,C,40051.75,0,GBP,
HOC,SUP0025,30114,1,INVOICE,2024-09-14,2025-04-21,C,24431.86,0,GBP,
HOL,SUP0100,30115,1,INVOICE,2025-11-24,2024-09-22,C,38589.33,0,GBP,
HOC,SUP0087,30116,1,CREDIT,2026-01-26,2024-11-19,C,-10656.76,0,GBP,30049.0
HOL,SUP0092,30117,1,CREDIT,2025-04-20,2026-01-18,C,-6233.88,0,GBP,30087.0
HOC,EC_M009,30118,1,INVOICE,2024-11-11,2026-01-16,C,4810.26,0,GBP,
HOC,SUP0014,30119,1,INVOICE,2025-04-19,2026-02-09,C,33119.72,0,GBP,
HOL,SUP0074,30120,1,INVOICE,2025-08-02,2025-04-10,C,32123.12,0,GBP,
HOL,SUP0026,30121,1,INVOICE,2025-04-12,2024-12-08,C,14194.15,0,GBP,
HOL,SUP0086,30122,1,INVOICE,2025-05-28,2025-11-07,C,7891.38,0,GBP,
HOL,SUP0002,30123,1,CREDIT,2025-11-20,2025-08-05,C,-28201.48,0,GBP,30069.0
HOC,SUP0045,30124,1,INVOICE,2025-05-18,2025-06-27,C,13917.08,0,GBP,
HOC,SUP0022,30125,1,INVOICE,2025-03-23,2024-12-05,C,30856.51,0,GBP,
HOC,SUP0007,30126,1,INVOICE,2026-01-12,2025-11-16,C,23801.41,0,GBP,
HOL,SUP0050,30127,1,INVOICE,2025-09-02,2024-12-03,C,21610.05,0,GBP,
HOC,SUP0079,30128,1,INVOICE,2025-08-14,2024-09-04,C,16950.44,0,GBP,
HOL,SUP0011,30129,1,CREDIT,2024-11-13,2025-10-21,C,-37909.28,0,GBP,30023.0
HOC,EC_M005,30130,1,INVOICE,2025-11-25,2024-11-23,C,35080.67,0,GBP,
HOL,SUP0040,30131,1,INVOICE,2024-11-13,2024-11-08,C,35655.69,0,GBP,
HOL,SUP0030,30132,1,CREDIT,2025-06-13,2025-02-25,C,-7614.22,0,GBP,30100.0
HOL,SUP0024,30133,1,INVOICE,2025-04-06,2024-11-25,C,33426.44,0,GBP,
HOL,SUP0063,30134,1,INVOICE,2025-03-10,2024-10-30,C,24029.05,0,GBP,
HOC,SUP0060,30135,1,INVOICE,2025-03-13,2025-10-25,C,14471.74,0,GBP,
HOL,SUP0066,30136,1,INVOICE,2025-11-15,2025-04-05,C,40968.87,0,GBP,
HOC,SUP0072,30137,1,INVOICE,2024-09-05,2024-11-17,C,39725.33,0,GBP,
HOL,SUP0052,30138,1,INVOICE,2025-06-28,2025-09-23,C,12309.48,0,GBP,
HOL,SUP0062,30139,1,INVOICE,2024-12-18,2024-12-14,C,17365.35,0,GBP,
HOL,SUP0073,30140,1,INVOICE,2025-07-06,2025-09-08,C,27454.08,0,GBP,
HOL,SUP0085,30141,1,INVOICE,2024-10-22,2025-11-07,C,37098.67,0,GBP,
HOL,SUP0076,30142,1,INVOICE,2025-11-25,2024-12-04,C,16606.22,0,GBP,
HOL,SUP0023,30143,1,INVOICE,2025-11-13,2025-02-09,C,20586.79,0,GBP,
HOC,SUP0042,30144,1,INVOICE,2025-12-02,2025-07-25,C,33178.16,0,GBP,
HOC,EC_M005,30145,1,INVOICE,2026-03-04,2025-10-05,C,29248.01,0,GBP,
HOL,SUP0085,30146,1,INVOICE,2025-01-29,2024-12-02,C,26797.16,0,GBP,
HOL,SUP0026,30147,1,INVOICE,2025-05-02,2025-04-27,C,43932.55,0,GBP,
HOC,EC_M018,30148,1,CREDIT,2025-03-17,2025-12-03,C,-22018.99,0,GBP,30002.0
HOC,SUP0079,30149,1,CREDIT,2025-10-25,2025-05-07,C,-20507.77,0,GBP,30015.0
HOC,SUP0048,30150,1,CREDIT,2026-03-04,2025-03-02,C,-48411.03,0,GBP,30028.0
HOC,EC_M011,30151,1,INVOICE,2024-12-17,2025-01-25,C,2043.64,0,GBP,
HOL,SUP0081,30152,1,INVOICE,2025-02-07,2024-12-14,C,19448.09,0,GBP,
HOC,SUP0070,30153,1,INVOICE,2025-10-13,2025-08-24,C,9083.8,0,GBP,
HOC,SUP0072,30154,1,INVOICE,2025-01-01,2025-09-28,C,46261.86,0,GBP,
HOC,SUP0037,30155,1,CREDIT,2025-10-18,2026-02-21,C,-33668.27,0,GBP,30018.0
HOL,SUP0083,30156,1,INVOICE,2024-10-22,2024-12-12,C,36206.29,0,GBP,
HOL,SUP0018,30157,1,INVOICE,2025-01-03,2024-11-23,C,32291.02,0,GBP,
HOC,EC_M015,30158,1,INVOICE,2024-12-24,2025-09-01,C,30419.26,0,GBP,
HOL,SUP0059,30159,1,INVOICE,2024-11-29,2025-02-04,C,27826.48,0,GBP,
HOL,SUP0046,30160,1,INVOICE,2026-02-25,2024-10-10,C,21526.21,0,GBP,
HOC,EC_M009,30161,1,INVOICE,2025-06-02,2025-01-08,C,35750.43,0,GBP,
HOC,EC_M019,30162,1,INVOICE,2026-01-25,2024-10-26,C,18665.02,0,GBP,
HOC,SUP0091,30163,1,INVOICE,2025-12-13,2025-10-10,C,29223.3,0,GBP,
HOL,SUP0094,30164,1,INVOICE,2025-05-22,2024-11-13,C,49187.17,0,GBP,
HOC,SUP0067,30165,1,INVOICE,2025-12-04,2025-06-26,C,44550.82,0,GBP,
HOC,SUP0061,30166,1,INVOICE,2025-12-15,2025-04-19,C,33354.98,0,GBP,
HOC,SUP0079,30167,1,INVOICE,2026-02-21,2024-11-09,C,17505.54,0,GBP,
HOL,SUP0059,30168,1,INVOICE,2025-03-30,2024-12-28,C,23727.0,0,GBP,
HOL,SUP0046,30169,1,CREDIT,2025-05-12,2025-09-14,C,-40012.05,0,GBP,30009.0
HOL,SUP0089,30170,1,CREDIT,2025-06-11,2026-01-01,C,-37596.55,0,GBP,30161.0
HOC,SUP0061,30171,1,INVOICE,2025-05-10,2026-02-05,C,28856.57,0,GBP,
HOC,SUP0037,30172,1,INVOICE,2025-12-16,2025-05-24,C,6777.66,0,GBP,
HOL,SUP0033,30173,1,INVOICE,2025-06-14,2026-02-18,C,14408.11,0,GBP,
HOL,SUP0095,30174,1,INVOICE,2025-10-01,2024-12-02,C,9143.39,0,GBP,
HOC,SUP0048,30175,1,INVOICE,2025-07-06,2024-10-24,C,13432.0,0,GBP,
HOL,SUP0024,30176,1,INVOICE,2025-03-18,2025-12-08,C,43169.71,0,GBP,
HOC,SUP0019,30177,1,INVOICE,2024-10-13,2025-01-06,C,41175.33,0,GBP,
HOC,SUP0099,30178,1,INVOICE,2025-09-14,2025-08-01,C,33203.03,0,GBP,
HOL,SUP0074,30179,1,INVOICE,2025-06-07,2025-11-06,C,17581.25,0,GBP,
HOC,SUP0007,30180,1,INVOICE,2025-04-30,2024-11-02,C,20237.87,0,GBP,
HOC,SUP0096,30181,1,CREDIT,2025-07-08,2025-02-09,C,-46161.73,0,GBP,30174.0
HOC,SUP0091,30182,1,INVOICE,2024-09-07,2024-12-14,C,13499.94,0,GBP,
HOL,SUP0002,30183,1,INVOICE,2025-02-06,2025-04-15,C,39966.8,0,GBP,
HOC,SUP0068,30184,1,INVOICE,2024-09-06,2025-03-07,C,2530.37,0,GBP,
HOC,EC_M009,30185,1,INVOICE,2025-05-29,2025-03-26,C,45943.08,0,GBP,
HOL,SUP0035,30186,1,INVOICE,2025-01-28,2024-11-17,C,5364.7,0,GBP,
HOC,SUP0099,30187,1,INVOICE,2025-08-17,2024-09-18,C,12468.95,0,GBP,
HOL,SUP0044,30188,1,INVOICE,2025-04-18,2026-02-22,C,49664.13,0,GBP,
HOC,SUP0087,30189,1,INVOICE,2025-01-07,2025-11-24,C,3863.62,0,GBP,
HOC,SUP0068,30190,1,INVOICE,2025-07-23,2025-05-18,C,22574.14,0,GBP,
HOL,SUP0033,30191,1,INVOICE,2025-11-30,2026-01-05,C,1673.17,0,GBP,
HOC,SUP0077,30192,1,INVOICE,2025-10-31,2025-11-02,C,41855.23,0,GBP,
HOL,SUP0012,30193,1,CREDIT,2025-08-27,2025-11-11,C,-6930.41,0,GBP,30178.0
HOL,SUP0024,30194,1,INVOICE,2025-12-17,2024-11-25,C,23614.3,0,GBP,
HOC,EC_M019,30195,1,CREDIT,2025-04-07,2025-06-14,C,-38583.28,0,GBP,30041.0
HOL,SUP0100,30196,1,INVOICE,2025-02-06,2025-01-31,C,38966.74,0,GBP,
HOL,SUP0043,30197,1,CREDIT,2025-06-06,2025-09-03,C,-13282.81,0,GBP,30112.0
HOL,SUP0009,30198,1,INVOICE,2025-01-26,2025-09-03,C,46465.02,0,GBP,
HOL,SUP0083,30199,1,INVOICE,2024-12-18,2025-07-24,C,7621.69,0,GBP,
HOC,SUP0001,40001,1,INVOICE,2025-12-10,2025-06-21,C,6332.68,250,GBP,
HOC,SUP0001,40002,1,INVOICE,2025-12-12,,C,7296.3,0,GBP,
HOC,SUP0001,40003,1,CREDIT,2025-04-16,2025-09-27,C,-500.0,0,GBP,
HOC,SUP0001,40004,1,INVOICE,2026-01-24,2025-05-24,C,,0,GBP,
HOC,SUP0001,40005,1,INVOICE,2025-03-12,2026-02-02,C,1914.12,0,GBP,
HOC,SUP0001,40005,1,INVOICE,2025-02-27,2025-07-18,C,9362.49,0,GBP,
HOC,SUP0001,40006,1,CREDIT,2025-02-09,2025-08-18,C,-800.0,0,GBP,10001.0
HOC,EC_M019,40007,1,INVOICE,2025-04-14,2026-02-01,C,9093.87,0,GBP,
HOL,GHOST002,40008,1,INVOICE,2025-05-27,2025-06-03,C,5396.14,0,GBP,
