client,house,voucher_no,sequence_no,account,fiscal_year,period,trans_date,voucher_date,voucher_type,amount,cur_amount,currency,dc_flag,update_flag,status,apar_id,apar_type,tax_code,tax_system,description,ext_inv_ref,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CF,HOC,VHOC00006,2,2200,2026,202603,2026-03-17,2026-03-18,BACS,17235.24,,GBP,2,2,,SUPP5562,P,,,Ut quidem porro quae id.,,CC110,S301,PROJ824,,,,,2026-02-01,abrown,
CF,HOC,VHOC00007,1,1200,2026,202602,2026-02-15,2026-02-18,REVERSAL,33119.65,,GBP,1,1,,SUPP1993,P,,,Ipsa maxime commodi dolore excepturi nihil.,INV54473,CC120,S110,,,,,,2026-01-25,abrown,
CF,HOC,VHOC00007,2,2000,2026,202602,2026-02-15,2026-02-18,REVERSAL,33119.65,,GBP,2,2,,,,,,Nihil ab provident animi architecto.,,CC201,S103,,,,,,2026-02-05,abrown,
CF,HOC,VHOC00008,1,5100,2026,202601,2026-01-13,2026-01-13,JRNL,40497.1,,GBP,1,1,,SUPP4872,P,,,Similique architecto dolores.,INV73653,CC120,S210,,,,,,2026-01-08,lthomas,
CF,HOC,VHOC00008,2,1000,2026,202601,2026-01-13,2026-01-13,JRNL,34663.46,,GBP,2,2,,,,,,Distinctio consequatur vel necessitatibus labore quos rem.,,CC201,S123,,,,,,2026-02-28,lthomas,
CF,HOC,VHOC00008,3,7100,2026,202601,2026-01-13,2026-01-13,JRNL,5833.64,,GBP,2,2,,,,,,Atque omnis explicabo illum sint.,,CC210,S103,,,,,,2026-01-25,lthomas,
CF,HOC,VHOC00009,1,1100,2026,202603,2026-03-09,2026-03-10,JRNL,1563.71,,GBP,1,1,,,,,,Perferendis voluptates atque.,,CC101,S110,,,,,,2026-02-21,jsmith,
CF,HOC,VHOC00009,2,6010,2026,202603,2026-03-09,2026-03-10,JRNL,18884.45,,GBP,1,1,,,,,,Quas reiciendis autem deleniti modi consequuntur.,,CC120,S101,,,,,,2026-03-21,jsmith,
CF,HOC,VHOC00009,3,3000,2026,202603,2026-03-09,2026-03-10,JRNL,6890.5,,GBP,1,1,,CUST5272,R,,,Eius dolorum unde ipsam.,INV51180,CC121,S210,,,,,,2026-01-17,jsmith,
CF,HOC,VHOC00009,4,4000,2026,202603,2026-03-09,2026-03-10,JRNL,13747.25,,GBP,2,2,,,,,,Atque officiis molestiae accusamus at quidem dolores.,,CC210,S200,,,,,,2026-01-10,jsmith,
CF,HOC,VHOC00009,5,5200,2026,202603,2026-03-09,2026-03-10,JRNL,2223.21,,GBP,2,2,,SUPP2200,P,,,Laborum distinctio id animi fugiat voluptates.,,CC121,S103,,,,,,2026-02-14,jsmith,
CF,HOC,VHOC00009,6,3000,2026,202603,2026-03-09,2026-03-10,JRNL,11368.2,,GBP,2,2,,,,,,Unde quos eligendi possimus quas.,,CC200,S123,,,,,,2026-01-21,jsmith,
CF,HOC,VHOC00010,1,1200,2026,202603,2026-03-12,2026-03-14,APINV,39709.3,,GBP,1,1,,,,,,Optio laborum deleniti dolor animi quasi aperiam.,,CC101,S103,PROJ999,,,,,2026-02-04,dbaker,
CF,HOC,VHOC00010,2,2200,2026,202603,2026-03-12,2026-03-14,APINV,9491.44,,GBP,1,1,,,,,,Animi nesciunt magnam sequi culpa vero.,,CC200,S110,PROJ999,,,,,2026-03-29,dbaker,
CF,HOC,VHOC00010,3,3100,2026,202603,2026-03-12,2026-03-14,APINV,26024.22,,GBP,2,2,,,,,,Sed architecto architecto similique.,,CC210,S123,PROJ999,,,,,2026-01-07,dbaker,
CF,HOC,VHOC00010,4,8010,2026,202603,2026-03-12,2026-03-14,APINV,6834.81,,GBP,2,2,,CUST5533,R,,,Blanditiis tempora doloribus nisi nulla in.,INV53719,CC110,S123,PROJ999,,,,,2026-01-21,dbaker,
CF,HOC,VHOC00010,5,6000,2026,202603,2026-03-12,2026-03-14,APINV,16341.71,,GBP,2,2,,,,,,Natus et ea pariatur et eaque consectetur officia.,,CC201,S101,PROJ999,,,,,2026-01-15,dbaker,
CA,HOC,VHOC00011,1,1010,2026,202601,2026-01-17,2026-01-17,JRNL,29334.22,,GBP,1,1,,,,,,Et quibusdam asperiores itaque voluptatum voluptatum asperiores.,,CC200,S110,,,,,,2026-03-29,swilliams,
CA,HOC,VHOC00011,2,1200,2026,202601,2026-01-17,2026-01-17,JRNL,4344.92,,GBP,2,2,,,,,,Magni consequatur expedita architecto doloribus.,,CC200,S210,,,,,,2026-03-21,swilliams,
CA,HOC,VHOC00011,3,3000,2026,202601,2026-01-17,2026-01-17,JRNL,24989.3,,GBP,2,2,,,,,,Culpa rerum provident nostrum voluptates.,,CC110,S103,,,,,,2026-02-22,swilliams,
CA,HOC,VHOC00012,1,4100,2026,202602,2026-02-04,2026-02-05,JRNL,34743.84,,GBP,1,1,,CUST4644,R,,,Ab repellendus error optio vel consequatur blanditiis.,INV70332,CC121,S110,PROJ993,,,,,2026-01-29,dbaker,
CA,HOC,VHOC00012,2,8010,2026,202602,2026-02-04,2026-02-05,JRNL,5466.8,,GBP,1,1,,SUPP7528,P,,,Quia culpa eligendi distinctio.,INV19099,CC121,S200,PROJ993,,,,,2026-03-24,dbaker,
CA,HOC,VHOC00012,3,7010,2026,202602,2026-02-04,2026-02-05,JRNL,32600.13,,GBP,2,2,,,,,,Dignissimos odio eaque laborum temporibus sapiente.,,CC200,S101,PROJ993,,,,,2026-01-15,dbaker,
CA,HOC,VHOC00012,4,3100,2026,202602,2026-02-04,2026-02-05,JRNL,7610.51,,GBP,2,2,,,,,,Odio repudiandae aliquid ex.,,CC110,S123,PROJ993,,,,,2026-01-05,dbaker,
CA,HOC,VHOC00013,1,4010,2026,202603,2026-03-15,2026-03-16,APINV,17206.35,,GBP,1,1,,SUPP6967,P,,,Odio ea qui mollitia.,INV97062,CC200,S102,,,,,,2026-02-08,kpatel,
CA,HOC,VHOC00013,2,7010,2026,202603,2026-03-15,2026-03-16,APINV,22221.84,,GBP,1,1,,,,,,Natus beatae velit porro corrupti alias.,,CC201,S200,,,,,,2026-02-21,kpatel,
CA,HOC,VHOC00013,3,6000,2026,202603,2026-03-15,2026-03-16,APINV,4560.47,,GBP,2,2,,,,,,Nesciunt corporis consectetur est tempore recusandae.,,CC110,S110,,,,,,2026-02-23,kpatel,
CA,HOC,VHOC00013,4,4200,2026,202603,2026-03-15,2026-03-16,APINV,34245.2,,GBP,2,2,,,,,,Tempore distinctio dolorum.,,CC110,S123,,,,,,2026-02-21,kpatel,
CA,HOC,VHOC00013,5,1000,2026,202603,2026-03-15,2026-03-16,APINV,622.52,,GBP,2,2,,,,,,Explicabo nam soluta voluptate.,,CC121,S123,,,,,,2026-01-27,kpatel,
CF,HOC,VHOC00014,1,1100,2026,202601,2026-01-22,2026-01-22,APINV,5026.17,,GBP,1,1,,,,,,Unde dolores cum reiciendis.,,CC120,S123,,,,,,2026-01-29,swilliams,
CF,HOC,VHOC00014,2,2000,2026,202601,2026-01-22,2026-01-22,APINV,5372.18,,GBP,1,1,,,,,,Sunt ad qui ex.,,CC100,S101,,,,,,2026-02-01,swilliams,
CF,HOC,VHOC00014,3,6100,2026,202601,2026-01-22,2026-01-22,APINV,13118.57,,GBP,1,1,,,,,,Rem sint repellat eaque ratione autem.,,CC101,S301,,,,,,2026-02-23,swilliams,
CF,HOC,VHOC00014,4,6010,2026,202601,2026-01-22,2026-01-22,APINV,11127.94,,GBP,2,2,,,,,,Similique dolore repellendus.,,CC120,S210,,,,,,2026-03-05,swilliams,
CF,HOC,VHOC00014,5,2000,2026,202601,2026-01-22,2026-01-22,APINV,12388.98,,GBP,2,2,,,,,,Expedita reprehenderit sit dolore optio id eius.,,CC100,S102,,,,,,2026-02-24,swilliams,
CA,HOC,VHOC00015,1,5200,2026,202603,2026-03-01,2026-03-03,JRNL,13096.26,16760.84,EUR,1,1,,,,,,Vitae eius odit id.,,CC201,S301,,,,,,2026-01-21,lthomas,
CA,HOC,VHOC00015,2,3100,2026,202603,2026-03-01,2026-03-03,JRNL,8459.07,10308.8,EUR,1,1,,,,,,Ex adipisci soluta ea neque voluptates alias.,,CC120,S123,,,,,,2026-03-08,lthomas,
CA,HOC,VHOC00015,3,5010,2026,202603,2026-03-01,2026-03-03,JRNL,1939.89,2249.91,EUR,1,1,,,,,,Ipsa quas et non maiores harum nemo ducimus.,,CC101,S123,,,,,,2026-01-31,lthomas,
CA,HOC,VHOC00015,4,6000,2026,202603,2026-03-01,2026-03-03,JRNL,2852.1,3365.27,EUR,2,2,,,,,,A unde modi quaerat quia perferendis.,,CC101,S103,,,,,,2026-01-20,lthomas,
CA,HOC,VHOC00015,5,7100,2026,202603,2026-03-01,2026-03-03,JRNL,281.46,358.44,EUR,2,2,,,,,,Inventore veniam ullam numquam optio commodi.,,CC120,S102,,,,,,2026-02-23,lthomas,
CA,HOC,VHOC00015,6,5001,2026,202603,2026-03-01,2026-03-03,JRNL,20361.66,25159.94,EUR,2,2,,,,,,Magni pariatur eveniet possimus mollitia.,,CC100,S110,,,,,,2026-02-23,lthomas,
CF,HOC,VHOC00016,1,3000,2026,202602,2026-02-19,2026-02-22,APINV,19328.86,,GBP,1,1,,,,,,In velit perspiciatis temporibus nulla.,,CC210,S110,,,,,,2026-02-04,dbaker,
CF,HOC,VHOC00016,2,1000,2026,202602,2026-02-19,2026-02-22,APINV,114.95,,GBP,2,2,,,,,,Illo rerum esse distinctio ratione.,,CC201,S200,,,,,,2026-03-27,dbaker,
CF,HOC,VHOC00016,3,4200,2026,202602,2026-02-19,2026-02-22,APINV,6684.44,,GBP,2,2,,,,,,Omnis iure ipsam distinctio labore temporibus recusandae cumque.,,CC110,S301,,,,,,2026-01-17,dbaker,
CF,HOC,VHOC00016,4,6000,2026,202602,2026-02-19,2026-02-22,APINV,12529.47,,GBP,2,2,,,,,,Eligendi optio nulla at.,,CC100,S210,,,,,,2026-03-17,dbaker,
CM,HOC,VHOC00017,1,8010,2026,202601,2026-01-28,2026-01-31,BACS,363.81,,GBP,1,1,,,,,,Perferendis dolore dicta ad doloribus.,,CC201,S123,,,,,,2026-01-11,jsmith,
CM,HOC,VHOC00017,2,8000,2026,202601,2026-01-28,2026-01-31,BACS,2968.4,,GBP,1,1,,,,,,Nostrum quisquam iste suscipit nemo quaerat fugit.,,CC100,S200,,,,,,2026-01-29,jsmith,
CM,HOC,VHOC00017,3,8010,2026,202601,2026-01-28,2026-01-31,BACS,3884.91,,GBP,1,1,,,,,,Doloribus omnis ab quibusdam quo autem.,,CC100,S101,,,,,,2026-02-01,jsmith,
CM,HOC,VHOC00017,4,1000,2026,202601,2026-01-28,2026-01-31,BACS,2736.28,,GBP,2,2,,,,,,Dolor rem possimus iure nam totam.,,CC110,S110,,,,,,2026-01-17,jsmith,
CM,HOC,VHOC00017,5,1200,2026,202601,2026-01-28,2026-01-31,BACS,4480.84,,GBP,2,2,,,,,,Itaque reiciendis pariatur voluptates.,,CC120,S301,,,,,,2026-03-31,jsmith,
CF,HOC,VHOC00018,1,4200,2026,202603,2026-03-16,2026-03-16,ACCRUAL,34627.88,,GBP,1,1,,,,,,Et quidem ipsam repellendus tempora incidunt tenetur ipsum.,,CC201,S110,,,,,,2026-01-10,abrown,
CF,HOC,VHOC00018,2,7000,2026,202603,2026-03-16,2026-03-16,ACCRUAL,2864.92,,GBP,1,1,,,,,,Quia labore ea doloribus.,,CC120,S102,,,,,,2026-03-31,abrown,
CF,HOC,VHOC00018,3,7010,2026,202603,2026-03-16,2026-03-16,ACCRUAL,10712.07,,GBP,1,1,,,,,,Quisquam maxime occaecati earum aspernatur.,,CC101,S101,,,,,,2026-02-14,abrown,
CF,HOC,VHOC00018,4,7010,2026,202603,2026-03-16,2026-03-16,ACCRUAL,7894.98,,GBP,2,2,,,,,,Doloremque excepturi tempora aspernatur corrupti.,,CC200,S102,,,,,,2026-03-06,abrown,
CF,HOC,VHOC00018,5,1000,2026,202603,2026-03-16,2026-03-16,ACCRUAL,7098.99,,GBP,2,2,,,,,,Possimus provident aperiam illum molestiae impedit.,,CC201,S301,,,,,,2026-01-14,abrown,
CF,HOC,VHOC00018,6,4100,2026,202603,2026-03-16,2026-03-16,ACCRUAL,33210.9,,GBP,2,2,,,,,,Rerum harum quo veniam accusantium.,,CC210,S103,,,,,,2026-02-25,abrown,
CA,HOC,VHOC00019,1,3100,2026,202603,2026-03-17,2026-03-19,APINV,21799.08,,GBP,1,1,,,,,,Fugit ab explicabo quidem sequi veritatis in.,,CC210,S110,,,,,,2026-03-01,dbaker,
CA,HOC,VHOC00019,2,7010,2026,202603,2026-03-17,2026-03-19,APINV,18706.78,,GBP,1,1,,,,,,Reiciendis tempore laborum earum laborum harum pariatur.,,CC201,S200,,,,,,2026-01-04,dbaker,
CA,HOC,VHOC00019,3,4010,2026,202603,2026-03-17,2026-03-19,APINV,17643.45,,GBP,2,2,,,,,,Quam saepe ullam voluptatem modi tenetur.,,CC110,S301,,,,,,2026-01-28,dbaker,
CA,HOC,VHOC00019,4,3100,2026,202603,2026-03-17,2026-03-19,APINV,1941.07,,GBP,2,2,,,,,,Natus ad odit consequatur iure amet fugiat distinctio.,,CC200,S123,,,,,,2026-03-18,dbaker,
CA,HOC,VHOC00019,5,3100,2026,202603,2026-03-17,2026-03-19,APINV,20921.34,,GBP,2,2,,,,,,Excepturi sunt eius veritatis in rerum.,,CC100,S110,,,,,,2026-01-11,dbaker,
CA,HOC,VHOC00020,1,7010,2026,202601,2026-01-03,2026-01-03,REVERSAL,17024.23,,GBP,1,1,,,,,,Accusantium molestiae voluptatum expedita officiis quos officiis.,,CC200,S301,,,,,,2026-03-12,kpatel,
CA,HOC,VHOC00020,2,5001,2026,202601,2026-01-03,2026-01-03,REVERSAL,5378.72,,GBP,1,1,,,,,,Veniam dicta accusantium.,,CC200,S200,,,,,,2026-03-31,kpatel,
CA,HOC,VHOC00020,3,4000,2026,202601,2026-01-03,2026-01-03,REVERSAL,12282.21,,GBP,1,1,,,,,,Dolores labore beatae veniam.,,CC121,S110,,,,,,2026-01-16,kpatel,
CA,HOC,VHOC00020,4,4010,2026,202601,2026-01-03,2026-01-03,REVERSAL,34685.16,,GBP,2,2,,,,,,Praesentium quisquam cumque non quibusdam beatae reprehenderit.,,CC101,S103,,,,,,2026-01-25,kpatel,
CA,HOC,VHOC00021,1,1010,2026,202601,2026-01-30,2026-02-01,REVERSAL,13822.67,,GBP,1,1,,,,,,Autem ad est perspiciatis vero.,,CC100,S123,PROJ646,,,,,2026-03-31,mjones,
CA,HOC,VHOC00021,2,7000,2026,202601,2026-01-30,2026-02-01,REVERSAL,11801.62,,GBP,1,1,,,,,,Velit dicta nihil rerum doloribus possimus.,,CC210,S102,PROJ646,,,,,2026-01-02,mjones,
CA,HOC,VHOC00021,3,5100,2026,202601,2026-01-30,2026-02-01,REVERSAL,23217.76,,GBP,1,1,,,,,,Sed nobis commodi voluptates quos.,,CC210,S301,PROJ646,,,,,2026-02-13,mjones,
CA,HOC,VHOC00021,4,1010,2026,202601,2026-01-30,2026-02-01,REVERSAL,4910.7,,GBP,2,2,,,,,,Minus optio architecto officia accusamus in.,,CC121,S301,PROJ646,,,,,2026-01-15,mjones,
CA,HOC,VHOC00021,5,4200,2026,202601,2026-01-30,2026-02-01,REVERSAL,4571.01,,GBP,2,2,,,,,,Autem vero odio repudiandae provident ipsa quasi.,,CC210,S102,PROJ646,,,,,2026-03-15,mjones,
CA,HOC,VHOC00021,6,1010,2026,202601,2026-01-30,2026-02-01,REVERSAL,39360.34,,GBP,2,2,,,,,,Nulla ullam quo iure repudiandae.,,CC110,S103,PROJ646,,,,,2026-03-14,mjones,
CF,HOC,VHOC00022,1,5001,2026,202601,2026-01-29,2026-02-01,BACS,38339.95,,GBP,1,1,,,,,,Eaque sequi rerum assumenda sunt doloribus iure nostrum.,,CC121,S101,,,,,,2026-03-20,abrown,
CF,HOC,VHOC00022,2,1200,2026,202601,2026-01-29,2026-02-01,BACS,23245.98,,GBP,2,2,,,,,,Excepturi laudantium eveniet laborum explicabo ea.,,CC120,S110,,,,,,2026-02-03,abrown,
CF,HOC,VHOC00022,3,2100,2026,202601,2026-01-29,2026-02-01,BACS,7070.41,,GBP,2,2,,,,,,Sunt praesentium eius ab veniam.,,CC120,S103,,,,,,2026-03-12,abrown,
CF,HOC,VHOC00022,4,5100,2026,202601,2026-01-29,2026-02-01,BACS,8023.56,,GBP,2,2,,SUPP7693,P,,,Dolores illo nam dolores.,INV87832,CC121,S101,,,,,,2026-01-30,abrown,
CF,HOC,VHOC00023,1,3100,2026,202603,2026-03-22,2026-03-23,ACCRUAL,31897.69,,GBP,1,1,,,,,,Officia laudantium recusandae at dolore porro esse.,,CC110,S102,,,,,,2026-01-08,dbaker,
CF,HOC,VHOC00023,2,4000,2026,202603,2026-03-22,2026-03-23,ACCRUAL,2627.86,,GBP,1,1,,,,,,Fuga mollitia exercitationem voluptatum mollitia explicabo iste esse.,,CC121,S301,,,,,,2026-01-16,dbaker,
CF,HOC,VHOC00023,3,4000,2026,202603,2026-03-22,2026-03-23,ACCRUAL,34525.55,,GBP,2,2,,,,,,Blanditiis deserunt blanditiis modi quis.,,CC201,S123,,,,,,2026-03-06,dbaker,
CM,HOC,VHOC00024,1,6010,2026,202602,2026-02-02,2026-02-02,REVERSAL,2473.11,,GBP,1,1,,,,,,Deleniti qui eius nihil.,,CC100,S123,,,,,,2026-03-15,kpatel,
CM,HOC,VHOC00024,2,5010,2026,202602,2026-02-02,2026-02-02,REVERSAL,797.49,,GBP,2,2,,SUPP8708,P,,,Nisi voluptatem rerum eos facere esse provident.,,CC121,S103,,,,,,2026-03-16,kpatel,
CM,HOC,VHOC00024,3,5100,2026,202602,2026-02-02,2026-02-02,REVERSAL,271.1,,GBP,2,2,,,,,,Earum voluptate mollitia possimus.,,CC101,S301,,,,,,2026-02-14,kpatel,
CM,HOC,VHOC00024,4,4010,2026,202602,2026-02-02,2026-02-02,REVERSAL,1404.52,,GBP,2,2,,,,,,Odit quidem aut accusamus.,,CC101,S103,,,,,,2026-02-12,kpatel,
CF,HOC,VHOC00025,1,7010,2026,202602,2026-02-11,2026-02-11,REVERSAL,18544.03,24979.36,EUR,1,1,,,,,,Iusto ipsam delectus amet velit.,,CC210,S210,,,,,,2026-01-07,mjones,
CF,HOC,VHOC00025,2,8010,2026,202602,2026-02-11,2026-02-11,REVERSAL,3884.14,4623.85,EUR,1,1,,,,,,Beatae aperiam laudantium neque placeat corrupti repellat.,,CC210,S301,,,,,,2026-01-07,mjones,
CF,HOC,VHOC00025,3,4000,2026,202602,2026-02-11,2026-02-11,REVERSAL,18343.35,22696.32,EUR,1,1,,,,,,Assumenda dolorum nam impedit nisi.,,CC210,S301,,,,,,2026-01-16,mjones,
CF,HOC,VHOC00025,4,1100,2026,202602,2026-02-11,2026-02-11,REVERSAL,12823.71,15876.56,EUR,2,2,,SUPP3594,P,,,Dolorem minima ipsum ipsam similique voluptatibus esse numquam.,INV11792,CC120,S102,,,,,,2026-03-01,mjones,
CF,HOC,VHOC00025,5,2000,2026,202602,2026-02-11,2026-02-11,REVERSAL,27947.81,35268.11,EUR,2,2,,,,,,Vero aut quis numquam eaque aspernatur dolores mollitia.,,CC210,S123,,,,,,2026-03-07,mjones,
CM,HOC,VHOC00026,1,5001,2026,202603,2026-03-18,2026-03-19,ACCRUAL,6926.37,,GBP,1,1,,,,,,A ipsum nisi eos.,,CC200,S123,,,,,,2026-01-01,kpatel,
CM,HOC,VHOC00026,2,4000,2026,202603,2026-03-18,2026-03-19,ACCRUAL,5638.31,,GBP,1,1,,,,,,Enim eligendi similique architecto doloremque.,,CC210,S103,,,,,,2026-02-27,kpatel,
CM,HOC,VHOC00026,3,4100,2026,202603,2026-03-18,2026-03-19,ACCRUAL,4819.87,,GBP,2,2,,,,,,Ratione numquam optio ut incidunt.,,CC200,S210,,,,,,2026-02-28,kpatel,
CM,HOC,VHOC00026,4,2200,2026,202603,2026-03-18,2026-03-19,ACCRUAL,7744.81,,GBP,2,2,,,,,,Dolore corrupti eaque consequuntur animi recusandae nisi.,,CC120,S210,,,,,,2026-01-30,kpatel,
CF,HOC,VHOC00027,1,4010,2026,202603,2026-03-25,2026-03-26,BACS,13670.81,,GBP,1,1,,,,,,Ullam ipsa iusto esse illo earum molestiae.,,CC101,S301,PROJ614,,,,,2026-01-13,mjones,
CF,HOC,VHOC00027,2,5010,2026,202603,2026-03-25,2026-03-26,BACS,15059.57,,GBP,1,1,,,,,,Aspernatur aliquam inventore eum dolorum at.,,CC100,S103,PROJ614,,,,,2026-02-22,mjones,
CF,HOC,VHOC00027,3,2000,2026,202603,2026-03-25,2026-03-26,BACS,6678.4,,GBP,1,1,,,,,,Nesciunt accusantium quisquam reprehenderit nemo quis cupiditate.,,CC101,S301,PROJ614,,,,,2026-02-03,mjones,
CF,HOC,VHOC00027,4,7100,2026,202603,2026-03-25,2026-03-26,BACS,23500.08,,GBP,2,2,,,,,,Officiis totam delectus nesciunt odio laudantium at.,,CC201,S102,PROJ614,,,,,2026-02-12,mjones,
CF,HOC,VHOC00027,5,6000,2026,202603,2026-03-25,2026-03-26,BACS,11908.7,,GBP,2,2,,,,,,Illum eum autem cum illum libero.,,CC201,S200,PROJ614,,,,,2026-03-22,mjones,
CM,HOC,VHOC00028,1,1000,2026,202602,2026-02-06,2026-02-07,REVERSAL,7293.49,,GBP,1,1,,SUPP8269,P,,,Repellendus mollitia iste et eum voluptas.,INV49251,CC100,S200,,,,,,2026-01-08,lthomas,
CM,HOC,VHOC00028,2,4100,2026,202602,2026-02-06,2026-02-07,REVERSAL,13966.49,,GBP,1,1,,,,,,Sint repudiandae a sit iure amet.,,CC201,S103,,,,,,2026-02-01,lthomas,
CM,HOC,VHOC00028,3,6010,2026,202602,2026-02-06,2026-02-07,REVERSAL,9804.26,,GBP,1,1,,,,,,Facere quidem numquam quis dignissimos molestias unde.,,CC110,S103,,,,,,2026-01-23,lthomas,
CM,HOC,VHOC00028,4,2000,2026,202602,2026-02-06,2026-02-07,REVERSAL,31064.24,,GBP,2,2,,CUST4945,R,,,Sunt laborum adipisci occaecati reiciendis quae.,INV86435,CC120,S301,,,,,,2026-03-23,lthomas,
CF,HOC,VHOC00029,1,4000,2026,202603,2026-03-11,2026-03-12,REVERSAL,12942.69,,GBP,1,1,,,,,,Mollitia mollitia at voluptatibus totam.,,CC201,S123,,,,,,2026-02-28,mjones,
