client,house,voucher_no,sequence_no,account,fiscal_year,period,trans_date,voucher_date,voucher_type,amount,cur_amount,currency,dc_flag,update_flag,status,apar_id,apar_type,tax_code,tax_system,description,ext_inv_ref,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
LA,HOL,VHOL00005,3,3100,2026,202603,2026-03-25,2026-03-25,JRNL,4081.56,,GBP,2,2,,,,,,Fugit nisi eos magni inventore recusandae.,,CC100,S200,,,,,,2026-03-06,jsmith,
LA,HOL,VHOL00006,1,6000,2026,202601,2026-01-10,2026-01-10,ACCRUAL,2757.29,,GBP,1,1,,,,,,Sequi officiis quisquam quam.,,CC100,S301,,,,,,2026-03-15,kpatel,
LA,HOL,VHOL00006,2,4010,2026,202601,2026-01-10,2026-01-10,ACCRUAL,558.77,,GBP,1,1,,,,,,Inventore suscipit impedit repudiandae id.,,CC210,S103,,,,,,2026-01-08,kpatel,
LA,HOL,VHOL00006,3,4010,2026,202601,2026-01-10,2026-01-10,ACCRUAL,3316.06,,GBP,2,2,,,,,,Est est ducimus veritatis.,,CC101,S103,,,,,,2026-01-06,kpatel,
LA,HOL,VHOL00007,1,6100,2026,202603,2026-03-28,2026-03-28,REVERSAL,11166.62,,GBP,1,1,,SUPP7333,P,,,Architecto rerum at atque qui repellat nam.,INV96057,CC110,S200,,,,,,2026-01-11,kpatel,
LA,HOL,VHOL00007,2,2000,2026,202603,2026-03-28,2026-03-28,REVERSAL,16999.78,,GBP,1,1,,,,,,Vero natus pariatur illum sit velit in totam.,,CC200,S123,,,,,,2026-03-25,kpatel,
LA,HOL,VHOL00007,3,4200,2026,202603,2026-03-28,2026-03-28,REVERSAL,2518.97,,GBP,1,1,,,,,,Voluptas nobis expedita.,,CC110,S102,,,,,,2026-02-09,kpatel,
LA,HOL,VHOL00007,4,7000,2026,202603,2026-03-28,2026-03-28,REVERSAL,11888.25,,GBP,2,2,,,,,,Magni culpa laboriosam sed expedita nam beatae.,,CC200,S103,,,,,,2026-03-27,kpatel,
LA,HOL,VHOL00007,5,8000,2026,202603,2026-03-28,2026-03-28,REVERSAL,11875.94,,GBP,2,2,,,,,,Nemo rem sapiente voluptate repellendus.,,CC101,S210,,,,,,2026-03-07,kpatel,
LA,HOL,VHOL00007,6,4100,2026,202603,2026-03-28,2026-03-28,REVERSAL,6921.18,,GBP,2,2,,,,,,Perferendis nam non omnis possimus adipisci earum quis.,,CC121,S103,,,,,,2026-01-28,kpatel,
LA,HOL,VHOL00008,1,5200,2026,202602,2026-02-07,2026-02-07,REVERSAL,8169.79,,GBP,1,1,,,,,,Expedita delectus corporis omnis architecto qui.,,CC100,S200,,,,,,2026-03-21,abrown,
LA,HOL,VHOL00008,2,4200,2026,202602,2026-02-07,2026-02-07,REVERSAL,8169.79,,GBP,2,2,,,,,,At minus fugiat.,,CC110,S103,,,,,,2026-01-24,abrown,
LA,HOL,VHOL00009,1,5100,2026,202602,2026-02-06,2026-02-09,REVERSAL,8071.79,,GBP,1,1,,,,,,Exercitationem fuga quam quod necessitatibus assumenda amet.,,CC120,S200,,,,,,2026-03-28,jsmith,
LA,HOL,VHOL00009,2,5010,2026,202602,2026-02-06,2026-02-09,REVERSAL,25908.17,,GBP,1,1,,,,,,Quidem amet aspernatur ipsam.,,CC210,S123,,,,,,2026-02-18,jsmith,
LA,HOL,VHOL00009,3,5001,2026,202602,2026-02-06,2026-02-09,REVERSAL,15093.97,,GBP,2,2,,,,,,Laborum ipsam earum quidem beatae inventore.,,CC110,S110,,,,,,2026-03-19,jsmith,
LA,HOL,VHOL00009,4,3100,2026,202602,2026-02-06,2026-02-09,REVERSAL,18885.99,,GBP,2,2,,,,,,Perspiciatis nihil minima est dolore.,,CC100,S301,,,,,,2026-02-17,jsmith,
LA,HOL,VHOL00010,1,4100,2026,202602,2026-02-27,2026-02-28,APINV,4651.82,,GBP,1,1,,,,,,Amet dignissimos veniam quisquam quisquam enim blanditiis libero.,,CC100,S210,PROJ327,,,,,2026-01-07,lthomas,
LA,HOL,VHOL00010,2,4100,2026,202602,2026-02-27,2026-02-28,APINV,746.42,,GBP,2,2,,,,,,Cupiditate fugit provident magnam rerum rem.,,CC120,S210,PROJ327,,,,,2026-01-11,lthomas,
LA,HOL,VHOL00010,3,1000,2026,202602,2026-02-27,2026-02-28,APINV,3905.4,,GBP,2,2,,,,,,Id quia ipsa itaque.,,CC200,S102,PROJ327,,,,,2026-03-25,lthomas,
LA,HOL,VHOL00011,1,8000,2026,202601,2026-01-18,2026-01-21,JRNL,45911.11,,GBP,1,1,,SUPP3449,P,,,Similique nemo nemo quae.,,CC201,S102,PROJ181,,,,,2026-02-06,abrown,
LA,HOL,VHOL00011,2,1200,2026,202601,2026-01-18,2026-01-21,JRNL,21690.99,,GBP,2,2,,,,,,Enim illo vitae cupiditate veniam itaque.,,CC100,S110,PROJ181,,,,,2026-02-23,abrown,
LA,HOL,VHOL00011,3,6100,2026,202601,2026-01-18,2026-01-21,JRNL,24220.12,,GBP,2,2,,,,,,At sapiente doloribus nihil minima id.,,CC210,S102,PROJ181,,,,,2026-01-15,abrown,
LA,HOL,VHOL00012,1,7010,2026,202602,2026-02-24,2026-02-24,APINV,26011.1,,GBP,1,1,,,,,,Quia dolore quod asperiores odio.,,CC101,S200,,,,,,2026-01-09,swilliams,
LA,HOL,VHOL00012,2,6000,2026,202602,2026-02-24,2026-02-24,APINV,3735.3,,GBP,2,2,,,,,,Magni temporibus expedita quas reprehenderit repellendus dolores.,,CC100,S210,,,,,,2026-03-02,swilliams,
LA,HOL,VHOL00012,3,4100,2026,202602,2026-02-24,2026-02-24,APINV,2558.29,,GBP,2,2,,CUST7116,R,,,Ducimus cupiditate corrupti quis.,INV12128,CC101,S200,,,,,,2026-01-31,swilliams,
LA,HOL,VHOL00012,4,7000,2026,202602,2026-02-24,2026-02-24,APINV,19717.51,,GBP,2,2,,,,,,Debitis quo laudantium quidem.,,CC101,S200,,,,,,2026-01-18,swilliams,
LA,HOL,VHOL00013,1,1010,2026,202603,2026-03-22,2026-03-23,ACCRUAL,7141.77,,GBP,1,1,,,,,,Ipsum unde natus odio numquam sint occaecati corrupti.,,CC121,S110,PROJ894,,,,,2026-01-06,swilliams,
LA,HOL,VHOL00013,2,1010,2026,202603,2026-03-22,2026-03-23,ACCRUAL,2025.14,,GBP,1,1,,,,,,Iusto occaecati recusandae nihil.,,CC200,S123,PROJ894,,,,,2026-03-07,swilliams,
LA,HOL,VHOL00013,3,6000,2026,202603,2026-03-22,2026-03-23,ACCRUAL,4259.23,,GBP,2,2,,,,,,Magni est iste animi rerum asperiores.,,CC210,S123,PROJ894,,,,,2026-01-05,swilliams,
LA,HOL,VHOL00013,4,2200,2026,202603,2026-03-22,2026-03-23,ACCRUAL,2114.95,,GBP,2,2,,,,,,Nostrum magni iure mollitia.,,CC121,S200,PROJ894,,,,,2026-01-07,swilliams,
LA,HOL,VHOL00013,5,4010,2026,202603,2026-03-22,2026-03-23,ACCRUAL,2792.73,,GBP,2,2,,,,,,Ipsum repellat officiis.,,CC121,S102,PROJ894,,,,,2026-02-17,swilliams,
LA,HOL,VHOL00014,1,1100,2026,202602,2026-02-17,2026-02-19,REVERSAL,3229.26,,GBP,1,1,,SUPP9937,P,,,Non magnam vero ipsum repellat saepe.,INV23447,CC200,S123,,,,,,2026-02-09,dbaker,
LA,HOL,VHOL00014,2,7100,2026,202602,2026-02-17,2026-02-19,REVERSAL,14053.05,,GBP,1,1,,,,,,Magnam cupiditate dolorum ipsa.,,CC201,S103,,,,,,2026-03-30,dbaker,
LA,HOL,VHOL00014,3,5010,2026,202602,2026-02-17,2026-02-19,REVERSAL,11960.16,,GBP,2,2,,,,,,Minima non facilis ullam harum quo.,,CC100,S200,,,,,,2026-03-20,dbaker,
LA,HOL,VHOL00014,4,3100,2026,202602,2026-02-17,2026-02-19,REVERSAL,5322.15,,GBP,2,2,,,,,,Amet occaecati ex ex nam harum dolorum sed.,,CC100,S102,,,,,,2026-03-27,dbaker,
LA,HOL,VHOL00015,1,6010,2026,202601,2026-01-17,2026-01-17,ACCRUAL,263.12,,GBP,1,1,,,,,,Sit ex nesciunt consequuntur expedita voluptas praesentium hic.,,CC100,S103,,,,,,2026-03-28,swilliams,
LA,HOL,VHOL00015,2,4100,2026,202601,2026-01-17,2026-01-17,ACCRUAL,6881.42,,GBP,1,1,,,,,,Quae assumenda nam officia eveniet consectetur praesentium veniam.,,CC200,S301,,,,,,2026-01-10,swilliams,
LA,HOL,VHOL00015,3,5200,2026,202601,2026-01-17,2026-01-17,ACCRUAL,1274.8,,GBP,1,1,,,,,,Atque perferendis magni accusantium est veritatis exercitationem.,,CC200,S210,,,,,,2026-02-10,swilliams,
LA,HOL,VHOL00015,4,3000,2026,202601,2026-01-17,2026-01-17,ACCRUAL,3689.25,,GBP,2,2,,,,,,Deleniti voluptatum culpa eos ratione magni molestiae.,,CC101,S101,,,,,,2026-01-24,swilliams,
LA,HOL,VHOL00015,5,4200,2026,202601,2026-01-17,2026-01-17,ACCRUAL,2019.45,,GBP,2,2,,,,,,Alias excepturi quisquam consectetur fugiat cum rerum.,,CC101,S123,,,,,,2026-02-03,swilliams,
LA,HOL,VHOL00015,6,2200,2026,202601,2026-01-17,2026-01-17,ACCRUAL,2710.64,,GBP,2,2,,,,,,Repellat cumque ipsa illum perspiciatis dolores ipsam eligendi.,,CC121,S301,,,,,,2026-01-26,swilliams,
LA,HOL,VHOL00016,1,4000,2026,202601,2026-01-12,2026-01-14,JRNL,9046.49,,GBP,1,1,,,,,,Doloremque dolores vitae quos temporibus deserunt perspiciatis.,,CC121,S103,,,,,,2026-03-31,lthomas,
LA,HOL,VHOL00016,2,4100,2026,202601,2026-01-12,2026-01-14,JRNL,6453.07,,GBP,2,2,,,,,,Voluptates iure eligendi fugit minima vitae repellendus.,,CC120,S102,,,,,,2026-01-26,lthomas,
LA,HOL,VHOL00016,3,3000,2026,202601,2026-01-12,2026-01-14,JRNL,2593.42,,GBP,2,2,,,,,,Consequuntur dolorum odit soluta mollitia aut sapiente sed.,,CC210,S101,,,,,,2026-02-16,lthomas,
LA,HOL,VHOL00017,1,5200,2026,202603,2026-03-03,2026-03-06,REVERSAL,2655.53,,GBP,1,1,,CUST2215,R,,,Assumenda cum ipsum maiores rerum.,INV99143,CC200,S103,,,,,,2026-03-12,lthomas,
LA,HOL,VHOL00017,2,2100,2026,202603,2026-03-03,2026-03-06,REVERSAL,6868.36,,GBP,1,1,,,,,,Veniam dolore iste expedita.,,CC110,S210,,,,,,2026-03-06,lthomas,
LA,HOL,VHOL00017,3,1010,2026,202603,2026-03-03,2026-03-06,REVERSAL,21267.55,,GBP,1,1,,,,,,Impedit id fugiat.,,CC101,S103,,,,,,2026-02-08,lthomas,
LA,HOL,VHOL00017,4,4010,2026,202603,2026-03-03,2026-03-06,REVERSAL,30791.44,,GBP,2,2,,,,,,Voluptatum fugiat adipisci ut saepe officiis.,,CC120,S200,,,,,,2026-03-08,lthomas,
LA,HOL,VHOL00018,1,2000,2026,202603,2026-03-20,2026-03-20,BACS,47839.41,,GBP,1,1,,,,,,Consequuntur enim rerum possimus.,,CC110,S200,,,,,,2026-03-14,mjones,
LA,HOL,VHOL00018,2,8010,2026,202603,2026-03-20,2026-03-20,BACS,13130.03,,GBP,2,2,,SUPP2330,P,,,Quis iusto nostrum temporibus.,INV94076,CC121,S110,,,,,,2026-03-15,mjones,
LA,HOL,VHOL00018,3,7000,2026,202603,2026-03-20,2026-03-20,BACS,16770.42,,GBP,2,2,,,,,,Ducimus rerum molestias.,,CC100,S301,,,,,,2026-03-22,mjones,
LA,HOL,VHOL00018,4,7000,2026,202603,2026-03-20,2026-03-20,BACS,17938.96,,GBP,2,2,,,,,,Minus beatae enim error aliquid in recusandae itaque.,,CC121,S301,,,,,,2026-02-01,mjones,
LA,HOL,VHOL00019,1,8000,2026,202601,2026-01-27,2026-01-29,ACCRUAL,3465.7,,GBP,1,1,,,,,,Saepe libero modi odio.,,CC200,S210,,,,,,2026-01-17,kpatel,
LA,HOL,VHOL00019,2,5200,2026,202601,2026-01-27,2026-01-29,ACCRUAL,1523.66,,GBP,2,2,,,,,,Doloribus corporis inventore nostrum dolores impedit optio.,,CC101,S200,,,,,,2026-01-31,kpatel,
LA,HOL,VHOL00019,3,3100,2026,202601,2026-01-27,2026-01-29,ACCRUAL,154.64,,GBP,2,2,,,,,,Minima facere veritatis molestias.,,CC210,S110,,,,,,2026-01-19,kpatel,
LA,HOL,VHOL00019,4,5001,2026,202601,2026-01-27,2026-01-29,ACCRUAL,1787.4,,GBP,2,2,,CUST7293,R,,,Mollitia hic iusto odio voluptatem ducimus accusamus.,,CC120,S103,,,,,,2026-02-11,kpatel,
LA,HOL,VHOL00020,1,3000,2026,202602,2026-02-09,2026-02-12,JRNL,49800.49,,GBP,1,1,,,,,,Exercitationem quasi occaecati quo.,,CC120,S200,,,,,,2026-01-07,lthomas,
LA,HOL,VHOL00020,2,1200,2026,202602,2026-02-09,2026-02-12,JRNL,23247.69,,GBP,2,2,,CUST8710,R,,,Consequatur explicabo excepturi odit rerum placeat.,INV11071,CC201,S103,,,,,,2026-02-03,lthomas,
LA,HOL,VHOL00020,3,8010,2026,202602,2026-02-09,2026-02-12,JRNL,26552.8,,GBP,2,2,,,,,,Occaecati repellat aperiam quod itaque eos aliquam.,,CC201,S200,,,,,,2026-01-06,lthomas,
LA,HOL,,1,1200,2026,202603,2026-03-03,2026-03-04,ACCRUAL,1000.0,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-C01
LA,HOL,VHOL_EC_C02,1,,2026,202603,2026-03-03,2026-03-04,ACCRUAL,1000.0,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-C02
LA,HOL,VHOL_EC_C03,1,1200,2026,202603,2026-03-03,2026-03-04,ACCRUAL,,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-C03
LA,HOL,VHOL_EC_C04,1,1200,2026,202601,,2026-01-15,ACCRUAL,1000.0,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-C04
LA,HOL,VHOL_EC_C05,1,1200,2026,202602,2026-02-10,,ACCRUAL,1000.0,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-C05
LA,HOL,VHOL_EC_C07,1,1200,2026,202601,2026-01-20,2026-01-21,JRNL,1000.0,,GBP,1,1,,,,,,,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-C07
LA,HOL,VHOL_EC_V01,1,1200,2026,202601,2026-01-15,2026-01-15,ACCRUAL,1000.0,,GBP,9,9,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-V01
LA,HOL,VHOL_EC_V02,1,1200,2026,202604,2026-04-30,2026-04-30,ACCRUAL,1000.0,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-V02
LA,HOL,VHOL_EC_V04,1,1200,2026,202601,2026-01-10,2026-03-26,ACCRUAL,1000.0,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-V04
LA,HOL,VHOL_EC_V06,1,1200,2026,202602,2026-02-05,2026-02-05,ACCRUAL,1000.0,,EUR,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-V06
LA,HOL,VHOL_UNBAL01,1,4200,2026,202602,2026-02-20,2026-02-20,JRNL,750.0,,GBP,1,1,,,,,,Unbalanced voucher edge case,,CC100,S101,,,,,,2026-02-20,jsmith,DQ-GJ-K01
LA,HOL,VHOL_UNBAL01,2,1010,2026,202602,2026-02-20,2026-02-20,JRNL,750.0,,GBP,1,1,,,,,,Unbalanced voucher edge case,,CC100,S101,,,,,,2026-02-20,jsmith,DQ-GJ-K01
LA,HOL,VHOL_UNBAL01,3,6010,2026,202602,2026-02-20,2026-02-20,JRNL,1000.0,,GBP,2,2,,,,,,Unbalanced voucher edge case,,CC100,S101,,,,,,2026-02-20,jsmith,DQ-GJ-K01
LA,HOL,VHOL_EC_K02,1,1200,2026,202605,2026-03-15,2026-03-15,ACCRUAL,1000.0,,GBP,1,1,,,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-K02
LA,HOL,VHOL_EC_K03,1,1200,2026,202601,2026-01-25,2026-01-25,ACCRUAL,1000.0,,GBP,1,1,,SUPP9999,,,,Edge case row,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-K03
LA,HOL,VHOL00001,1,1200,2026,202603,2026-03-03,2026-03-04,ACCRUAL,2855.82,,GBP,1,1,,,,,,Fuga quibusdam ea fugit odit fuga perferendis.,,CC121,S110,,,,,,2026-02-24,swilliams,DQ-GJ-D01
LA,HOL,VHOL_YE13,1,6000,2026,202613,2026-03-31,2026-03-31,ACCRUAL,1778.62,,GBP,1,1,,,,,,Year-end adjustment period 13,,CC100,S101,,,,,,2026-03-31,jsmith,DQ-GJ-S02
LA,HOL,VHOL_YE13,2,6000,2026,202613,2026-03-31,2026-03-31,ACCRUAL,2154.41,,GBP,2,2,,,,,,Year-end adjustment period 13,,CC100,S101,,,,,,2026-03-31,jsmith,DQ-GJ-S02
