client,attribute_id,dim_value,description,status,period_from,period_to,rel_value,last_update,wf_state
HOL,COSTC,CC105,Cost Centre CC105,N,125,1225,DEPT_C,2025-12-01,
HOL,COSTC,CC106,Cost Centre CC106,C,125,1225,DEPT_C,2025-12-02,T
HOL,COSTC,CC107,Cost Centre CC107,N,125,1225,DEPT_D,2026-03-22,T
HOL,COSTC,CC108,Cost Centre CC108,N,125,1225,DEPT_C,2025-07-30,T
HOL,COSTC,CC109,Cost Centre CC109,N,125,1225,DEPT_C,2025-10-13,T
HOL,COSTC,CC110,Cost Centre CC110,N,125,1225,DEPT_C,2025-07-15,T
HOL,COSTC,CC111,Cost Centre CC111,N,125,1225,DEPT_A,2025-09-09,T
HOL,COSTC,CC112,Cost Centre CC112,C,125,1225,DEPT_B,2025-05-10,T
HOL,COSTC,CC113,Cost Centre CC113,N,125,1225,DEPT_D,2026-02-17,T
HOL,COSTC,CC114,Cost Centre CC114,C,125,1225,DEPT_B,2025-12-02,T
HOL,COSTC,CC115,Cost Centre CC115,C,125,1225,DEPT_C,2025-06-26,W
HOL,COSTC,CC116,Cost Centre CC116,C,125,1225,DEPT_C,2025-06-28,T
HOL,COSTC,CC117,Cost Centre CC117,C,125,1225,DEPT_C,2025-11-18,T
HOL,COSTC,CC118,Cost Centre CC118,N,125,1225,DEPT_C,2026-02-03,T
HOL,COSTC,CC119,Cost Centre CC119,N,125,1225,DEPT_C,2025-07-05,T
HOL,COSTC,CC120,Cost Centre CC120,N,125,1225,DEPT_B,2025-08-01,T
HOL,COSTC,CC121,Cost Centre CC121,N,125,1225,DEPT_C,2025-12-27,T
HOL,COSTC,CC122,Cost Centre CC122,N,125,1225,DEPT_B,2026-01-04,T
HOL,COSTC,CC123,Cost Centre CC123,N,125,1225,DEPT_A,2025-11-16,
HOL,COSTC,CC124,Cost Centre CC124,N,125,1225,DEPT_A,2026-01-31,T
HOL,COSTC,CC125,Cost Centre CC125,N,125,1225,DEPT_A,2025-06-16,T
HOL,COSTC,CC126,Cost Centre CC126,C,125,1225,DEPT_D,2025-08-23,T
HOL,COSTC,CC127,Cost Centre CC127,N,125,1225,DEPT_B,2025-11-27,T
HOL,COSTC,CC128,Cost Centre CC128,N,125,1225,DEPT_A,2025-09-12,T
HOL,COSTC,CC129,Cost Centre CC129,N,125,1225,DEPT_A,2026-01-18,T
HOL,SUBJ,S100,Subjective S100,N,125,1225,,2026-02-21,T
HOL,SUBJ,S101,Subjective S101,N,125,1225,,2025-06-24,T
HOL,SUBJ,S102,Subjective S102,N,125,1225,,2025-07-12,T
HOL,SUBJ,S103,Subjective S103,C,125,1225,,2025-08-22,T
HOL,SUBJ,S104,Subjective S104,C,125,1225,,2025-10-31,W
HOL,SUBJ,S105,Subjective S105,N,125,1225,,2025-05-28,
HOL,SUBJ,S106,Subjective S106,N,125,1225,,2025-05-20,T
HOL,SUBJ,S107,Subjective S107,N,125,1225,,2026-02-23,T
HOL,SUBJ,S108,Subjective S108,N,125,1225,,2026-01-07,W
HOL,SUBJ,S109,Subjective S109,N,125,1225,,2026-01-15,
HOL,SUBJ,S110,Subjective S110,C,125,1225,,2025-08-18,W
HOL,SUBJ,S111,Subjective S111,C,125,1225,,2025-11-07,
HOL,SUBJ,S112,Subjective S112,N,125,1225,,2025-11-09,T
HOL,SUBJ,S113,Subjective S113,C,125,1225,,2026-02-28,T
HOL,SUBJ,S114,Subjective S114,N,125,1225,,2025-05-20,W
HOL,SUBJ,S115,Subjective S115,N,125,1225,,2025-08-31,
HOL,SUBJ,S116,Subjective S116,N,125,1225,,2025-05-09,T
HOL,SUBJ,S117,Subjective S117,N,125,1225,,2026-01-23,
HOL,SUBJ,S118,Subjective S118,N,125,1225,,2026-01-11,T
HOL,SUBJ,S119,Subjective S119,N,125,1225,,2025-08-24,
HOL,SUBJ,S120,Subjective S120,C,125,1225,,2025-11-01,T
HOL,SUBJ,S121,Subjective S121,N,125,1225,,2025-07-23,W
HOL,SUBJ,S122,Subjective S122,C,125,1225,,2025-08-24,
HOL,SUBJ,S123,Subjective S123,N,125,1225,,2025-08-27,T
HOL,SUBJ,S124,Subjective S124,N,125,1225,,2026-03-23,
HOL,ANL1,A110,Programme A110,N,125,1225,,2025-06-15,W
HOL,ANL1,A111,Programme A111,N,125,1225,,2025-11-19,W
HOL,ANL1,A112,Programme A112,N,125,1225,,2026-01-06,T
HOL,ANL1,A113,Programme A113,C,125,1225,,2025-11-14,T
HOL,ANL1,A114,Programme A114,C,125,1225,,2025-05-15,T
HOL,ANL1,A115,Programme A115,N,125,1225,,2025-08-08,T
HOL,ANL1,A116,Programme A116,C,125,1225,,2025-10-17,T
HOL,ANL1,A117,Programme A117,N,125,1225,,2026-01-13,T
HOL,ANL1,A118,Programme A118,C,125,1225,,2025-07-26,T
HOL,ANL1,A119,Programme A119,C,125,1225,,2025-06-28,
HOL,ANL1,A120,Programme A120,C,125,1225,,2026-02-19,T
HOL,ANL1,A121,Programme A121,N,125,1225,,2025-10-22,
HOL,ANL1,A122,Programme A122,C,125,1225,,2025-07-16,
HOL,ANL1,A123,Programme A123,C,125,1225,,2025-09-06,
HOL,ANL1,A124,Programme A124,N,125,1225,,2025-07-14,T
HOL,ANL1,A125,Programme A125,C,125,1225,,2025-05-20,T
HOL,ANL1,A126,Programme A126,N,125,1225,,2025-12-22,T
HOL,ANL1,A127,Programme A127,N,125,1225,,2025-11-09,T
HOL,ANL1,A128,Programme A128,C,125,1225,,2026-02-02,
HOL,ANL1,A129,Programme A129,N,125,1225,,2026-01-14,T
HOL,ANL2,A210,Project A210,N,125,1225,,2025-06-27,T
HOL,ANL2,A211,Project A211,N,125,1225,,2025-12-11,
HOL,ANL2,A212,Project A212,C,125,1225,,2026-02-04,T
HOL,ANL2,A213,Project A213,C,125,1225,,2025-11-07,W
HOL,ANL2,A214,Project A214,N,125,1225,,2025-09-05,T
HOL,ANL2,A215,Project A215,C,125,1225,,2025-12-02,T
HOL,ANL2,A216,Project A216,N,125,1225,,2025-09-21,T
HOL,ANL2,A217,Project A217,N,125,1225,,2026-03-01,T
HOL,ANL2,A218,Project A218,C,125,1225,,2025-10-13,W
HOL,ANL2,A219,Project A219,N,125,1225,,2026-04-04,T
HOL,ANL2,A220,Project A220,N,125,1225,,2025-06-09,W
HOL,ANL2,A221,Project A221,C,125,1225,,2026-01-19,T
HOL,ANL2,A222,Project A222,C,125,1225,,2025-10-11,T
HOL,ANL2,A223,Project A223,C,125,1225,,2025-08-15,T
HOL,ANL2,A224,Project A224,N,125,1225,,2025-12-04,W
HOC,COSTC,EC_D001,,N,125,1225,DEPT_A,2026-03-12,T
HOC,COSTC,EC_D002,EC No Parent CC,N,125,1225,,2026-03-22,T
HOC,COSTC,EC_D003,EC Invalid Period Range,N,1225,125,DEPT_A,2026-02-10,T
HOC,COSTC,EC_D004,EC Expired Period Active,N,100,200,DEPT_A,2026-02-15,T
HOC,COSTC,EC_D005,EC Stuck Workflow,N,125,1225,DEPT_A,2026-03-10,W
HOC,COSTC,EC_D006,EC Orphaned Parent,N,125,1225,DEPT_GHOST,2026-04-03,T
HOC,COSTC,EC_D007,Duplicate Dimension Description,N,125,1225,DEPT_A,2026-03-16,T
HOC,COSTC,EC_D008,Duplicate Dimension Description,N,125,1225,DEPT_B,2026-02-17,T
HOC,COSTC,CC999,Cross House Cost Centre HOC,N,125,1225,DEPT_A,2026-03-06,T
HOL,COSTC,CC999,Cross House Cost Centre HOL,N,125,1225,DEPT_A,2026-02-19,T
HOC,COSTC,EC_D009,EC Stale Dimension,N,125,1225,DEPT_A,2022-03-27,T
HOC,COSTC,EC_D010,EC Inactive With Balances,C,125,1225,DEPT_A,2024-10-22,T
