client,account,fiscal_year,period,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,amount,cur_amount,currency,dc_flag,voucher_type,tax_code,apar_id,apar_type
HOC,1000,2025,1200,CC112,S121,,,,,,138709.7,138709.7,GBP,1,YEBAL,Z0,,
HOC,3100,2025,1200,CC112,S100,,,,,,55052.18,55052.18,GBP,1,YEBAL,Z0,,
HOC,5100,2025,1200,CC115,S122,,,,,,294467.58,294467.58,GBP,1,YEBAL,S20,,
HOC,2100,2025,1200,CC105,S116,,,,,,370884.86,370884.86,GBP,1,YEBAL,Z0,,
HOL,1002,2025,1200,CC110,S118,,,,,,256667.66,256667.66,GBP,1,YEBAL,S20,,
HOL,5107,2025,1200,CC111,S103,,,,,,21778.18,21778.18,GBP,-1,YEBAL,S20,,
HOL,2100,2025,1200,CC999,S108,,,,,,423664.54,423664.54,GBP,-1,YEBAL,Z0,,
HOL,1205,2025,1200,CC126,S112,,,,,,36838.01,36838.01,GBP,1,YEBAL,S20,,
HOC,2100,2025,1200,CC105,S119,,,,,,137580.5,137580.5,GBP,-1,YEBAL,Z0,,
HOL,2002,2025,1200,CC108,S109,,,,,,252824.98,252824.98,GBP,-1,YEBAL,,,
HOL,5302,2025,1200,CC109,S114,,,,,,438865.34,438865.34,GBP,1,YEBAL,S20,,
HOL,1105,2025,1200,CC107,S109,,,,,,169531.92,169531.92,GBP,-1,YEBAL,,,
HOC,2000,2025,1200,CC999,S122,,,,,,156342.92,156342.92,GBP,-1,YEBAL,Z0,,
HOC,3001,2025,1200,CC105,S107,,,,,,343441.84,343441.84,GBP,-1,YEBAL,S20,,
HOC,1205,2025,1200,CC112,S123,,,,,,215995.07,215995.07,GBP,-1,YEBAL,S20,,
HOL,5100,2025,1200,CC999,S109,,,,,,478316.65,478316.65,GBP,-1,YEBAL,Z0,,
HOL,1000,2025,1200,CC104,S124,,,,,,436816.33,436816.33,GBP,-1,YEBAL,,,
HOC,5305,2025,1200,CC113,S116,,,,,,175887.93,175887.93,GBP,1,YEBAL,S20,,
HOC,2003,2025,1200,CC109,S123,,,,,,175121.99,175121.99,GBP,-1,YEBAL,,,
HOC,5007,2025,1200,CC125,S123,,,,,,403629.96,403629.96,GBP,1,YEBAL,S20,,
HOC,3102,2025,1200,CC127,S105,,,,,,136707.87,136707.87,GBP,-1,YEBAL,S20,,
HOC,3102,2025,1200,CC105,S112,,,,,,434944.37,434944.37,GBP,-1,YEBAL,,,
HOL,5204,2025,1200,CC120,S118,,,,,,485907.98,485907.98,GBP,1,YEBAL,Z0,,
HOL,1107,2025,1200,CC101,S100,,,,,,226877.53,226877.53,GBP,1,YEBAL,,,
HOC,9003,2025,1200,CC104,S112,,,,,,388440.13,388440.13,GBP,1,YEBAL,S20,,
HOL,5200,2025,1200,CC122,S114,,,,,,24976.27,24976.27,GBP,1,YEBAL,,,
HOL,1200,2025,1200,CC108,S123,,,,,,242882.29,242882.29,GBP,-1,YEBAL,S20,,
HOL,3003,2025,1200,CC109,S124,,,,,,56997.37,56997.37,GBP,-1,YEBAL,,,
HOL,9003,2025,1200,CC102,S119,,,,,,296607.81,296607.81,GBP,-1,YEBAL,Z0,,
HOL,5103,2025,1200,CC124,S118,,,,,,27485.5,27485.5,GBP,1,YEBAL,S20,,
HOC,5105,2025,1200,CC100,S117,,,,,,144794.62,144794.62,GBP,1,YEBAL,,,
HOL,1202,2025,1200,CC121,S119,,,,,,87929.83,87929.83,GBP,-1,YEBAL,,,
HOL,5003,2025,1200,CC105,S108,,,,,,416693.77,416693.77,GBP,-1,YEBAL,,,
HOC,1100,2025,1200,CC105,S101,,,,,,218166.18,218166.18,GBP,-1,YEBAL,,,
HOL,1201,2025,1200,CC123,S109,,,,,,286742.5,286742.5,GBP,-1,YEBAL,Z0,,
HOC,1005,2025,1200,CC127,S115,,,,,,483103.23,483103.23,GBP,1,YEBAL,,,
HOL,1002,2025,1200,CC119,S112,,,,,,44156.13,44156.13,GBP,1,YEBAL,,,
HOL,1102,2025,1200,CC124,S102,,,,,,262028.88,262028.88,GBP,-1,YEBAL,S20,,
HOC,9005,2025,1200,CC119,S109,,,,,,389581.02,389581.02,GBP,1,YEBAL,,,
HOL,3002,2025,1200,CC129,S112,,,,,,97032.46,97032.46,GBP,-1,YEBAL,S20,,
HOC,2002,2025,1200,CC115,S112,,,,,,73307.46,73307.46,GBP,1,YEBAL,,,
HOC,1201,2025,1200,CC111,S124,,,,,,88655.35,88655.35,GBP,-1,YEBAL,,,
HOL,2000,2025,1200,CC128,S101,,,,,,340598.63,340598.63,GBP,-1,YEBAL,S20,,
HOL,1204,2025,1200,CC128,S100,,,,,,34236.3,34236.3,GBP,-1,YEBAL,Z0,,
HOL,5101,2025,1200,CC124,S115,,,,,,28180.44,28180.44,GBP,1,YEBAL,Z0,,
HOC,1009,2025,1200,CC105,S107,,,,,,28539.34,28539.34,GBP,-1,YEBAL,,,
HOL,5102,2025,1200,CC124,S123,,,,,,253583.2,253583.2,GBP,-1,YEBAL,,,
HOC,1100,2025,1200,CC126,S116,,,,,,224921.88,224921.88,GBP,1,YEBAL,,,
HOC,3000,2025,1200,CC108,S102,,,,,,478865.41,478865.41,GBP,-1,YEBAL,,,
HOC,1203,2025,1200,CC102,S121,,,,,,252324.05,252324.05,GBP,1,YEBAL,,,
HOL,1204,2025,1200,CC101,S106,,,,,,495493.91,495493.91,GBP,1,YEBAL,Z0,,
HOL,1009,2025,1200,CC999,S105,,,,,,204443.82,204443.82,GBP,-1,YEBAL,,,
HOL,5301,2025,1200,CC108,S123,,,,,,167391.21,167391.21,GBP,-1,YEBAL,,,
HOL,1008,2025,1200,CC127,S107,,,,,,142145.07,142145.07,GBP,1,YEBAL,,,
HOL,5305,2025,1200,CC124,S108,,,,,,70800.05,70800.05,GBP,-1,YEBAL,S20,,
HOL,5102,2025,1200,CC124,S123,,,,,,354446.12,354446.12,GBP,1,YEBAL,Z0,,
HOL,5300,2025,1200,CC999,S119,,,,,,395851.81,395851.81,GBP,1,YEBAL,S20,,
HOL,5301,2025,1200,CC101,S106,,,,,,335260.97,335260.97,GBP,-1,YEBAL,Z0,,
HOC,3102,2025,1200,CC118,S116,,,,,,475589.54,475589.54,GBP,-1,YEBAL,S20,,
HOC,2103,2025,1200,CC108,S118,,,,,,77557.09,77557.09,GBP,-1,YEBAL,,,
HOL,3100,2025,1200,CC127,S111,,,,,,18969.97,18969.97,GBP,-1,YEBAL,,,
HOL,1006,2025,1200,CC127,S114,,,,,,77210.96,77210.96,GBP,1,YEBAL,,,
HOL,1204,2025,1200,CC999,S121,,,,,,21941.84,21941.84,GBP,-1,YEBAL,Z0,,
HOL,5106,2025,1200,CC118,S121,,,,,,142535.47,142535.47,GBP,-1,YEBAL,S20,,
HOC,5305,2025,1200,CC116,S106,,,,,,482801.76,482801.76,GBP,-1,YEBAL,,,
HOL,5006,2025,1200,CC123,S107,,,,,,492221.45,492221.45,GBP,-1,YEBAL,,,
HOL,3101,2025,1200,CC116,S111,,,,,,209388.55,209388.55,GBP,1,YEBAL,Z0,,
HOC,1103,2025,1200,CC122,S108,,,,,,320625.4,320625.4,GBP,-1,YEBAL,,,
HOL,3004,2025,1200,CC107,S114,,,,,,425597.91,425597.91,GBP,-1,YEBAL,Z0,,
HOL,2001,2025,1200,CC109,S107,,,,,,452662.57,452662.57,GBP,1,YEBAL,S20,,
HOL,2001,2025,1200,CC108,S105,,,,,,442326.42,442326.42,GBP,1,YEBAL,Z0,,
HOL,3000,2025,1200,CC107,S106,,,,,,187043.35,187043.35,GBP,-1,YEBAL,S20,,
HOC,1007,2025,1200,CC129,S102,,,,,,159410.57,159410.57,GBP,1,YEBAL,S20,,
HOC,2103,2025,1200,CC112,S116,,,,,,19247.77,19247.77,GBP,-1,YEBAL,Z0,,
HOL,5107,2025,1200,CC101,S122,,,,,,2725.07,2725.07,GBP,1,YEBAL,S20,,
HOC,3000,2025,1200,CC109,S124,,,,,,274447.24,274447.24,GBP,-1,YEBAL,S20,,
HOC,5303,2025,1200,CC108,S115,,,,,,61011.99,61011.99,GBP,1,YEBAL,S20,,
HOC,2004,2025,1200,CC125,S121,,,,,,418360.19,418360.19,GBP,-1,YEBAL,S20,,
HOL,5203,2025,1200,CC113,S124,,,,,,257736.33,257736.33,GBP,1,YEBAL,Z0,,
HOC,1000,2025,1200,CC123,S109,,,,,,307443.31,307443.31,GBP,1,YEBAL,S20,,
HOL,9000,2025,1200,CC105,S119,,,,,,334140.63,334140.63,GBP,-1,YEBAL,,,
HOL,3001,2025,1200,CC105,S116,,,,,,393227.53,393227.53,GBP,1,YEBAL,S20,,
HOL,5204,2025,1200,CC120,S103,,,,,,193501.97,193501.97,GBP,-1,YEBAL,Z0,,
HOC,1107,2025,1200,CC124,S102,,,,,,172466.77,172466.77,GBP,1,YEBAL,S20,,
HOC,1101,2025,1200,CC129,S115,,,,,,176214.29,176214.29,GBP,-1,YEBAL,,,
HOL,2004,2025,1200,CC128,S115,,,,,,490411.51,490411.51,GBP,-1,YEBAL,S20,,
HOC,1106,2025,1200,CC102,S124,,,,,,358050.92,358050.92,GBP,-1,YEBAL,S20,,
HOC,1101,2025,1200,CC126,S100,,,,,,395575.5,395575.5,GBP,1,YEBAL,,,
HOL,1101,2025,1200,CC120,S104,,,,,,494562.44,494562.44,GBP,-1,YEBAL,,,
HOC,3104,2025,1200,CC129,S102,,,,,,143126.84,143126.84,GBP,1,YEBAL,Z0,,
HOC,2007,2025,1200,CC107,S114,,,,,,399691.27,399691.27,GBP,-1,YEBAL,Z0,,
HOC,9006,2025,1200,CC118,S106,,,,,,486864.42,486864.42,GBP,-1,YEBAL,,,
HOC,5200,2025,1200,CC107,S112,,,,,,400593.93,400593.93,GBP,-1,YEBAL,,,
HOC,3102,2025,1200,CC108,S107,,,,,,272782.65,272782.65,GBP,-1,YEBAL,Z0,,
HOL,5305,2025,1200,CC125,S112,,,,,,147890.41,147890.41,GBP,-1,YEBAL,S20,,
HOL,9006,2025,1200,CC102,S105,,,,,,222009.8,222009.8,GBP,-1,YEBAL,,,
HOL,1203,2025,1200,CC105,S108,,,,,,137350.22,137350.22,GBP,1,YEBAL,Z0,,
HOL,3003,2025,1200,CC101,S112,,,,,,400567.88,400567.88,GBP,1,YEBAL,,,
HOL,9003,2025,1200,CC112,S106,,,,,,390677.85,390677.85,GBP,1,YEBAL,S20,,
HOL,5301,2025,1200,CC123,S104,,,,,,183227.6,183227.6,GBP,-1,YEBAL,,,
HOC,3001,2025,1200,CC101,S114,,,,,,339563.12,339563.12,GBP,-1,YEBAL,S20,,
HOL,5006,2025,1200,CC107,S101,,,,,,68933.78,68933.78,GBP,-1,YEBAL,,,
HOC,5203,2025,1200,CC101,S115,,,,,,124880.87,124880.87,GBP,1,YEBAL,Z0,,
HOL,3004,2025,1200,CC120,S122,,,,,,193554.99,193554.99,GBP,1,YEBAL,,,
HOL,2000,2025,1200,CC118,S116,,,,,,107363.76,107363.76,GBP,-1,YEBAL,S20,,
HOC,2102,2025,1200,CC115,S114,,,,,,426427.86,426427.86,GBP,-1,YEBAL,S20,,
HOL,9004,2025,1200,CC999,S105,,,,,,483783.86,483783.86,GBP,-1,YEBAL,,,
HOC,1106,2025,1200,CC124,S114,,,,,,275043.57,275043.57,GBP,-1,YEBAL,,,
HOL,9009,2025,1200,CC119,S119,,,,,,318886.24,318886.24,GBP,-1,YEBAL,S20,,
HOC,5001,2025,1200,CC118,S103,,,,,,396053.63,396053.63,GBP,1,YEBAL,Z0,,
HOL,5001,2025,1200,CC122,S111,,,,,,286181.48,286181.48,GBP,-1,YEBAL,,,
HOC,2000,2025,1200,CC100,S100,,,,,,447910.9,79586.65,GBP,-1,YEBAL,,SUP_CONTROL,P
HOC,1100,2025,1200,CC100,S100,,,,,,229171.99,372620.12,GBP,1,YEBAL,,CUST_CONTROL,R
HOL,2000,2025,1200,CC100,S100,,,,,,265399.3,234857.8,GBP,-1,YEBAL,,SUP_CONTROL,P
HOL,1100,2025,1200,CC100,S100,,,,,,234245.09,308705.23,GBP,1,YEBAL,,CUST_CONTROL,R
HOC,5000,2025,1200,CC100,S100,,,,,,,,GBP,1,YEBAL,,,
HOC,5001,2025,1200,CC_DUP,S_DUP,,,,,,10000,10000,GBP,1,YEBAL,,,
HOC,5001,2025,1200,CC_DUP,S_DUP,,,,,,5000,5000,GBP,1,YEBAL,,,
HOC,5002,2025,1200,CC100,S100,,,,,,25000,25000,GBP,1,YEBAL,,,
HOC,5003,2025,600,CC100,S100,,,,,,8000,8000,GBP,1,YEBAL,,,
HOC,GHOST_ACC,2025,1200,CC100,S100,,,,,,15000,15000,GBP,1,YEBAL,,,
HOC,EC_A013,2025,1200,CC100,S100,,,,,,5000,5000,GBP,1,YEBAL,,,
HOC,5004,2025,1200,EC_D010,S100,,,,,,3000,3000,GBP,1,YEBAL,,,
HOC,5005,2025,1200,CC_GHOST,S100,,,,,,7500,7500,GBP,1,YEBAL,,,
HOC,2000,2025,1200,CC100,S100,,,,,,999999.99,999999.99,GBP,-1,YEBAL,,SUP_RECON_EC,P
HOC,1300,2025,1200,CC100,S100,,,,,,25000000.00,25000000.00,GBP,1,YEBAL,,,
HOC,1301,2025,1200,CC100,S100,,,,,,-2086074.02,-2086074.02,GBP,-1,YEBAL,,,
HOL,1300,2025,1200,CC100,S100,,,,,,15000000.00,15000000.00,GBP,1,YEBAL,,,
HOL,1301,2025,1200,CC100,S100,,,,,,-3505702.32,-3505702.32,GBP,-1,YEBAL,,,
