client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference,_edge_case
HOL,CHOL0076,ARH350069,1,PINV,2026-01-22,2026-01-22,C,11785.27,0.0,GBP,,
HOL,CHOL0040,ARH623956,1,SINV,2025-12-13,2025-12-13,C,29003.91,0.0,GBP,,
HOL,CHOL0005,ARH455766,1,PINV,2024-11-05,2024-11-05,C,10264.01,0.0,GBP,,
HOL,CHOL0006,ARH525205,1,PINV,2025-01-08,2025-01-08,C,6508.01,0.0,GBP,,
HOL,CHOL0067,ARH580636,1,SINV,2025-02-08,2025-02-08,C,22283.33,0.0,GBP,,
HOL,CHOL0010,ARH138669,1,SINV,2025-01-31,2025-01-31,C,14769.06,0.0,GBP,,
HOL,CHOL0061,ARH748410,1,PINV,2024-10-25,2024-10-25,C,7431.94,0.0,GBP,,
HOL,CHOL0017,ARH115063,1,DINV,2025-03-04,2025-03-04,C,19053.31,0.0,GBP,,
HOL,CHOL0013,ARH578344,1,SINV,2025-03-02,2025-03-02,C,25093.49,0.0,GBP,,
HOL,CHOL0014,ARH219726,1,PINV,2026-01-31,2026-01-31,C,17930.33,0.0,GBP,,
HOL,CHOL0029,ARH166175,1,PINV,2025-04-04,2025-04-04,C,12901.1,0.0,GBP,,
HOL,CHOL0052,ARH439984,1,PINV,2025-01-10,2025-01-10,C,29280.43,0.0,GBP,,
HOL,CHOL0070,ARH244000,1,SINV,2025-08-04,2025-08-04,C,25125.53,0.0,GBP,,
HOL,CHOL0006,ARH721894,1,SINV,2025-03-05,2025-03-05,C,10198.01,0.0,GBP,,
HOL,CHOL0036,ARH248097,1,DINV,2025-11-08,2025-11-08,C,5207.92,0.0,GBP,,
HOL,CHOL0071,ARH273021,1,PINV,2025-12-02,2025-12-02,C,7460.61,0.0,GBP,,
HOL,CHOL0006,ARH239849,1,PINV,2024-12-20,2024-12-20,C,23773.36,0.0,GBP,,
HOL,CHOL0079,ARH494401,1,DINV,2025-02-17,2025-02-17,C,665.78,0.0,GBP,,
HOL,CHOL0011,ARH106658,1,SINV,2024-09-16,2024-09-16,C,5546.5,0.0,GBP,,
HOL,CHOL0076,ARH397514,1,DINV,2025-11-09,2025-11-09,C,20866.41,0.0,GBP,,
HOL,CHOL0017,ARH316174,1,PINV,2025-02-02,2025-02-02,C,19266.81,0.0,GBP,,
HOL,CHOL0058,ARH532046,1,PINV,2025-05-11,2025-05-11,C,28155.07,0.0,GBP,,
HOL,CHOL0005,ARH725236,1,PINV,2025-03-12,2025-03-12,C,21572.52,0.0,GBP,,
HOL,CHOL0012,ARH757658,1,SINV,2025-07-14,2025-07-14,C,10566.04,0.0,GBP,,
HOL,CHOL0072,ARH347085,1,PINV,2025-03-24,2025-03-24,C,3701.73,0.0,GBP,,
HOL,CHOL0013,ARH748985,1,PINV,2025-09-14,2025-09-14,C,25909.39,0.0,GBP,,
HOL,CHOL0065,ARH329927,1,PINV,2025-12-28,2025-12-28,C,23155.87,0.0,GBP,,
HOL,CHOL0027,ARH389854,1,SINV,2024-11-02,2024-11-02,C,5972.83,0.0,GBP,,
HOL,CHOL0061,ARH621682,1,SINV,2025-03-08,2025-03-08,C,4960.84,0.0,GBP,,
HOL,CHOL0007,ARH776185,1,DINV,2025-09-16,2025-09-16,C,8694.92,0.0,GBP,,
HOL,CHOL0033,ARH450533,1,PINV,2025-12-17,2025-12-17,C,1490.86,0.0,GBP,,
HOL,CHOL0007,ARH663463,1,SINV,2025-03-08,2025-03-08,C,4909.76,0.0,GBP,,
HOL,CHOL0063,ARH639915,1,SINV,2025-01-05,2025-01-05,C,2311.61,0.0,GBP,,
HOL,CHOL0057,ARH721497,1,PINV,2025-08-08,2025-08-08,C,12688.17,0.0,GBP,,
HOL,CHOL0042,ARH341238,1,SINV,2024-12-30,2024-12-30,C,9918.74,0.0,GBP,,
HOL,CHOL0031,ARH873584,1,DINV,2025-11-05,2025-11-05,C,26122.61,0.0,GBP,,
HOL,CHOL0029,ARH177101,1,SINV,2026-01-04,2026-01-04,C,17635.75,0.0,GBP,,
HOL,CHOL0056,ARH251981,1,DINV,2025-04-18,2025-04-18,C,27851.04,0.0,GBP,,
HOL,CHOL0023,ARH506145,1,PINV,2025-09-26,2025-09-26,C,4264.86,0.0,GBP,,
HOL,CHOL0025,ARH762722,1,SINV,2025-09-11,2025-09-11,C,29271.57,0.0,GBP,,
HOL,CHOL0043,ARH233391,1,SINV,2024-10-11,2024-10-11,C,20827.87,0.0,GBP,,
HOL,CHOL0036,ARH243132,1,DINV,2024-12-31,2024-12-31,C,25579.21,0.0,GBP,,
HOL,CHOL0054,ARH279517,1,DINV,2025-08-26,2025-08-26,C,6751.64,0.0,GBP,,
HOL,CHOL0078,ARH264404,1,PINV,2025-03-02,2025-03-02,C,17428.02,0.0,GBP,,
HOL,CHOL0030,ARH190674,1,DINV,2025-11-04,2025-11-04,C,25737.82,0.0,GBP,,
HOL,CHOL0028,ARH720317,1,DINV,2026-01-06,2026-01-06,C,25142.27,0.0,GBP,,
HOL,CHOL0002,ARH865479,1,SINV,2025-11-21,2025-11-21,C,22138.13,0.0,GBP,,
HOL,CHOL0032,ARH443194,1,PINV,2025-11-27,2025-11-27,C,17468.12,0.0,GBP,,
HOL,CHOL0020,ARH701568,1,SINV,2024-09-14,2024-09-14,C,12649.6,0.0,GBP,,
HOL,CHOL0006,ARH593515,1,PINV,2026-02-07,2026-02-07,C,1201.89,0.0,GBP,,
HOL,CHOL0051,ARH602550,1,SINV,2024-12-18,2024-12-18,C,13682.75,0.0,GBP,,
HOL,CHOL0011,ARH685616,1,DINV,2024-09-21,2024-09-21,C,20856.16,0.0,GBP,,
HOL,CHOL0028,ARH239158,1,PINV,2025-09-11,2025-09-11,C,9014.55,0.0,GBP,,
HOL,CHOL0012,ARH116703,1,SINV,2026-01-13,2026-01-13,C,20137.26,0.0,GBP,,
HOL,CHOL0059,ARH999596,1,DINV,2024-10-03,2024-10-03,C,29297.34,0.0,GBP,,
HOL,CHOL0018,ARH837290,1,DINV,2025-10-29,2025-10-29,C,5711.38,0.0,GBP,,
HOL,CHOL0081,ARH586849,1,SINV,2024-09-10,2024-09-10,C,25839.4,0.0,GBP,,
HOL,CHOL0050,ARH824304,1,DINV,2025-08-15,2025-08-15,C,16021.43,0.0,GBP,,
HOL,CHOL0055,ARH889460,1,PINV,2025-06-12,2025-06-12,C,21002.04,0.0,GBP,,
HOL,CHOL0070,ARH703171,1,SINV,2025-04-09,2025-04-09,C,23673.22,0.0,GBP,,
HOL,CHOL0080,ARH452001,1,PINV,2024-11-04,2024-11-04,C,15539.15,0.0,GBP,,
HOL,CHOL0047,ARH154067,1,DINV,2024-12-31,2024-12-31,C,11612.06,0.0,GBP,,
HOL,CHOL0080,ARH142859,1,PINV,2025-09-18,2025-09-18,C,11119.7,0.0,GBP,,
HOL,CHOL0072,ARH839113,1,SINV,2024-11-16,2024-11-16,C,16910.59,0.0,GBP,,
HOL,CHOL0018,ARH451199,1,PINV,2025-05-11,2025-05-11,C,16281.09,0.0,GBP,,
HOL,CHOL0062,ARH873199,1,SINV,2025-04-11,2025-04-11,C,22644.57,0.0,GBP,,
HOL,CHOL0042,ARH469844,1,DINV,2025-06-09,2025-06-09,C,15206.27,0.0,GBP,,
HOL,CHOL0036,ARH157105,1,DINV,2024-11-12,2024-11-12,C,11309.85,0.0,GBP,,
HOL,CHOL0063,ARH625808,1,PINV,2025-01-12,2025-01-12,C,14210.88,0.0,GBP,,
HOL,CHOL0069,ARH406461,1,PINV,2025-12-15,2025-12-15,C,18704.35,0.0,GBP,,
HOL,CHOL0009,ARH297503,1,DINV,2025-12-21,2025-12-21,C,2801.8,0.0,GBP,,
HOL,CHOL0023,ARH402380,1,DINV,2024-11-26,2024-11-26,C,3459.07,0.0,GBP,,
HOL,CHOL0015,ARH830943,1,SINV,2025-02-07,2025-02-07,C,14990.6,0.0,GBP,,
HOL,CHOL0067,ARH757746,1,PINV,2024-10-02,2024-10-02,C,8936.45,0.0,GBP,,
HOL,CHOL0070,ARH238440,1,DINV,2026-01-07,2026-01-07,C,10531.67,0.0,GBP,,
HOL,CHOL0003,ARH405677,1,SINV,2025-03-21,2025-03-21,C,2075.9,0.0,GBP,,
HOL,CHOL0067,ARH775987,1,DINV,2025-08-18,2025-08-18,C,12468.41,0.0,GBP,,
HOL,CHOL0042,ARH609763,1,PINV,2025-12-08,2025-12-08,C,13848.61,0.0,GBP,,
HOL,CHOL0017,ARH927691,1,DINV,2025-07-19,2025-07-19,C,5317.77,0.0,GBP,,
HOL,CHOL0030,ARH607765,1,SINV,2025-09-24,2025-09-24,C,29127.58,0.0,GBP,,
HOL,CHOL0019,ARH470274,1,SINV,2025-06-27,2025-06-27,C,13786.61,0.0,GBP,,
HOL,CHOL0080,ARH268600,1,SINV,2025-06-28,2025-06-28,C,5631.96,0.0,GBP,,
HOL,CHOL0020,ARH269087,1,DINV,2025-05-10,2025-05-10,C,3684.14,0.0,GBP,,
HOL,CHOL0074,ARH232617,1,SINV,2025-12-04,2025-12-04,C,7960.13,0.0,GBP,,
HOL,CHOL0027,ARH689810,1,DINV,2024-10-14,2024-10-14,C,20033.49,0.0,GBP,,
HOL,CHOL0019,ARH491029,1,SINV,2025-12-12,2025-12-12,C,16288.02,0.0,GBP,,
HOL,CHOL0069,ARH416208,1,DINV,2025-01-11,2025-01-11,C,27628.93,0.0,GBP,,
HOL,CHOL0064,ARH905849,1,DINV,2025-02-04,2025-02-04,C,28444.11,0.0,GBP,,
HOL,CHOL0020,ARH104502,1,DINV,2025-08-14,2025-08-14,C,19487.87,0.0,GBP,,
HOL,CHOL0061,ARH403905,1,PINV,2025-02-06,2025-02-06,C,24027.37,0.0,GBP,,
HOL,CHOL0057,ARH455136,1,SINV,2025-01-02,2025-01-02,C,22002.89,0.0,GBP,,
HOL,CHOL0018,ARH810943,1,DINV,2025-01-06,2025-01-06,C,9380.85,0.0,GBP,,
HOL,CHOL0080,ARH981723,1,SINV,2025-04-22,2025-04-22,C,13489.99,0.0,GBP,,
HOL,CHOL0042,ARH157706,1,SINV,2025-03-27,2025-03-27,C,17586.26,0.0,GBP,,
HOL,CHOL0036,ARH305222,1,DINV,2024-10-02,2024-10-02,C,2690.97,0.0,GBP,,
HOL,CHOL0012,ARH636648,1,DINV,2025-10-17,2025-10-17,C,5994.61,0.0,GBP,,
HOL,CHOL0078,ARH734470,1,DINV,2024-11-05,2024-11-05,C,27271.72,0.0,GBP,,
HOL,CHOL0051,ARH255132,1,DINV,2025-11-20,2025-11-20,C,11214.97,0.0,GBP,,
HOL,CHOL0002,ARH398477,1,DINV,2025-08-28,2025-08-28,C,10670.38,0.0,GBP,,
HOL,CHOL0072,ARH191853,1,DINV,2025-04-17,2025-04-17,C,21890.03,0.0,GBP,,
HOL,CHOL0054,ARH942725,1,PINV,2025-12-06,2025-12-06,C,8801.29,0.0,GBP,,
HOL,CHOL0055,ARH863998,1,PINV,2025-11-07,2025-11-07,C,4359.12,0.0,GBP,,
HOL,CHOL0077,ARH190259,1,DINV,2025-02-03,2025-02-03,C,6391.96,494.19,GBP,,HIS_REST_NOT_ZERO
HOL,CHOL0077,ARH650818,1,PINV,2025-08-18,,C,2170.25,0.0,GBP,,HIS_DATE_MISSING
HOL,CHOL0077,ARH892843,1,DCRN,2025-09-28,2025-09-28,C,-473.06,0.0,GBP,,HIS_CN_NO_REF
HOL,CHOL0077,ARH682813,1,SINV,2025-12-26,2025-12-26,C,21365.36,0.0,GBP,,HIS_DUP
HOL,CHOL0077,ARH682813,1,DINV,2025-04-01,2025-04-01,C,5742.99,0.0,GBP,,HIS_DUP
HOL,CGHOST9999,ARH403524,1,DINV,2026-01-24,2026-01-24,C,1458.54,0.0,GBP,,HIS_ORPHANED
