client,asset_id,description,short_info,long_info,asset_group,status,date_from,date_to,cap_date_from,cap_period_from,base_amount,org_amount,org_amt_date,std_amount,std_amt_date,ins_amount,grant_flag,parent_asset,at_attr_id,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,apar_id,period_from,period_to,wf_state,last_update,_edge_case
HOL,ATHOL00022,User-centric multi-tasking alliance,repurpose cross-platform e-bus,Nisi culpa debitis possimus.,IT_HW,N,2020-04-11,,2020-04-13,202004,53683.15,90968.12,2020-04-11,88088.66,2020-04-11,100652.81,0,,OPER,CC002,SUB02,,,,,,SUP0005,202004,,T,2025-04-27,
HOL,ATHOL00023,Secured composite success,grow revolutionary e-markets,Perspiciatis dolores ipsam eligendi quibusdam ipsum.,LAND,N,2019-07-15,,2019-07-27,201907,97905.23,127168.58,2019-07-15,131287.04,2019-07-15,146314.71,0,,OFFICE,CC002,SUB04,,,,,,SUP0005,201907,,T,2025-06-10,
HOL,ATHOL00024,Public-key disintermediate function,exploit collaborative solution,Perspiciatis necessitatibus ipsam quo quod magnam.,FURN,N,2018-03-31,,2018-06-27,201806,174472.23,192888.9,2018-03-31,201421.65,2018-03-31,157682.23,0,,LEASE,CC010,SUB02,,,,,,SUP0015,201803,,T,2026-01-25,
HOL,ATHOL00025,Operative cohesive customer loyalty,exploit global portals,Odit soluta mollitia.,IFRS16,N,2019-06-01,,2019-07-28,201907,36483.43,58883.73,2019-06-01,63641.23,2019-06-01,51676.74,0,,OFFICE,CC004,SUB04,,,,,,SUP0010,201906,,T,2025-09-30,
HOL,ATHOL00026,Customer-focused transitional model,iterate 24/7 technologies,Quis earum temporibus corporis.,IT_HW,N,2021-11-09,,2022-01-15,202201,60982.42,104955.88,2021-11-09,111279.67,2021-11-09,89775.0,0,,LEASE,CC001,SUB04,,,,,,SUP0012,202111,,T,2025-12-27,
HOL,ATHOL00027,Optional background definition,transition customized converge,Impedit id fugiat.,FURN,N,2017-05-15,,2017-07-20,201707,136773.07,212865.93,2017-05-15,203192.93,2017-05-15,247376.28,0,,OPER,CC020,SUB04,,,,,,SUP0003,201705,,T,2025-07-10,
HOL,ATHOL00028,Networked attitude-oriented hub,enhance proactive vortals,Saepe officiis recusandae consequuntur.,VEHICLE,N,2021-04-11,,2021-05-25,202105,164589.83,232652.75,2021-04-11,232746.14,2021-04-11,208063.97,0,,HERIT,CC003,SUB02,,,,,,SUP0001,202104,,T,2025-08-29,
HOL,ATHOL00029,Horizontal methodical standardization,e-enable global info-mediaries,Nostrum temporibus accusantium dolor corrupti velit non.,LAND,N,2017-04-30,,2017-07-22,201707,48222.86,84154.94,2017-04-30,80567.91,2017-04-30,95255.37,0,,OPER,CC020,SUB04,,,,,,SUP0015,201704,,T,2026-01-28,
HOL,ATHOL00030,Optimized bifurcated time-frame,envisioneer web-enabled conten,Aliquid in recusandae itaque.,FURN,N,2016-04-11,,2016-04-21,201604,3185.91,5241.47,2016-04-11,5292.63,2016-04-11,5717.89,0,,OFFICE,CC004,SUB01,,,,,,SUP0010,201604,,T,2025-07-18,
HOL,ATHOL00031,Customizable modular policy,incubate vertical functionalit,Nemo quaerat eos a explicabo necessitatibus deleniti.,IFRS16,N,2019-08-06,,2019-08-21,201908,8812.5,12413.49,2019-08-06,11328.07,2019-08-06,14085.28,0,,INFRA,CC005,SUB01,,,,,,SUP0017,201908,,T,2026-01-07,
HOL,ATHOL00032,Synchronized attitude-oriented moderator,disintermediate innovative del,Magni voluptates mollitia hic iusto odio voluptatem.,PLANT,N,2018-12-06,,2018-12-24,201812,36643.41,73172.36,2018-12-06,69375.65,2018-12-06,70730.38,0,,HERIT,CC005,SUB03,,,,,,SUP0003,201812,,T,2025-12-13,
HOL,ATHOL00033,Function-based value-added adapter,seize innovative convergence,Quasi occaecati quo quasi ex.,LAND,N,2022-04-27,,2022-06-30,202206,148282.13,196709.88,2022-04-27,192400.11,2022-04-27,194359.99,0,,INFRA,CC003,SUB03,,,,,,SUP0001,202204,,T,2025-09-17,
HOL,ATHOL00034,Balanced heuristic moratorium,facilitate virtual methodologi,Voluptatem laboriosam delectus consequatur quaerat velit alias.,BLDG,N,2025-01-22,,2025-01-30,202501,74974.15,86528.22,2025-01-22,91226.73,2025-01-22,94668.34,0,,LEASE,CC002,SUB01,,,,,,SUP0012,202501,,T,2025-12-23,
HOL,ATHOL00035,Exclusive 6thgeneration utilization,aggregate revolutionary vortal,Maiores voluptatibus molestiae ducimus quidem.,IFRS16,N,2020-01-06,,2020-03-28,202003,39305.48,44184.74,2020-01-06,48433.71,2020-01-06,43805.3,0,,OPER,CC020,SUB02,,,,,,SUP0003,202001,,T,2025-11-08,
HOL,ATHOL00036,Ergonomic executive help-desk,cultivate scalable experiences,Earum reiciendis ipsa id ipsam vero.,LAND,N,2016-08-19,,2016-09-25,201609,45491.44,50796.95,2016-08-19,48923.52,2016-08-19,46937.92,0,,INFRA,CC020,SUB04,,,,,,SUP0009,201608,,T,2025-04-06,
HOL,ATHOL00037,Mandatory contextually-based methodology,scale rich relationships,Eaque assumenda incidunt inventore voluptatum debitis eos.,LAND,N,2024-08-31,,2024-11-21,202411,32689.72,48180.31,2024-08-31,51705.16,2024-08-31,44941.14,0,,HERIT,CC020,SUB03,,,,,,SUP0014,202408,,T,2025-10-09,
HOL,ATHOL00038,Customer-focused attitude-oriented Graphic Interface,repurpose distributed content,Nobis incidunt porro expedita aliquam sit explicabo.,FURN,N,2024-07-21,,2024-09-15,202409,155104.57,223712.05,2024-07-21,223542.17,2024-07-21,223490.43,0,,OFFICE,CC003,SUB01,,,,,,SUP0014,202407,,T,2025-04-28,
HOL,ATHOL00039,Optional even-keeled productivity,generate leading-edge partners,Facilis reiciendis perspiciatis veritatis consequuntur non.,IT_SW,N,2021-01-17,,2021-04-04,202104,146835.21,248776.99,2021-01-17,239881.29,2021-01-17,206989.31,0,,LEASE,CC003,SUB04,,,,,,SUP0020,202101,,T,2025-10-23,
HOL,ATHOL00040,Organic 5thgeneration capacity,optimize web-enabled experienc,Facere veniam adipisci corrupti ipsum fuga.,PLANT,N,2018-02-01,,2018-04-30,201804,80500.31,111255.14,2018-02-01,113810.7,2018-02-01,108359.86,0,,HERIT,CC001,SUB04,,,,,,SUP0012,201802,,T,2025-12-06,
HOL,ATHOL00041,Organic well-modulated archive,maximize global deliverables,Id officiis dolorum beatae quasi libero.,IFRS16,N,2025-03-15,,2025-06-09,202506,20837.65,40416.69,2025-03-15,36656.31,2025-03-15,33420.29,0,,LEASE,CC003,SUB04,,,,,,SUP0019,202503,,T,2025-04-04,
HOL,ATHOL00042,Networked next generation capability,morph back-end systems,Voluptatum eligendi totam laudantium commodi.,PLANT,N,2023-01-02,,2023-01-21,202301,165577.87,169925.98,2023-01-02,168020.75,2023-01-02,141166.72,0,,OPER,CC005,SUB03,,,,,,SUP0013,202301,,T,2025-08-26,
HOL,ATHOL00043,Compatible local conglomeration,productize visionary infrastru,Pariatur quae mollitia enim error culpa.,FURN,N,2023-07-03,,2023-08-07,202308,34950.1,62778.11,2023-07-03,62766.11,2023-07-03,59940.22,0,,OFFICE,CC001,SUB03,,,,,,SUP0009,202307,,T,2026-03-14,
HOL,ATHOL00044,Triple-buffered tangible productivity,reinvent bricks-and-clicks min,Commodi dicta consequuntur ratione ad.,IFRS16,N,2021-03-22,,2021-04-18,202104,160114.16,249093.1,2021-03-22,234156.4,2021-03-22,212798.08,0,,HERIT,CC004,SUB02,,,,,,SUP0015,202103,,T,2025-05-02,
HOL,ATHOL00045,Reactive object-oriented hub,target end-to-end e-business,Aperiam id quaerat laboriosam.,IT_SW,N,2023-11-13,,2023-12-23,202312,142854.36,167126.03,2023-11-13,180206.37,2023-11-13,190614.73,0,,OPER,CC020,SUB03,,,,,,SUP0017,202311,,T,2025-07-11,
HOL,ATHOL00046,Open-source zero administration installation,transition intuitive channels,Odit ipsum perspiciatis exercitationem soluta quos.,IFRS16,N,2017-07-31,,2017-08-25,201708,122511.33,198120.39,2017-07-31,179349.83,2017-07-31,202401.49,0,,LEASE,CC004,SUB02,,,,,,SUP0020,201707,,T,2025-05-02,
HOL,ATHOL00047,Sharable optimizing contingency,revolutionize end-to-end e-com,Tenetur animi commodi corrupti cum eum quae.,IFRS16,N,2016-12-15,,2017-01-23,201701,85710.12,99840.92,2016-12-15,100354.02,2016-12-15,110590.37,0,,OFFICE,CC001,SUB02,,,,,,SUP0011,201612,,T,2026-02-10,
HOL,ATHOL00048,Monitored multi-state forecast,iterate strategic portals,Odio mollitia commodi esse modi.,FURN,N,2017-01-18,,2017-03-16,201703,88557.21,116725.38,2017-01-18,125548.89,2017-01-18,129810.9,0,,OFFICE,CC002,SUB02,,,,,,SUP0014,201701,,T,2025-12-01,
HOL,ATHOL00049,Profit-focused secondary concept,benchmark B2C communities,Quam non sapiente natus repudiandae adipisci aliquid odit.,FURN,N,2016-11-02,,2016-11-17,201611,84615.83,129766.48,2016-11-02,125163.94,2016-11-02,140632.2,0,,LEASE,CC005,SUB03,,,,,,SUP0003,201611,,T,2025-07-25,
HOL,ATHOL00050,Re-engineered empowering projection,architect next-generation e-bu,Libero occaecati enim.,IT_SW,N,2018-06-03,,2018-08-23,201808,152366.82,239109.73,2018-06-03,244581.91,2018-06-03,200223.64,0,,OPER,CC005,SUB02,,,,,,SUP0006,201806,,T,2026-02-19,
HOL,ATHOL00051,Innovative mission-critical encryption,exploit wireless content,Asperiores animi ipsam laborum dignissimos non est.,LAND,N,2023-03-22,,2023-06-07,202306,81513.14,84736.09,2023-03-22,90247.94,2023-03-22,68750.58,0,,HERIT,CC010,SUB03,,,,,,SUP0007,202303,,T,2026-01-05,
HOL,ATHOL00052,Universal foreground superstructure,cultivate cross-media interfac,Quis maiores autem dolores.,IT_SW,N,2020-11-21,,2021-02-08,202102,119789.34,159928.3,2020-11-21,164467.3,2020-11-21,147268.0,0,,OPER,CC020,SUB04,,,,,,SUP0010,202011,,T,2025-11-06,
HOL,ATHOL00053,Decentralized encompassing knowledge user,incentivize B2B platforms,Enim fugit nostrum.,IFRS16,N,2017-01-13,,2017-04-11,201704,11119.73,15448.3,2017-01-13,15338.44,2017-01-13,14460.8,0,,OPER,CC003,SUB03,,,,,,SUP0012,201701,,T,2025-10-09,
HOL,ATHOL00054,Fully-configurable cohesive Graphic Interface,re-contextualize turn-key solu,Libero maiores libero est.,IT_HW,N,2017-09-07,,2017-10-24,201710,71341.97,128987.54,2017-09-07,128122.62,2017-09-07,116990.24,0,,OPER,CC002,SUB01,,,,,,SUP0002,201709,,T,2025-08-14,
HOL,ATHOL00055,Ameliorated background infrastructure,deliver ubiquitous action-item,Nesciunt aliquid eligendi nisi sapiente.,FURN,N,2020-07-11,,2020-09-27,202009,102868.9,104824.62,2020-07-11,111396.66,2020-07-11,123011.76,0,,LEASE,CC002,SUB02,,,,,,SUP0016,202007,,T,2025-12-07,
HOL,ATHOL00056,Synergistic methodical forecast,incubate value-added platforms,Consequatur eaque facilis illo aliquid amet.,BLDG,N,2021-06-15,,2021-08-17,202108,164582.99,219829.38,2021-06-15,239404.43,2021-06-15,220308.12,0,,OPER,CC002,SUB03,,,,,,SUP0002,202106,,T,2025-04-13,
HOL,ATHOL00057,Realigned content-based hierarchy,engage front-end partnerships,Magnam quisquam eius voluptatibus perspiciatis blanditiis.,IFRS16,N,2019-05-17,,2019-07-19,201907,137827.58,149580.93,2019-05-17,143171.34,2019-05-17,120154.02,0,,HERIT,CC004,SUB02,,,,,,SUP0009,201905,,T,2025-09-22,
HOL,ATHOL00058,Cross-platform hybrid hub,generate cross-platform schema,Quidem dicta magni magnam aliquid consequatur.,IT_HW,N,2024-10-13,,2024-12-03,202412,64287.66,91801.37,2024-10-13,89277.27,2024-10-13,84038.71,0,,INFRA,CC005,SUB04,,,,,,SUP0018,202410,,T,2025-08-09,
HOL,ATHOL00059,Managed methodical model,target B2C metrics,Consequuntur ut et hic nulla sapiente nisi.,BLDG,N,2023-03-17,,2023-06-12,202306,86317.5,152955.26,2023-03-17,149709.66,2023-03-17,170997.69,0,,LEASE,CC005,SUB03,,,,,,SUP0005,202303,,T,2025-06-28,
HOL,ATHOL00060,Profit-focused multimedia monitoring,synthesize seamless info-media,Fuga perferendis voluptatem.,LAND,N,2022-12-22,,2023-02-25,202302,52348.79,100646.08,2022-12-22,93339.91,2022-12-22,93924.56,0,,INFRA,CC005,SUB04,,,,,,SUP0005,202212,,T,2026-01-23,
HOL,ATHOL00061,Reduced fault-tolerant utilization,productize proactive metrics,Eaque omnis voluptas neque dolorem amet laboriosam.,FURN,N,2021-12-31,,2022-01-17,202201,66399.92,82327.48,2021-12-31,80564.92,2021-12-31,86163.96,0,,LEASE,CC005,SUB03,,,,,,SUP0017,202112,,T,2025-12-04,
HOL,ATHOL00062,Progressive responsive success,re-intermediate enterprise eye,Adipisci veniam beatae accusantium et.,LAND,N,2022-03-10,,2022-05-11,202205,115246.31,177330.58,2022-03-10,172661.74,2022-03-10,189659.06,0,,INFRA,CC005,SUB03,,,,,,SUP0001,202203,,T,2026-01-18,
HOL,ATHOL00063,Distributed incremental solution,architect transparent mindshar,Ullam sit quasi aperiam consequuntur dignissimos eveniet optio.,IT_HW,N,2021-07-16,,2021-08-18,202108,215538.95,241784.14,2021-07-16,252490.35,2021-07-16,249861.98,0,,OPER,CC005,SUB04,,,,,,SUP0005,202107,,T,2026-03-02,
HOL,ATHOL00064,Progressive homogeneous functionalities,reinvent ubiquitous users,Molestias perspiciatis sint perspiciatis rem eaque.,IT_HW,N,2018-12-08,,2018-12-12,201812,121890.18,143356.28,2018-12-08,129563.61,2018-12-08,132672.94,0,,OPER,CC004,SUB02,,,,,,SUP0014,201812,,T,2025-11-30,
HOL,ATHOL00065,Polarized content-based encryption,empower seamless e-services,Quo provident porro laborum laboriosam.,LAND,N,2024-11-28,,2025-02-14,202502,215533.21,230169.98,2024-11-28,239642.64,2024-11-28,231890.11,0,,OFFICE,CC003,SUB04,,,,,,SUP0017,202411,,T,2025-09-27,
HOL,ATHOL00066,Realigned uniform focus group,envisioneer 24/7 networks,Fugit voluptatem repellendus veritatis rem enim enim.,PLANT,N,2019-09-27,,2019-10-19,201910,88297.43,115186.05,2019-09-27,119237.57,2019-09-27,132125.51,0,,LEASE,CC005,SUB04,,,,,,SUP0007,201909,,T,2025-07-23,
HOL,ATHOL00067,Universal attitude-oriented hardware,re-contextualize visionary exp,Quibusdam distinctio repudiandae earum natus.,IT_SW,N,2019-05-07,,2019-07-17,201907,72781.96,74975.54,2019-05-07,79041.83,2019-05-07,81120.56,0,,INFRA,CC003,SUB04,,,,,,SUP0012,201905,,T,2025-12-30,
HOL,ATHOL00068,Future-proofed client-driven benchmark,re-intermediate web-enabled ac,Pariatur minus odit.,VEHICLE,N,2025-02-19,,2025-03-26,202503,56883.9,72303.45,2025-02-19,78026.42,2025-02-19,69253.18,0,,LEASE,CC020,SUB02,,,,,,SUP0010,202502,,T,2025-04-09,
HOL,ATHOL00069,Business-focused bandwidth-monitored installation,facilitate collaborative platf,A mollitia ut illum.,IT_SW,N,2019-06-12,,2019-06-22,201906,62684.01,86917.7,2019-06-12,91217.32,2019-06-12,76973.86,0,,OFFICE,CC003,SUB03,,,,,,SUP0005,201906,,T,2025-05-13,
HOL,ATHOL00070,Phased mission-critical projection,aggregate front-end vortals,Officia tenetur at nemo modi.,IT_HW,N,2023-02-14,,2023-04-30,202304,31628.5,60200.88,2023-02-14,61861.76,2023-02-14,49424.71,0,,INFRA,CC003,SUB04,,,,,,SUP0004,202302,,T,2026-03-02,
HOL,ATHOL00071,Up-sized 5thgeneration conglomeration,deploy virtual paradigms,Ratione delectus quibusdam sit enim alias.,FURN,N,2024-11-11,,2024-11-28,202411,1389.71,1792.77,2024-11-11,1759.39,2024-11-11,2104.73,0,,INFRA,CC004,SUB02,,,,,,SUP0010,202411,,T,2025-08-30,
HOL,ATHOL00072,Innovative non-volatile portal,transform open-source technolo,Voluptatibus molestiae laudantium vel sed iusto deserunt.,IT_HW,N,2019-06-03,,2019-08-24,201908,13496.32,15261.07,2019-06-03,15368.36,2019-06-03,16623.08,0,,HERIT,CC002,SUB04,,,,,,SUP0006,201906,,T,2025-04-06,
HOL,ATHOL00073,Customizable full-range complexity,drive ubiquitous experiences,Quaerat accusamus excepturi eos perferendis.,IT_SW,N,2020-09-02,,2020-11-04,202011,41088.24,46984.75,2020-09-02,50524.99,2020-09-02,37761.97,0,,OFFICE,CC005,SUB01,,,,,,SUP0011,202009,,T,2025-08-11,
HOL,ATHOL00074,Ergonomic context-sensitive pricing structure,iterate wireless e-commerce,Eveniet id atque voluptatem labore vel ab.,FURN,N,2021-04-25,,2021-07-16,202107,101625.98,136053.47,2021-04-25,145606.05,2021-04-25,134313.12,0,,OPER,CC020,SUB01,,,,,,SUP0011,202104,,T,2025-06-10,
HOL,ATHOL00075,Networked disintermediate knowledge user,engineer real-time supply-chai,Nesciunt nemo ea facere dolores.,LAND,N,2024-06-01,,2024-07-29,202407,139418.86,162247.19,2024-06-01,169925.31,2024-06-01,181117.68,0,,OFFICE,CC010,SUB02,,,,,,SUP0006,202406,,T,2026-01-25,
HOL,ATHOL00076,Synchronized bottom-line Local Area Network,monetize granular interfaces,Unde suscipit quo porro odit velit facilis.,BLDG,N,2023-05-20,,2023-07-10,202307,156705.75,206833.96,2023-05-20,202731.75,2023-05-20,173358.72,0,,OPER,CC004,SUB03,,,,,,SUP0008,202305,,T,2025-03-22,
HOL,ATHOL00077,Face-to-face directional challenge,syndicate B2C bandwidth,Fuga praesentium totam quidem reiciendis repudiandae quis perspiciatis.,PLANT,N,2019-02-22,,2019-04-12,201904,51966.05,59262.55,2019-02-22,56915.11,2019-02-22,64545.98,0,,HERIT,CC003,SUB03,,,,,,SUP0008,201902,,T,2025-04-19,
HOL,ATHOL00078,Right-sized zero tolerance artificial intelligence,mesh customized deliverables,Aspernatur natus aperiam molestias magnam nemo.,IT_SW,N,2023-09-16,,2023-10-01,202310,67620.8,116616.05,2023-09-16,121054.23,2023-09-16,123086.44,0,,LEASE,CC003,SUB02,,,,,,SUP0008,202309,,T,2025-05-26,
HOL,ATHOL00079,Distributed composite Graphic Interface,iterate visionary initiatives,Quaerat laborum tempore ipsum animi.,PLANT,N,2021-07-31,,2021-08-19,202108,113380.85,114017.18,2021-07-31,112098.17,2021-07-31,116262.61,0,,INFRA,CC020,SUB02,,,,,,SUP0008,202107,,T,2026-03-02,
HOL,ATHOL00080,De-engineered multimedia instruction set,target leading-edge schemas,Perferendis est accusantium ducimus a dolor asperiores.,IFRS16,N,2024-09-06,,2024-11-21,202411,118111.68,218347.2,2024-09-06,219577.5,2024-09-06,206275.65,0,,OFFICE,CC001,SUB01,,,,,,SUP0018,202409,,T,2025-12-02,
HOL,ATHOL00081,,optimize leading-edge partners,Adipisci illum quisquam quisquam voluptatem officia in.,IFRS16,N,2018-06-27,,2018-09-08,201809,78254.98,134396.71,2018-06-27,124081.49,2018-06-27,118559.48,0,,OFFICE,CC004,SUB01,,,,,,SUP0017,201806,,T,2025-11-02,AT_MISSING_DESCRIPTION
HOL,ATHOL00082,Multi-tiered local implementation,synergize strategic methodolog,Consequatur similique blanditiis voluptatibus hic consectetur voluptatem.,,N,2016-11-03,,2016-12-31,201612,23651.82,33420.11,2016-11-03,33813.11,2016-11-03,35729.68,0,,LEASE,CC010,SUB01,,,,,,SUP0013,201611,,T,2025-07-27,AT_MISSING_ASSET_GROUP
HOL,ATHOL00083,Adaptive web-enabled adapter,monetize plug-and-play methodo,Incidunt fugit dolorem itaque culpa deleniti soluta.,PLANT,N,2016-04-02,,,201604,75673.05,144788.66,2016-04-02,150591.35,2016-04-02,147172.66,0,,HERIT,CC001,SUB04,,,,,,SUP0002,201604,,T,2025-08-12,AT_MISSING_CAP_DATE
HOL,ATHOL00084,Virtual bifurcated alliance,exploit next-generation e-busi,Dolores architecto nisi.,VEHICLE,N,2020-10-20,,2020-11-12,202011,,192358.53,2020-10-20,187528.83,2020-10-20,222469.07,0,,INFRA,CC020,SUB04,,,,,,SUP0013,202010,,T,2025-04-29,AT_MISSING_BASE_AMOUNT
HOL,ATHOL00085,Organized radical service-desk,unleash scalable action-items,Illo doloremque dolor.,PLANT,N,2023-11-16,,2024-02-08,202402,123893.09,,2023-11-16,202020.08,2023-11-16,261815.61,0,,INFRA,CC005,SUB02,,,,,,SUP0008,202311,,T,2025-03-20,AT_MISSING_ORG_AMOUNT
HOL,ATHOL00086,Vision-oriented analyzing challenge,deliver distributed e-services,Eum nisi perferendis eum error corporis optio.,VEHICLE,N,2024-09-12,,2024-09-14,202409,178949.83,244633.43,2024-09-12,246195.84,2024-09-12,276275.34,0,,OPER,,SUB03,,,,,,SUP0005,202409,,T,2025-08-07,AT_MISSING_DIM1
