client,asset_id,depr_book_id,trans_type,trans_date,at_trans_date,fiscal_year,amount,dc_flag,_edge_case
CM,AHOC0005,FINBOOK,CA,2021-07-11,2021-07-11,2021,126455.65,1,
CM,AHOC0005,FINBOOK,ND,2021-08-10,2021-08-10,2021,-1264.56,-1,
CM,AHOC0005,FINBOOK,ND,2021-09-09,2021-09-09,2021,-1264.56,-1,
CM,AHOC0005,FINBOOK,ND,2021-10-09,2021-10-09,2021,-1264.56,-1,
CF,AHOC0006,FINBOOK,CA,2017-07-01,2017-07-01,2017,149923.95,1,
CF,AHOC0006,FINBOOK,ND,2017-07-31,2017-07-31,2017,-1499.24,-1,
CF,AHOC0006,FINBOOK,ND,2017-08-30,2017-08-30,2017,-1499.24,-1,
CF,AHOC0006,FINBOOK,ND,2017-09-29,2017-09-29,2017,-1499.24,-1,
CF,AHOC0006,FINBOOK,SA,2024-07-08,2024-07-08,2024,74961.975,-1,
CA,AHOC0007,FINBOOK,CA,2024-10-22,2024-10-22,2024,383151.38,1,
CA,AHOC0007,FINBOOK,ND,2024-11-21,2024-11-21,2024,-3831.51,-1,
CA,AHOC0007,FINBOOK,ND,2024-12-21,2024-12-21,2024,-3831.51,-1,
CA,AHOC0007,FINBOOK,ND,2025-01-20,2025-01-20,2025,-3831.51,-1,
CA,AHOC0008,FINBOOK,CA,2018-11-11,2018-11-11,2018,110888.47,1,
CA,AHOC0008,FINBOOK,ND,2018-12-11,2018-12-11,2018,-1108.88,-1,
CA,AHOC0008,FINBOOK,ND,2019-01-10,2019-01-10,2019,-1108.88,-1,
CA,AHOC0008,FINBOOK,ND,2019-02-09,2019-02-09,2019,-1108.88,-1,
CF,AHOC0009,FINBOOK,CA,2021-01-06,2021-01-06,2021,234045.31,1,
CF,AHOC0009,FINBOOK,ND,2021-02-05,2021-02-05,2021,-2340.45,-1,
CF,AHOC0009,FINBOOK,ND,2021-03-07,2021-03-07,2021,-2340.45,-1,
CF,AHOC0009,FINBOOK,ND,2021-04-06,2021-04-06,2021,-2340.45,-1,
CA,AHOC0010,FINBOOK,CA,2025-11-17,2025-11-17,2025,26243.58,1,
CA,AHOC0010,FINBOOK,SA,2025-12-12,2025-12-12,2025,13121.79,-1,
CF,AHOC0011,TAXBOOK,CA,2025-01-23,2025-01-23,2025,331273.78,1,
CF,AHOC0011,TAXBOOK,ND,2025-02-22,2025-02-22,2025,-3312.74,-1,
CF,AHOC0011,TAXBOOK,ND,2025-03-24,2025-03-24,2025,-3312.74,-1,
CF,AHOC0011,TAXBOOK,ND,2025-04-23,2025-04-23,2025,-3312.74,-1,
CF,AHOC0011,FINBOOK,CA,2025-01-23,2025-01-23,2025,331273.78,1,
CF,AHOC0011,FINBOOK,ND,2025-02-22,2025-02-22,2025,-3312.74,-1,
CF,AHOC0011,FINBOOK,ND,2025-03-24,2025-03-24,2025,-3312.74,-1,
CF,AHOC0011,FINBOOK,ND,2025-04-23,2025-04-23,2025,-3312.74,-1,
CA,AHOC0012,FINBOOK,CA,2019-03-05,2019-03-05,2019,335193.26,1,
CA,AHOC0012,FINBOOK,ND,2019-04-04,2019-04-04,2019,-3351.93,-1,
CA,AHOC0012,FINBOOK,ND,2019-05-04,2019-05-04,2019,-3351.93,-1,
CA,AHOC0012,FINBOOK,ND,2019-06-03,2019-06-03,2019,-3351.93,-1,
CA,AHOC0013,FINBOOK,CA,2024-02-23,2024-02-23,2024,306227.21,1,
CA,AHOC0013,FINBOOK,ND,2024-03-24,2024-03-24,2024,-3062.27,-1,
CA,AHOC0013,FINBOOK,ND,2024-04-23,2024-04-23,2024,-3062.27,-1,
CA,AHOC0013,FINBOOK,ND,2024-05-23,2024-05-23,2024,-3062.27,-1,
CM,AHOC0014,FINBOOK,CA,2017-04-28,2017-04-28,2017,212364.31,1,
CM,AHOC0014,FINBOOK,ND,2017-05-28,2017-05-28,2017,-2123.64,-1,
CM,AHOC0014,FINBOOK,ND,2017-06-27,2017-06-27,2017,-2123.64,-1,
CM,AHOC0014,FINBOOK,ND,2017-07-27,2017-07-27,2017,-2123.64,-1,
CM,AHOC0015,FINBOOK,CA,2025-03-26,2025-03-26,2025,20907.54,1,
CM,AHOC0015,FINBOOK,ND,2025-04-25,2025-04-25,2025,-209.08,-1,
CM,AHOC0015,FINBOOK,ND,2025-05-25,2025-05-25,2025,-209.08,-1,
CM,AHOC0015,FINBOOK,ND,2025-06-24,2025-06-24,2025,-209.08,-1,
CF,AHOC0016,FINBOOK,CA,2019-03-28,2019-03-28,2019,191888.32,1,
CF,AHOC0016,FINBOOK,ND,2019-04-27,2019-04-27,2019,-1918.88,-1,
CF,AHOC0016,FINBOOK,ND,2019-05-27,2019-05-27,2019,-1918.88,-1,
CF,AHOC0016,FINBOOK,ND,2019-06-26,2019-06-26,2019,-1918.88,-1,
CF,AHOC0016,FINBOOK,SA,2020-07-07,2020-07-07,2020,95944.16,-1,
CM,AHOC0017,FINBOOK,CA,2019-03-05,2019-03-05,2019,290714.28,1,
CM,AHOC0017,FINBOOK,ND,2019-04-04,2019-04-04,2019,-2907.14,-1,
CM,AHOC0017,FINBOOK,ND,2019-05-04,2019-05-04,2019,-2907.14,-1,
CM,AHOC0017,FINBOOK,ND,2019-06-03,2019-06-03,2019,-2907.14,-1,
CM,AHOC0018,TAXBOOK,CA,2021-01-27,2021-01-27,2021,460464.66,1,
CM,AHOC0018,TAXBOOK,ND,2021-02-26,2021-02-26,2021,-4604.65,-1,
CM,AHOC0018,TAXBOOK,ND,2021-03-28,2021-03-28,2021,-4604.65,-1,
CM,AHOC0018,TAXBOOK,ND,2021-04-27,2021-04-27,2021,-4604.65,-1,
CM,AHOC0018,TAXBOOK,SA,2024-11-15,2024-11-15,2024,230232.33,-1,
CM,AHOC0018,FINBOOK,CA,2021-01-27,2021-01-27,2021,460464.66,1,
CM,AHOC0018,FINBOOK,ND,2021-02-26,2021-02-26,2021,-4604.65,-1,
CM,AHOC0018,FINBOOK,ND,2021-03-28,2021-03-28,2021,-4604.65,-1,
CM,AHOC0018,FINBOOK,ND,2021-04-27,2021-04-27,2021,-4604.65,-1,
CM,AHOC0018,FINBOOK,SA,2024-11-15,2024-11-15,2024,230232.33,-1,
CF,AHOC0019,FINBOOK,CA,2025-03-18,2025-03-18,2025,479956.17,1,
CF,AHOC0019,FINBOOK,ND,2025-04-17,2025-04-17,2025,-4799.56,-1,
CF,AHOC0019,FINBOOK,ND,2025-05-17,2025-05-17,2025,-4799.56,-1,
CF,AHOC0019,FINBOOK,ND,2025-06-16,2025-06-16,2025,-4799.56,-1,
CM,AHOC0020,FINBOOK,CA,2020-09-24,2020-09-24,2020,74638.1,1,
CM,AHOC0020,FINBOOK,ND,2020-10-24,2020-10-24,2020,-746.38,-1,
CM,AHOC0020,FINBOOK,ND,2020-11-23,2020-11-23,2020,-746.38,-1,
CM,AHOC0020,FINBOOK,ND,2020-12-23,2020-12-23,2020,-746.38,-1,
CM,AHOC0021,FINBOOK,CA,2023-03-05,2023-03-05,2023,359917.71,1,
CM,AHOC0021,FINBOOK,ND,2023-04-04,2023-04-04,2023,-3599.18,-1,
CM,AHOC0021,FINBOOK,ND,2023-05-04,2023-05-04,2023,-3599.18,-1,
CM,AHOC0021,FINBOOK,ND,2023-06-03,2023-06-03,2023,-3599.18,-1,
CM,AHOC0022,FINBOOK,CA,2018-01-02,2018-01-02,2018,107762.49,1,
CM,AHOC0022,FINBOOK,ND,2018-02-01,2018-02-01,2018,-1077.62,-1,
CM,AHOC0022,FINBOOK,ND,2018-03-03,2018-03-03,2018,-1077.62,-1,
CM,AHOC0022,FINBOOK,ND,2018-04-02,2018-04-02,2018,-1077.62,-1,
CM,AHOC0023,FINBOOK,CA,2021-09-22,2021-09-22,2021,137194.72,1,
CM,AHOC0023,FINBOOK,ND,2021-10-22,2021-10-22,2021,-1371.95,-1,
CM,AHOC0023,FINBOOK,ND,2021-11-21,2021-11-21,2021,-1371.95,-1,
CM,AHOC0023,FINBOOK,ND,2021-12-21,2021-12-21,2021,-1371.95,-1,
CA,AHOC0024,FINBOOK,CA,2019-12-04,2019-12-04,2019,380853.62,1,
CA,AHOC0024,FINBOOK,ND,2020-01-03,2020-01-03,2020,-3808.54,-1,
CA,AHOC0024,FINBOOK,ND,2020-02-02,2020-02-02,2020,-3808.54,-1,
CA,AHOC0024,FINBOOK,ND,2020-03-03,2020-03-03,2020,-3808.54,-1,
CM,AHOC0025,TAXBOOK,CA,2022-08-22,2022-08-22,2022,109764.31,1,
CM,AHOC0025,TAXBOOK,ND,2022-09-21,2022-09-21,2022,-1097.64,-1,
CM,AHOC0025,TAXBOOK,ND,2022-10-21,2022-10-21,2022,-1097.64,-1,
CM,AHOC0025,TAXBOOK,ND,2022-11-20,2022-11-20,2022,-1097.64,-1,
CM,AHOC0025,FINBOOK,CA,2022-08-22,2022-08-22,2022,109764.31,1,
CM,AHOC0025,FINBOOK,ND,2022-09-21,2022-09-21,2022,-1097.64,-1,
CM,AHOC0025,FINBOOK,ND,2022-10-21,2022-10-21,2022,-1097.64,-1,
CM,AHOC0025,FINBOOK,ND,2022-11-20,2022-11-20,2022,-1097.64,-1,
CM,AHOC0026,FINBOOK,CA,2020-01-22,2020-01-22,2020,424938.24,1,
CM,AHOC0026,FINBOOK,ND,2020-02-21,2020-02-21,2020,-4249.38,-1,
CM,AHOC0026,FINBOOK,ND,2020-03-22,2020-03-22,2020,-4249.38,-1,
CM,AHOC0026,FINBOOK,ND,2020-04-21,2020-04-21,2020,-4249.38,-1,
CF,AHOC0027,FINBOOK,CA,2026-02-27,2026-02-27,2026,375487.66,1,
CF,AHOC0027,FINBOOK,SA,2026-03-18,2026-03-18,2026,187743.83,-1,
CA,AHOC0028,FINBOOK,CA,2018-12-27,2018-12-27,2018,238570.46,1,
CA,AHOC0028,FINBOOK,ND,2019-01-26,2019-01-26,2019,-2385.7,-1,
CA,AHOC0028,FINBOOK,ND,2019-02-25,2019-02-25,2019,-2385.7,-1,
CA,AHOC0028,FINBOOK,ND,2019-03-27,2019-03-27,2019,-2385.7,-1,
CF,AHOC0029,FINBOOK,CA,2024-08-10,2024-08-10,2024,475487.9,1,
CF,AHOC0029,FINBOOK,ND,2024-09-09,2024-09-09,2024,-4754.88,-1,
CF,AHOC0029,FINBOOK,ND,2024-10-09,2024-10-09,2024,-4754.88,-1,
CF,AHOC0029,FINBOOK,ND,2024-11-08,2024-11-08,2024,-4754.88,-1,
CA,AHOC0030,TAXBOOK,CA,2016-06-02,2016-06-02,2016,142885.32,1,
CA,AHOC0030,TAXBOOK,ND,2016-07-02,2016-07-02,2016,-1428.85,-1,
CA,AHOC0030,TAXBOOK,ND,2016-08-01,2016-08-01,2016,-1428.85,-1,
CA,AHOC0030,TAXBOOK,ND,2016-08-31,2016-08-31,2016,-1428.85,-1,
CA,AHOC0030,FINBOOK,CA,2016-06-02,2016-06-02,2016,142885.32,1,
CA,AHOC0030,FINBOOK,ND,2016-07-02,2016-07-02,2016,-1428.85,-1,
CA,AHOC0030,FINBOOK,ND,2016-08-01,2016-08-01,2016,-1428.85,-1,
CA,AHOC0030,FINBOOK,ND,2016-08-31,2016-08-31,2016,-1428.85,-1,
CF,AHOC0031,FINBOOK,CA,2024-07-16,2024-07-16,2024,473847.51,1,
CF,AHOC0031,FINBOOK,ND,2024-08-15,2024-08-15,2024,-4738.48,-1,
CF,AHOC0031,FINBOOK,ND,2024-09-14,2024-09-14,2024,-4738.48,-1,
CF,AHOC0031,FINBOOK,ND,2024-10-14,2024-10-14,2024,-4738.48,-1,
CM,AHOC0032,FINBOOK,CA,2019-04-08,2019-04-08,2019,330930.34,1,
CM,AHOC0032,FINBOOK,ND,2019-05-08,2019-05-08,2019,-3309.3,-1,
CM,AHOC0032,FINBOOK,ND,2019-06-07,2019-06-07,2019,-3309.3,-1,
CM,AHOC0032,FINBOOK,ND,2019-07-07,2019-07-07,2019,-3309.3,-1,
CM,AHOC0032,FINBOOK,SA,2025-11-22,2025-11-22,2025,165465.17,-1,
CM,AHOC0033,FINBOOK,CA,2021-02-23,2021-02-23,2021,299420.29,1,
CM,AHOC0033,FINBOOK,ND,2021-03-25,2021-03-25,2021,-2994.2,-1,
CM,AHOC0033,FINBOOK,ND,2021-04-24,2021-04-24,2021,-2994.2,-1,
CM,AHOC0033,FINBOOK,ND,2021-05-24,2021-05-24,2021,-2994.2,-1,
CF,AHOC0034,FINBOOK,CA,2021-10-02,2021-10-02,2021,235535.19,1,
CF,AHOC0034,FINBOOK,ND,2021-11-01,2021-11-01,2021,-2355.35,-1,
CF,AHOC0034,FINBOOK,ND,2021-12-01,2021-12-01,2021,-2355.35,-1,
CF,AHOC0034,FINBOOK,ND,2021-12-31,2021-12-31,2021,-2355.35,-1,
CA,AHOC0035,TAXBOOK,CA,2018-05-19,2018-05-19,2018,181527.9,1,
CA,AHOC0035,TAXBOOK,ND,2018-06-18,2018-06-18,2018,-1815.28,-1,
CA,AHOC0035,TAXBOOK,ND,2018-07-18,2018-07-18,2018,-1815.28,-1,
CA,AHOC0035,TAXBOOK,ND,2018-08-17,2018-08-17,2018,-1815.28,-1,
CA,AHOC0035,FINBOOK,CA,2018-05-19,2018-05-19,2018,181527.9,1,
CA,AHOC0035,FINBOOK,ND,2018-06-18,2018-06-18,2018,-1815.28,-1,
CA,AHOC0035,FINBOOK,ND,2018-07-18,2018-07-18,2018,-1815.28,-1,
CA,AHOC0035,FINBOOK,ND,2018-08-17,2018-08-17,2018,-1815.28,-1,
CM,AHOC0036,FINBOOK,CA,2021-12-31,2021-12-31,2021,208329.68,1,
CM,AHOC0036,FINBOOK,ND,2022-01-30,2022-01-30,2022,-2083.3,-1,
CM,AHOC0036,FINBOOK,ND,2022-03-01,2022-03-01,2022,-2083.3,-1,
CM,AHOC0036,FINBOOK,ND,2022-03-31,2022-03-31,2022,-2083.3,-1,
CM,AHOC0036,FINBOOK,SA,2023-07-21,2023-07-21,2023,104164.84,-1,
CM,AHOC0037,FINBOOK,CA,2022-04-25,2022-04-25,2022,166887.54,1,
CM,AHOC0037,FINBOOK,ND,2022-05-25,2022-05-25,2022,-1668.88,-1,
CM,AHOC0037,FINBOOK,ND,2022-06-24,2022-06-24,2022,-1668.88,-1,
CM,AHOC0037,FINBOOK,ND,2022-07-24,2022-07-24,2022,-1668.88,-1,
CM,AHOC0037,FINBOOK,SA,2024-04-15,2024-04-15,2024,83443.77,-1,
CA,AHOC0038,FINBOOK,CA,2022-11-17,2022-11-17,2022,434980.46,1,
CA,AHOC0038,FINBOOK,ND,2022-12-17,2022-12-17,2022,-4349.8,-1,
CA,AHOC0038,FINBOOK,ND,2023-01-16,2023-01-16,2023,-4349.8,-1,
CA,AHOC0038,FINBOOK,ND,2023-02-15,2023-02-15,2023,-4349.8,-1,
CF,AHOC0039,TAXBOOK,CA,2023-05-15,2023-05-15,2023,498715.54,1,
CF,AHOC0039,TAXBOOK,ND,2023-06-14,2023-06-14,2023,-4987.16,-1,
CF,AHOC0039,TAXBOOK,ND,2023-07-14,2023-07-14,2023,-4987.16,-1,
CF,AHOC0039,TAXBOOK,ND,2023-08-13,2023-08-13,2023,-4987.16,-1,
CF,AHOC0039,TAXBOOK,SA,2025-01-01,2025-01-01,2025,249357.77,-1,
CF,AHOC0039,FINBOOK,CA,2023-05-15,2023-05-15,2023,498715.54,1,
CF,AHOC0039,FINBOOK,ND,2023-06-14,2023-06-14,2023,-4987.16,-1,
CF,AHOC0039,FINBOOK,ND,2023-07-14,2023-07-14,2023,-4987.16,-1,
CF,AHOC0039,FINBOOK,ND,2023-08-13,2023-08-13,2023,-4987.16,-1,
CF,AHOC0039,FINBOOK,SA,2025-01-01,2025-01-01,2025,249357.77,-1,
CF,AHOC0040,FINBOOK,CA,2019-02-13,2019-02-13,2019,333753.52,1,
CF,AHOC0040,FINBOOK,ND,2019-03-15,2019-03-15,2019,-3337.54,-1,
CF,AHOC0040,FINBOOK,ND,2019-04-14,2019-04-14,2019,-3337.54,-1,
CF,AHOC0040,FINBOOK,ND,2019-05-14,2019-05-14,2019,-3337.54,-1,
CF,AHOC0040,FINBOOK,SA,2022-01-09,2022-01-09,2022,166876.76,-1,
CA,AHOC0041,FINBOOK,CA,2024-02-06,2024-02-06,2024,11947.86,1,
CA,AHOC0041,FINBOOK,ND,2024-03-07,2024-03-07,2024,-119.48,-1,
CA,AHOC0041,FINBOOK,ND,2024-04-06,2024-04-06,2024,-119.48,-1,
CA,AHOC0041,FINBOOK,ND,2024-05-06,2024-05-06,2024,-119.48,-1,
CA,AHOC0042,FINBOOK,CA,2024-06-15,2024-06-15,2024,45976.55,1,
CA,AHOC0042,FINBOOK,ND,2024-07-15,2024-07-15,2024,-459.77,-1,
CA,AHOC0042,FINBOOK,ND,2024-08-14,2024-08-14,2024,-459.77,-1,
CA,AHOC0042,FINBOOK,ND,2024-09-13,2024-09-13,2024,-459.77,-1,
CF,AHOC0043,FINBOOK,CA,2024-10-09,2024-10-09,2024,430210.16,1,
CF,AHOC0043,FINBOOK,ND,2024-11-08,2024-11-08,2024,-4302.1,-1,
CF,AHOC0043,FINBOOK,ND,2024-12-08,2024-12-08,2024,-4302.1,-1,
CF,AHOC0043,FINBOOK,ND,2025-01-07,2025-01-07,2025,-4302.1,-1,
CF,AHOC0043,FINBOOK,SA,2025-05-28,2025-05-28,2025,215105.08,-1,
CF,AHOC0044,FINBOOK,CA,2022-07-22,2022-07-22,2022,457712.7,1,
CF,AHOC0044,FINBOOK,ND,2022-08-21,2022-08-21,2022,-4577.13,-1,
CF,AHOC0044,FINBOOK,ND,2022-09-20,2022-09-20,2022,-4577.13,-1,
CF,AHOC0044,FINBOOK,ND,2022-10-20,2022-10-20,2022,-4577.13,-1,
CF,AHOC0046,FINBOOK,CA,2023-06-30,2023-06-30,2023,31214.49,1,
CF,AHOC0046,FINBOOK,ND,2023-07-30,2023-07-30,2023,-312.14,-1,
CF,AHOC0046,FINBOOK,ND,2023-08-29,2023-08-29,2023,-312.14,-1,
CF,AHOC0046,FINBOOK,ND,2023-09-28,2023-09-28,2023,-312.14,-1,
CA,AHOC0047,TAXBOOK,CA,2024-12-04,2024-12-04,2024,394533.23,1,
CA,AHOC0047,TAXBOOK,ND,2025-01-03,2025-01-03,2025,-3945.33,-1,
CA,AHOC0047,TAXBOOK,ND,2025-02-02,2025-02-02,2025,-3945.33,-1,
CA,AHOC0047,TAXBOOK,ND,2025-03-04,2025-03-04,2025,-3945.33,-1,
CA,AHOC0047,FINBOOK,CA,2024-12-04,2024-12-04,2024,394533.23,1,
CA,AHOC0047,FINBOOK,ND,2025-01-03,2025-01-03,2025,-3945.33,-1,
CA,AHOC0047,FINBOOK,ND,2025-02-02,2025-02-02,2025,-3945.33,-1,
CA,AHOC0047,FINBOOK,ND,2025-03-04,2025-03-04,2025,-3945.33,-1,
CM,AHOC0048,FINBOOK,CA,2026-01-05,2026-01-05,2026,261204.16,1,
CM,AHOC0048,FINBOOK,ND,2026-02-04,2026-02-04,2026,-2612.04,-1,
CM,AHOC0048,FINBOOK,ND,2026-03-06,2026-03-06,2026,-2612.04,-1,
CM,AHOC0049,FINBOOK,CA,2022-12-22,2022-12-22,2022,148153.98,1,
CM,AHOC0049,FINBOOK,ND,2023-01-21,2023-01-21,2023,-1481.54,-1,
CM,AHOC0049,FINBOOK,ND,2023-02-20,2023-02-20,2023,-1481.54,-1,
CM,AHOC0049,FINBOOK,ND,2023-03-22,2023-03-22,2023,-1481.54,-1,
CF,AHOC0050,TAXBOOK,CA,2017-04-29,2017-04-29,2017,47521.82,1,
CF,AHOC0050,TAXBOOK,ND,2017-05-29,2017-05-29,2017,-475.22,-1,
CF,AHOC0050,TAXBOOK,ND,2017-06-28,2017-06-28,2017,-475.22,-1,
CF,AHOC0050,TAXBOOK,ND,2017-07-28,2017-07-28,2017,-475.22,-1,
CF,AHOC0050,TAXBOOK,SA,2018-04-17,2018-04-17,2018,23760.91,-1,
CF,AHOC0050,FINBOOK,CA,2017-04-29,2017-04-29,2017,47521.82,1,
CF,AHOC0050,FINBOOK,ND,2017-05-29,2017-05-29,2017,-475.22,-1,
CF,AHOC0050,FINBOOK,ND,2017-06-28,2017-06-28,2017,-475.22,-1,
CF,AHOC0050,FINBOOK,ND,2017-07-28,2017-07-28,2017,-475.22,-1,
CF,AHOC0050,FINBOOK,SA,2018-04-17,2018-04-17,2018,23760.91,-1,
CA,AHOC0051,FINBOOK,CA,2017-08-02,2017-08-02,2017,287475.9,1,
CA,AHOC0051,FINBOOK,ND,2017-09-01,2017-09-01,2017,-2874.76,-1,
CA,AHOC0051,FINBOOK,ND,2017-10-01,2017-10-01,2017,-2874.76,-1,
CA,AHOC0051,FINBOOK,ND,2017-10-31,2017-10-31,2017,-2874.76,-1,
CA,AHOC0051,FINBOOK,SA,2020-09-22,2020-09-22,2020,143737.95,-1,
CM,AHOC0052,FINBOOK,CA,2016-07-31,2016-07-31,2016,373309.77,1,
CM,AHOC0052,FINBOOK,ND,2016-08-30,2016-08-30,2016,-3733.1,-1,
CM,AHOC0052,FINBOOK,ND,2016-09-29,2016-09-29,2016,-3733.1,-1,
CM,AHOC0052,FINBOOK,ND,2016-10-29,2016-10-29,2016,-3733.1,-1,
CM,AHOC0053,FINBOOK,CA,2017-07-16,2017-07-16,2017,215526.9,1,
CM,AHOC0053,FINBOOK,ND,2017-08-15,2017-08-15,2017,-2155.27,-1,
CM,AHOC0053,FINBOOK,ND,2017-09-14,2017-09-14,2017,-2155.27,-1,
CM,AHOC0053,FINBOOK,ND,2017-10-14,2017-10-14,2017,-2155.27,-1,
CA,AHOC0054,FINBOOK,CA,2022-04-07,2022-04-07,2022,115825.25,1,
CA,AHOC0054,FINBOOK,ND,2022-05-07,2022-05-07,2022,-1158.25,-1,
CA,AHOC0054,FINBOOK,ND,2022-06-06,2022-06-06,2022,-1158.25,-1,
CA,AHOC0054,FINBOOK,ND,2022-07-06,2022-07-06,2022,-1158.25,-1,
CA,AHOC0055,FINBOOK,CA,2023-03-15,2023-03-15,2023,416180.93,1,
CA,AHOC0055,FINBOOK,ND,2023-04-14,2023-04-14,2023,-4161.81,-1,
CA,AHOC0055,FINBOOK,ND,2023-05-14,2023-05-14,2023,-4161.81,-1,
CA,AHOC0055,FINBOOK,ND,2023-06-13,2023-06-13,2023,-4161.81,-1,
CA,AHOC0056,FINBOOK,CA,2025-06-21,2025-06-21,2025,118898.16,1,
CA,AHOC0056,FINBOOK,ND,2025-07-21,2025-07-21,2025,-1188.98,-1,
CA,AHOC0056,FINBOOK,ND,2025-08-20,2025-08-20,2025,-1188.98,-1,
CA,AHOC0056,FINBOOK,SA,2025-09-14,2025-09-14,2025,59449.08,-1,
CF,AHOC0057,FINBOOK,CA,2019-05-13,2019-05-13,2019,29029.89,1,
CF,AHOC0057,FINBOOK,ND,2019-06-12,2019-06-12,2019,-290.3,-1,
CF,AHOC0057,FINBOOK,ND,2019-07-12,2019-07-12,2019,-290.3,-1,
CF,AHOC0057,FINBOOK,ND,2019-08-11,2019-08-11,2019,-290.3,-1,
CA,AHOC0058,FINBOOK,CA,2016-12-18,2016-12-18,2016,52647.44,1,
CA,AHOC0058,FINBOOK,ND,2017-01-17,2017-01-17,2017,-526.47,-1,
CA,AHOC0058,FINBOOK,ND,2017-02-16,2017-02-16,2017,-526.47,-1,
CA,AHOC0058,FINBOOK,ND,2017-03-18,2017-03-18,2017,-526.47,-1,
CA,AHOC0059,FINBOOK,CA,2017-05-04,2017-05-04,2017,339511.29,1,
CA,AHOC0059,FINBOOK,ND,2017-06-03,2017-06-03,2017,-3395.11,-1,
CA,AHOC0059,FINBOOK,ND,2017-07-03,2017-07-03,2017,-3395.11,-1,
CA,AHOC0059,FINBOOK,ND,2017-08-02,2017-08-02,2017,-3395.11,-1,
CF,AHOC0060,FINBOOK,CA,2024-07-29,2024-07-29,2024,47633.03,1,
CF,AHOC0060,FINBOOK,ND,2024-08-28,2024-08-28,2024,-476.33,-1,
CF,AHOC0060,FINBOOK,ND,2024-09-27,2024-09-27,2024,-476.33,-1,
CF,AHOC0060,FINBOOK,ND,2024-10-27,2024-10-27,2024,-476.33,-1,
CF,AHOC0060,FINBOOK,SA,2026-01-28,2026-01-28,2026,23816.515,-1,
CA,AHOC0061,FINBOOK,CA,2025-07-03,2025-07-03,2025,10000.0,1,
CA,AHOC0062,FINBOOK,CA,2025-10-11,2025-10-11,2025,10000.0,1,
CA,AHOC0062,FINBOOK,ND,2025-11-10,2025-11-10,2025,-100.0,-1,
CA,AHOC0062,FINBOOK,ND,2025-12-10,2025-12-10,2025,-100.0,-1,
CA,AHOC0062,FINBOOK,ND,2026-01-09,2026-01-09,2026,-100.0,-1,
CA,AHOC0063,FINBOOK,CA,2024-08-06,2024-08-06,2024,10000.0,1,
CA,AHOC0063,FINBOOK,ND,2024-09-05,2024-09-05,2024,-100.0,-1,
CA,AHOC0063,FINBOOK,ND,2024-10-05,2024-10-05,2024,-100.0,-1,
CA,AHOC0063,FINBOOK,ND,2024-11-04,2024-11-04,2024,-100.0,-1,
CA,AHOC0064,FINBOOK,CA,2023-07-03,2023-07-03,2023,10000.0,1,
CA,AHOC0065,FINBOOK,CA,2025-04-05,2025-04-05,2025,10000.0,1,
CA,AHOC0065,FINBOOK,ND,2025-05-05,2025-05-05,2025,-100.0,-1,
CA,AHOC0065,FINBOOK,ND,2025-06-04,2025-06-04,2025,-100.0,-1,
CA,AHOC0065,FINBOOK,ND,2025-07-04,2025-07-04,2025,-100.0,-1,
CA,AHOC0066,FINBOOK,CA,2024-03-13,2024-03-13,2024,10000.0,1,
CA,AHOC0066,FINBOOK,ND,2024-04-12,2024-04-12,2024,-100.0,-1,
