client,account,description,account_grp,account_type,status,res_bal,bflag,account_rule,period_from,period_to,last_update,head_account
HOL,2102,Accruals 03,GRP2,GL,N,B,0,3,125,1225,14/09/2025,
HOL,2103,Accruals 04,GRP2,GL,N,B,0,8,125,1225,29/09/2025,
HOL,2104,Accruals 05,GRP2,GL,N,B,0,2,125,1225,22/06/2025,
HOL,2105,Accruals 06,GRP2,GL,N,B,0,9,125,1225,15/12/2025,
HOL,3000,Capital 01,GRP3,GL,N,B,0,1,125,1225,07/03/2025,
HOL,3001,Capital 02,GRP3,GL,N,B,0,9,125,1225,27/01/2026,
HOL,3002,Capital 03,GRP3,GL,N,B,0,2,125,1225,05/10/2025,
HOL,3003,Capital 04,GRP3,GL,N,B,0,3,125,1225,10/07/2025,
HOL,3004,Capital 05,GRP3,GL,N,B,0,8,125,1225,02/06/2025,
HOL,3005,Capital 06,GRP3,GL,N,B,0,4,125,1225,13/07/2025,
HOL,3100,Reserves 01,GRP3,GL,N,B,0,1,125,1225,11/11/2025,
HOL,3101,Reserves 02,GRP3,GL,N,B,0,7,125,1225,02/02/2026,
HOL,3102,Reserves 03,GRP3,GL,N,B,0,7,125,1225,21/09/2025,
HOL,3103,Reserves 04,GRP3,GL,N,B,0,8,125,1225,10/09/2025,
HOL,3104,Reserves 05,GRP3,GL,N,B,0,7,125,1225,25/04/2025,
HOL,3105,Reserves 06,GRP3,GL,N,B,0,8,125,1225,16/11/2025,
HOL,5000,Staff Costs 01,GRP5,GL,N,R,0,4,125,1225,05/09/2025,
HOL,5001,Staff Costs 02,GRP5,GL,N,R,0,4,125,1225,05/01/2026,
HOL,5002,Staff Costs 03,GRP5,GL,N,R,0,10,125,1225,02/05/2025,
HOL,5003,Staff Costs 04,GRP5,GL,N,R,0,1,125,1225,27/08/2025,
HOL,5004,Staff Costs 05,GRP5,GL,N,R,0,1,125,1225,09/01/2026,
HOL,5005,Staff Costs 06,GRP5,GL,N,R,0,10,125,1225,04/06/2025,
HOL,5006,Staff Costs 07,GRP5,GL,N,R,0,9,125,1225,08/05/2025,
HOL,5007,Staff Costs 08,GRP5,GL,N,R,0,3,125,1225,05/01/2026,
HOL,5008,Staff Costs 09,GRP5,GL,N,R,0,9,125,1225,24/12/2025,
HOL,5009,Staff Costs 10,GRP5,GL,N,R,0,3,125,1225,30/12/2025,
HOL,5100,Premises 01,GRP5,GL,N,R,0,10,125,1225,31/12/2025,
HOL,5101,Premises 02,GRP5,GL,N,R,0,4,125,1225,12/07/2025,
HOL,5102,Premises 03,GRP5,GL,N,R,0,2,125,1225,18/04/2025,
HOL,5103,Premises 04,GRP5,GL,N,R,0,4,125,1225,13/04/2025,
HOL,5104,Premises 05,GRP5,GL,N,R,0,10,125,1225,14/01/2026,
HOL,5105,Premises 06,GRP5,GL,N,R,0,10,125,1225,24/12/2025,
HOL,5106,Premises 07,GRP5,GL,N,R,0,7,125,1225,11/04/2025,
HOL,5107,Premises 08,GRP5,GL,N,R,0,10,125,1225,12/05/2025,
HOL,5200,IT and Technology 01,GRP5,GL,N,R,0,6,125,1225,23/09/2025,
HOL,5201,IT and Technology 02,GRP5,GL,N,R,0,4,125,1225,27/08/2025,
HOL,5202,IT and Technology 03,GRP5,GL,N,R,0,4,125,1225,21/09/2025,
HOL,5203,IT and Technology 04,GRP5,GL,N,R,0,7,125,1225,28/11/2025,
HOL,5204,IT and Technology 05,GRP5,GL,N,R,0,5,125,1225,14/06/2025,
HOL,5205,IT and Technology 06,GRP5,GL,N,R,0,6,125,1225,28/12/2025,
HOL,5300,Professional Services 01,GRP5,GL,N,R,0,1,125,1225,14/06/2025,
HOL,5301,Professional Services 02,GRP5,GL,N,R,0,10,125,1225,21/04/2025,
HOL,5302,Professional Services 03,GRP5,GL,N,R,0,2,125,1225,28/12/2025,
HOL,5303,Professional Services 04,GRP5,GL,N,R,0,9,125,1225,17/10/2025,
HOL,5304,Professional Services 05,GRP5,GL,N,R,0,9,125,1225,21/09/2025,
HOL,5305,Professional Services 06,GRP5,GL,N,R,0,3,125,1225,09/08/2025,
HOL,9000,Income 01,GRP9,AR,N,R,0,2,125,1225,01/10/2025,
HOL,9001,Income 02,GRP9,AR,N,R,0,6,125,1225,11/09/2025,
HOL,9002,Income 03,GRP9,AR,N,R,0,3,125,1225,24/06/2025,
HOL,9003,Income 04,GRP9,AR,N,R,0,9,125,1225,02/09/2025,
HOL,9004,Income 05,GRP9,AR,N,R,0,10,125,1225,06/03/2025,
HOL,9005,Income 06,GRP9,AR,N,R,0,9,125,1225,30/01/2026,
HOL,9006,Income 07,GRP9,AR,N,R,0,9,125,1225,03/09/2025,
HOL,9007,Income 08,GRP9,AR,N,R,0,2,125,1225,27/11/2025,
HOL,9008,Income 09,GRP9,AR,N,R,0,5,125,1225,06/12/2025,
HOL,9009,Income 10,GRP9,AR,N,R,0,2,125,1225,26/04/2025,
HOC,EC_A001,,GRP5,GL,N,R,0,1,125,1225,25/01/2026,
HOC,EC_A002,EC Missing Group,,GL,N,R,0,1,125,1225,17/01/2026,
HOC,EC_A003,EC Missing ResBal,GRP5,GL,N,,0,1,125,1225,16/01/2026,
HOC,EC_A004,EC Invalid ResBal,GRP5,GL,N,X,0,1,125,1225,27/12/2025,
HOC,EC_A005,EC Invalid Period Range,GRP5,GL,N,R,0,1,1225,125,21/01/2026,
HOC,EC_A006,EC Expired Period Active,GRP5,GL,N,R,0,1,100,200,20/12/2025,
HOC,EC_A007,EC PL in BS Group,GRP1,GL,N,R,0,1,125,1225,13/01/2026,
HOC,EC_A008,EC BS in PL Group,GRP5,GL,N,B,0,1,125,1225,21/01/2026,
HOC,EC_A009,EC Recon Not Control,GRP5,GL,N,R,7,1,125,1225,22/12/2025,
HOC,EC_A010,Duplicate Account Description,GRP5,GL,N,R,0,1,125,1225,25/12/2025,
HOC,EC_A011,Duplicate Account Description,GRP5,GL,N,R,0,1,125,1225,11/12/2025,
HOC,EC_A012,EC Stale Account,GRP5,GL,N,R,0,1,125,1225,25/01/2022,
HOC,EC_A013,EC Closed With Balance,GRP1,GL,C,B,0,1,125,1225,21/10/2024,
