client,asset_id,depr_book_id,trans_type,total_amount,total_cur_amount,max_trans_date,min_trans_date,transaction_count,_edge_case
CM,AHOC0053,FINBOOK,CA,215526.9,215526.9,2017-07-16,2017-07-16,2,
CM,AHOC0053,FINBOOK,ND,-153310.47,-153310.47,2026-03-09,2017-08-15,38,
CA,AHOC0054,FINBOOK,CA,115825.25,115825.25,2022-04-07,2022-04-07,5,
CA,AHOC0054,FINBOOK,ND,-49056.43,-49056.43,2026-03-09,2022-05-07,82,
CA,AHOC0055,FINBOOK,CA,416180.93,416180.93,2023-03-15,2023-03-15,1,
CA,AHOC0055,FINBOOK,ND,-211580.82,-211580.82,2026-03-09,2023-04-14,15,
CA,AHOC0056,FINBOOK,CA,118898.16,118898.16,2025-06-21,2025-06-21,5,
CA,AHOC0056,FINBOOK,ND,-42632.91,-42632.91,2026-03-09,2025-07-21,81,
CA,AHOC0056,FINBOOK,SA,76265.25,76265.25,2025-09-14,2025-09-14,1,
CF,AHOC0057,FINBOOK,CA,29029.89,29029.89,2019-05-13,2019-05-13,1,
CF,AHOC0057,FINBOOK,ND,-13347.56,-13347.56,2026-03-09,2019-06-12,104,
CA,AHOC0058,FINBOOK,CA,52647.44,52647.44,2016-12-18,2016-12-18,4,
CA,AHOC0058,FINBOOK,ND,-22481.27,-22481.27,2026-03-09,2017-01-17,44,
CA,AHOC0059,FINBOOK,CA,339511.29,339511.29,2017-05-04,2017-05-04,1,
CA,AHOC0059,FINBOOK,ND,-118036.37,-118036.37,2026-03-09,2017-06-03,49,
CF,AHOC0060,FINBOOK,CA,47633.03,47633.03,2024-07-29,2024-07-29,1,
CF,AHOC0060,FINBOOK,ND,-24109.54,-24109.54,2026-03-09,2024-08-28,70,
CF,AHOC0060,FINBOOK,SA,23523.49,23523.49,2026-01-28,2026-01-28,1,
CA,AHOC0061,FINBOOK,CA,10000.0,10000.0,2025-07-03,2025-07-03,2,
CA,AHOC0061,FINBOOK,ND,-3475.74,-3475.74,2026-03-09,2025-08-02,104,
CA,AHOC0062,FINBOOK,CA,10000.0,10000.0,2025-10-11,2025-10-11,1,
CA,AHOC0062,FINBOOK,ND,-6691.21,-6691.21,2026-03-09,2025-11-10,67,
CA,AHOC0063,FINBOOK,CA,10000.0,10000.0,2024-08-06,2024-08-06,1,
CA,AHOC0063,FINBOOK,ND,-3549.48,-3549.48,2026-03-09,2024-09-05,13,
CA,AHOC0064,FINBOOK,CA,10000.0,10000.0,2023-07-03,2023-07-03,5,
CA,AHOC0064,FINBOOK,ND,-5222.17,-5222.17,2026-03-09,2023-08-02,15,
CA,AHOC0065,FINBOOK,CA,10000.0,10000.0,2025-04-05,2025-04-05,2,
CA,AHOC0065,FINBOOK,ND,-6314.97,-6314.97,2026-03-09,2025-05-05,11,
CA,AHOC0066,FINBOOK,CA,10000.0,10000.0,2024-03-13,2024-03-13,1,
CA,AHOC0066,FINBOOK,ND,-7172.01,-7172.01,2026-03-09,2024-04-12,95,
CA,AHOC0067,FINBOOK,CA,10000.0,10000.0,2025-08-30,2025-08-30,1,
CA,AHOC0067,FINBOOK,ND,-3524.77,-3524.77,2026-03-09,2025-09-29,40,
CA,AHOC0068,FINBOOK,CA,10000.0,10000.0,2024-09-17,2024-09-17,4,
CA,AHOC0068,FINBOOK,ND,-3938.78,-3938.78,2026-03-09,2024-10-17,103,
CA,AHOC0069,FINBOOK,CA,10000.0,10000.0,2024-09-26,2024-09-26,3,
CA,AHOC0069,FINBOOK,ND,-5918.81,-5918.81,2026-03-09,2024-10-26,56,
CA,AHOC0070,FINBOOK,CA,10000.0,10000.0,2023-11-04,2023-11-04,1,
CA,AHOC0070,FINBOOK,ND,-5840.76,-5840.76,2026-03-09,2023-12-04,87,
CA,AHOC0071,FINBOOK,CA,10000.0,10000.0,2024-12-09,2024-12-09,2,
CA,AHOC0071,FINBOOK,ND,-8970.92,-8970.92,2026-03-09,2025-01-08,37,
CA,AHOC0072,FINBOOK,CA,10000.0,10000.0,2024-06-17,2024-06-17,2,
CA,AHOC0072,FINBOOK,ND,-7349.57,-7349.57,2026-03-09,2024-07-17,66,
CA,AHOC0073,FINBOOK,CA,10000.0,10000.0,2025-12-19,2025-12-19,5,
CA,AHOC0073,FINBOOK,ND,-4286.36,-4286.36,2026-03-09,2026-01-18,53,
CA,AHOC0074,FINBOOK,CA,10000.0,10000.0,2025-10-26,2025-10-26,2,
CA,AHOC0074,FINBOOK,ND,-3768.18,-3768.18,2026-03-09,2025-11-25,67,
CA,AHOC0075,FINBOOK,CA,10000.0,10000.0,2025-05-02,2025-05-02,1,
CA,AHOC0075,FINBOOK,ND,-8588.37,-8588.37,2026-03-09,2025-06-01,99,
CA,AHOC0076,FINBOOK,CA,10000.0,10000.0,2025-09-29,2025-09-29,4,
CA,AHOC0076,FINBOOK,ND,-4874.01,-4874.01,2026-03-09,2025-10-29,27,
CA,AHOC0077,FINBOOK,CA,10000.0,10000.0,2024-03-01,2024-03-01,3,
CA,AHOC0077,FINBOOK,ND,-8563.08,-8563.08,2026-03-09,2024-03-31,111,
CA,AHOC0078,FINBOOK,CA,10000.0,10000.0,2024-11-19,2024-11-19,4,
CA,AHOC0078,FINBOOK,ND,-8733.49,-8733.49,2026-03-09,2024-12-19,28,
CA,AHOC0079,FINBOOK,CA,10000.0,10000.0,2024-07-06,2024-07-06,3,
CA,AHOC0079,FINBOOK,ND,-5425.78,-5425.78,2026-03-09,2024-08-05,10,
CA,AHOC0080,FINBOOK,CA,10000.0,10000.0,2023-11-22,2023-11-22,4,
CA,AHOC0080,FINBOOK,ND,-5154.66,-5154.66,2026-03-09,2023-12-22,20,
CA,AHOC0081,FINBOOK,CA,10000.0,10000.0,2024-11-10,2024-11-10,4,
CA,AHOC0081,FINBOOK,ND,-5669.62,-5669.62,2026-03-09,2024-12-10,102,
CA,AHOC0082,FINBOOK,CA,10000.0,10000.0,2025-04-02,2025-04-02,1,
CA,AHOC0082,FINBOOK,ND,-2526.27,-2526.27,2026-03-09,2025-05-02,57,
CA,AHOC0083,FINBOOK,CA,10000.0,10000.0,2025-01-22,2025-01-22,2,
CA,AHOC0083,FINBOOK,ND,-4677.31,-4677.31,2026-03-09,2025-02-21,69,
CA,AHOC0084,FINBOOK,CA,10000.0,10000.0,2026-02-16,2026-02-16,4,
CA,AHOC0084,FINBOOK,ND,-3536.33,-3536.33,2026-03-18,2026-03-18,45,
CA,AHOC0085,FINBOOK,CA,10000.0,10000.0,2024-04-17,2024-04-17,2,
CA,AHOC0085,FINBOOK,ND,-2616.54,-2616.54,2026-03-09,2024-05-17,69,
CA,AHOC0086,FINBOOK,CA,10000.0,10000.0,2024-05-31,2024-05-31,2,
CA,AHOC0086,FINBOOK,ND,-4255.26,-4255.26,2026-03-09,2024-06-30,120,
CA,AHOC0087,FINBOOK,CA,10000.0,10000.0,2025-07-07,2025-07-07,4,
CA,AHOC0087,FINBOOK,ND,-7303.69,-7303.69,2026-03-09,2025-08-06,24,
CA,AHOC0088,FINBOOK,CA,10000.0,10000.0,2024-11-14,2024-11-14,4,
CA,AHOC0088,FINBOOK,ND,-6186.28,-6186.28,2026-03-09,2024-12-14,92,
CA,AHOC0089,FINBOOK,CA,10000.0,10000.0,2023-09-24,2023-09-24,2,
CA,AHOC0089,FINBOOK,ND,-1054.64,-1054.64,2026-03-09,2023-10-24,50,
CA,AHOC0090,FINBOOK,CA,10000.0,10000.0,2024-05-07,2024-05-07,3,
CA,AHOC0090,FINBOOK,ND,-5917.0,-5917.0,2026-03-09,2024-06-06,29,
CA,AHOC0091,FINBOOK,CA,10000.0,10000.0,2025-08-08,2025-08-08,1,
CA,AHOC0091,FINBOOK,ND,-7630.19,-7630.19,2026-03-09,2025-09-07,116,
CA,AHOC0092,FINBOOK,CA,10000.0,10000.0,2025-10-03,2025-10-03,4,
CA,AHOC0092,FINBOOK,ND,-6382.14,-6382.14,2026-03-09,2025-11-02,40,
CA,AHOC0093,FINBOOK,CA,10000.0,10000.0,2024-04-16,2024-04-16,4,
CA,AHOC0093,FINBOOK,ND,-3995.69,-3995.69,2026-03-09,2024-05-16,115,
CA,AHOC0094,FINBOOK,CA,10000.0,10000.0,2025-07-12,2025-07-12,4,
CA,AHOC0094,FINBOOK,ND,-5255.47,-5255.47,2026-03-09,2025-08-11,106,
CA,AHOC0095,FINBOOK,CA,10000.0,10000.0,2023-10-09,2023-10-09,4,
CA,AHOC0095,FINBOOK,ND,-2874.71,-2874.71,2026-03-09,2023-11-08,28,
CA,AHOC0096,FINBOOK,CA,10000.0,10000.0,2024-08-24,2024-08-24,2,
CA,AHOC0096,FINBOOK,ND,-6007.95,-6007.95,2026-03-09,2024-09-23,55,
CA,AHOC0097,FINBOOK,CA,10000.0,10000.0,2024-12-29,2024-12-29,4,
CA,AHOC0097,FINBOOK,ND,-8317.93,-8317.93,2026-03-09,2025-01-28,72,
CA,AHOC0098,FINBOOK,CA,10000.0,10000.0,2025-07-08,2025-07-08,5,
CA,AHOC0098,FINBOOK,ND,-2736.13,-2736.13,2026-03-09,2025-08-07,27,
CA,AHOC0099,FINBOOK,CA,10000.0,10000.0,2026-01-20,2026-01-20,3,
CA,AHOC0099,FINBOOK,ND,-3877.16,-3877.16,2026-03-09,2026-02-19,113,
CA,AHOC0100,FINBOOK,CA,10000.0,10000.0,2023-11-24,2023-11-24,2,
CA,AHOC0100,FINBOOK,ND,-4038.72,-4038.72,2026-03-09,2023-12-24,107,
CA,AHOC0101,FINBOOK,CA,10000.0,10000.0,2026-01-21,2026-01-21,1,
CA,AHOC0101,FINBOOK,ND,-4299.14,-4299.14,2026-03-09,2026-02-20,108,
CA,AHOC0102,FINBOOK,CA,10000.0,10000.0,2023-07-04,2023-07-04,5,
CA,AHOC0102,FINBOOK,ND,-7505.26,-7505.26,2026-03-09,2023-08-03,87,
CA,AHOC0103,FINBOOK,CA,10000.0,10000.0,2024-07-14,2024-07-14,1,
CA,AHOC0103,FINBOOK,ND,-6229.89,-6229.89,2026-03-09,2024-08-13,110,
CA,AHOC0104,FINBOOK,CA,10000.0,10000.0,2025-11-22,2025-11-22,5,
CA,AHOC0104,FINBOOK,ND,-4804.0,-4804.0,2026-03-09,2025-12-22,6,
CA,,FINBOOK,CA,10000.0,10000.0,2023-12-11,2023-12-11,2,DQ-AB-C01
CA,AHOC0105,FINBOOK,ND,-7323.98,-7323.98,2026-03-09,2024-01-10,89,
CA,AHOC0106,,CA,10000.0,10000.0,2024-10-01,2024-10-01,4,DQ-AB-C02
CA,AHOC0106,FINBOOK,ND,-1685.55,-1685.55,2026-03-09,2024-10-31,80,
CA,AHOC0107,FINBOOK,,10000.0,10000.0,2024-09-25,2024-09-25,4,DQ-AB-C03
CA,AHOC0107,FINBOOK,ND,-4590.75,-4590.75,2026-03-09,2024-10-25,72,
CA,AHOC0108,FINBOOK,CA,,10000.0,2026-01-05,2026-01-05,2,DQ-AB-C04
CA,AHOC0108,FINBOOK,ND,-1506.14,-1506.14,2026-03-09,2026-02-04,56,
CA,AHOC0109,FINBOOK,XX,10000.0,10000.0,2024-08-06,2024-08-06,3,DQ-AB-V01
CA,AHOC0109,FINBOOK,ND,-4444.93,-4444.93,2026-03-09,2024-09-05,106,
CA,AHOC0110,FINBOOK,CA,0.0,10000.0,2025-09-05,2025-09-05,5,DQ-AB-V02
CA,AHOC0110,FINBOOK,ND,-2439.42,-2439.42,2026-03-09,2025-10-05,99,
CA,AHOC0111,FINBOOK,CA,10000.0,10000.0,2099-01-01,2025-04-06,4,DQ-AB-V03
CA,AHOC0111,FINBOOK,ND,-1591.72,-1591.72,2026-03-09,2025-05-06,77,
CA,AHOC0112,FINBOOK,CA,1000.0,10000.0,2025-08-23,2025-08-23,4,DQ-AB-K01
CA,AHOC0112,FINBOOK,ND,-2000.0,-8734.49,2026-03-09,2025-09-22,43,
CA,AHOC0113,FINBOOK,ND,-7650.54,-7650.54,2026-03-09,2025-09-25,94,
CA,AHOC0113,FINBOOK,SA,500.0,500.0,2026-03-24,2026-03-24,1,DQ-AB-K02
CA,AHOC0114,FINBOOK,ND,-5127.95,-5127.95,2026-03-09,2025-12-13,71,DQ-AB-K03
CA,AHOC0115,FINBOOK,CA,10000.0,10000.0,2025-02-23,2025-02-23,1,
CA,AHOC0115,FINBOOK,ND,-5618.78,-5618.78,2026-03-09,2025-03-25,103,
CA,AHOC0116,FINBOOK,CA,10000.0,10000.0,2023-10-22,2023-10-22,3,
CA,AHOC0116,FINBOOK,ND,-8349.46,-8349.46,2026-03-09,2023-11-21,76,
CA,AHOC0117,FINBOOK,CA,10000.0,10000.0,2024-01-04,2024-01-04,2,
CA,AHOC0117,FINBOOK,ND,-2496.79,-2496.79,2026-03-09,2024-02-03,108,
CA,AHOC0118,FINBOOK,CA,10000.0,10000.0,2025-06-24,2025-06-24,2,
CA,AHOC0118,FINBOOK,ND,-3336.72,-3336.72,2026-03-09,2025-07-24,36,
CA,AHOC0119,FINBOOK,CA,10000.0,10000.0,2025-01-03,2025-01-03,2,
CA,AHOC0119,FINBOOK,ND,-3381.67,-3381.67,2026-03-09,2025-02-02,5,
CA,ORPHAN_BAL,FINBOOK,CA,1000.0,1000.0,2026-03-24,2026-03-24,1,DQ-AB-X01
