client,attribute_id,dim_value,description,status,period_from,period_to,rel_value,last_update,wf_state
HOC,COSTC,CC127,Cost Centre CC127,N,125,1225,DEPT_D,25/03/2025,W
HOC,COSTC,CC128,Cost Centre CC128,C,125,1225,DEPT_C,29/04/2025,
HOC,COSTC,CC129,Cost Centre CC129,N,125,1225,DEPT_C,19/10/2025,T
HOC,SUBJ,S100,Subjective S100,N,125,1225,,10/06/2025,T
HOC,SUBJ,S101,Subjective S101,C,125,1225,,17/10/2025,W
HOC,SUBJ,S102,Subjective S102,C,125,1225,,09/11/2025,
HOC,SUBJ,S103,Subjective S103,N,125,1225,,16/05/2025,W
HOC,SUBJ,S104,Subjective S104,N,125,1225,,18/12/2025,T
HOC,SUBJ,S105,Subjective S105,N,125,1225,,11/10/2025,T
HOC,SUBJ,S106,Subjective S106,N,125,1225,,22/01/2026,
HOC,SUBJ,S107,Subjective S107,N,125,1225,,05/06/2025,W
HOC,SUBJ,S108,Subjective S108,N,125,1225,,15/06/2025,T
HOC,SUBJ,S109,Subjective S109,N,125,1225,,22/07/2025,T
HOC,SUBJ,S110,Subjective S110,C,125,1225,,02/10/2025,T
HOC,SUBJ,S111,Subjective S111,N,125,1225,,11/12/2025,T
HOC,SUBJ,S112,Subjective S112,N,125,1225,,05/11/2025,W
HOC,SUBJ,S113,Subjective S113,C,125,1225,,09/01/2026,W
HOC,SUBJ,S114,Subjective S114,N,125,1225,,03/12/2025,T
HOC,SUBJ,S115,Subjective S115,N,125,1225,,11/06/2025,W
HOC,SUBJ,S116,Subjective S116,N,125,1225,,22/06/2025,W
HOC,SUBJ,S117,Subjective S117,C,125,1225,,29/04/2025,T
HOC,SUBJ,S118,Subjective S118,N,125,1225,,05/06/2025,T
HOC,SUBJ,S119,Subjective S119,N,125,1225,,30/09/2025,T
HOC,SUBJ,S120,Subjective S120,C,125,1225,,20/03/2025,T
HOC,SUBJ,S121,Subjective S121,N,125,1225,,23/06/2025,
HOC,SUBJ,S122,Subjective S122,N,125,1225,,06/10/2025,T
HOC,SUBJ,S123,Subjective S123,N,125,1225,,24/08/2025,W
HOC,SUBJ,S124,Subjective S124,N,125,1225,,25/11/2025,T
HOC,ANL1,A110,Programme A110,N,125,1225,,22/07/2025,T
HOC,ANL1,A111,Programme A111,N,125,1225,,02/01/2026,T
HOC,ANL1,A112,Programme A112,C,125,1225,,18/08/2025,W
HOC,ANL1,A113,Programme A113,C,125,1225,,06/07/2025,
HOC,ANL1,A114,Programme A114,N,125,1225,,03/07/2025,T
HOC,ANL1,A115,Programme A115,N,125,1225,,15/04/2025,T
HOC,ANL1,A116,Programme A116,C,125,1225,,31/01/2026,T
HOC,ANL1,A117,Programme A117,N,125,1225,,19/07/2025,T
HOC,ANL1,A118,Programme A118,N,125,1225,,30/05/2025,T
HOC,ANL1,A119,Programme A119,N,125,1225,,25/06/2025,T
HOC,ANL1,A120,Programme A120,N,125,1225,,19/07/2025,T
HOC,ANL1,A121,Programme A121,C,125,1225,,11/11/2025,T
HOC,ANL1,A122,Programme A122,N,125,1225,,22/03/2025,W
HOC,ANL1,A123,Programme A123,N,125,1225,,17/07/2025,W
HOC,ANL1,A124,Programme A124,N,125,1225,,23/12/2025,T
HOC,ANL1,A125,Programme A125,N,125,1225,,12/06/2025,T
HOC,ANL1,A126,Programme A126,N,125,1225,,23/09/2025,T
HOC,ANL1,A127,Programme A127,N,125,1225,,18/10/2025,T
HOC,ANL1,A128,Programme A128,N,125,1225,,15/08/2025,T
HOC,ANL1,A129,Programme A129,N,125,1225,,03/07/2025,T
HOC,ANL2,A210,Project A210,N,125,1225,,08/06/2025,
HOC,ANL2,A211,Project A211,N,125,1225,,08/08/2025,T
HOC,ANL2,A212,Project A212,N,125,1225,,07/03/2025,
HOC,ANL2,A213,Project A213,N,125,1225,,30/09/2025,T
HOC,ANL2,A214,Project A214,N,125,1225,,22/03/2025,T
HOC,ANL2,A215,Project A215,N,125,1225,,01/12/2025,T
HOC,ANL2,A216,Project A216,N,125,1225,,21/04/2025,T
HOC,ANL2,A217,Project A217,C,125,1225,,25/09/2025,T
HOC,ANL2,A218,Project A218,N,125,1225,,30/03/2025,W
HOC,ANL2,A219,Project A219,N,125,1225,,12/11/2025,T
HOC,ANL2,A220,Project A220,N,125,1225,,13/04/2025,
HOC,ANL2,A221,Project A221,N,125,1225,,15/04/2025,T
HOC,ANL2,A222,Project A222,C,125,1225,,25/10/2025,
HOC,ANL2,A223,Project A223,N,125,1225,,13/12/2025,T
HOC,ANL2,A224,Project A224,N,125,1225,,20/04/2025,
HOL,COSTC,CC100,Cost Centre CC100,C,125,1225,DEPT_C,29/07/2025,
HOL,COSTC,CC101,Cost Centre CC101,N,125,1225,DEPT_C,03/07/2025,T
HOL,COSTC,CC102,Cost Centre CC102,C,125,1225,DEPT_A,02/08/2025,T
HOL,COSTC,CC103,Cost Centre CC103,C,125,1225,DEPT_B,05/11/2025,W
HOL,COSTC,CC104,Cost Centre CC104,C,125,1225,DEPT_C,10/06/2025,T
HOL,COSTC,CC105,Cost Centre CC105,N,125,1225,DEPT_C,01/10/2025,
HOL,COSTC,CC106,Cost Centre CC106,C,125,1225,DEPT_C,02/10/2025,T
HOL,COSTC,CC107,Cost Centre CC107,N,125,1225,DEPT_D,20/01/2026,T
HOL,COSTC,CC108,Cost Centre CC108,N,125,1225,DEPT_C,30/05/2025,T
HOL,COSTC,CC109,Cost Centre CC109,N,125,1225,DEPT_C,13/08/2025,T
HOL,COSTC,CC110,Cost Centre CC110,N,125,1225,DEPT_C,15/05/2025,T
HOL,COSTC,CC111,Cost Centre CC111,N,125,1225,DEPT_A,10/07/2025,T
HOL,COSTC,CC112,Cost Centre CC112,C,125,1225,DEPT_B,10/03/2025,T
HOL,COSTC,CC113,Cost Centre CC113,N,125,1225,DEPT_D,18/12/2025,T
HOL,COSTC,CC114,Cost Centre CC114,C,125,1225,DEPT_B,02/10/2025,T
HOL,COSTC,CC115,Cost Centre CC115,C,125,1225,DEPT_C,26/04/2025,W
HOL,COSTC,CC116,Cost Centre CC116,C,125,1225,DEPT_C,28/04/2025,T
HOL,COSTC,CC117,Cost Centre CC117,C,125,1225,DEPT_C,18/09/2025,T
HOL,COSTC,CC118,Cost Centre CC118,N,125,1225,DEPT_C,04/12/2025,T
HOL,COSTC,CC119,Cost Centre CC119,N,125,1225,DEPT_C,05/05/2025,T
HOL,COSTC,CC120,Cost Centre CC120,N,125,1225,DEPT_B,01/06/2025,T
HOL,COSTC,CC121,Cost Centre CC121,N,125,1225,DEPT_C,27/10/2025,T
HOL,COSTC,CC122,Cost Centre CC122,N,125,1225,DEPT_B,04/11/2025,T
HOL,COSTC,CC123,Cost Centre CC123,N,125,1225,DEPT_A,16/09/2025,
HOL,COSTC,CC124,Cost Centre CC124,N,125,1225,DEPT_A,01/12/2025,T
HOL,COSTC,CC125,Cost Centre CC125,N,125,1225,DEPT_A,16/04/2025,T
HOL,COSTC,CC126,Cost Centre CC126,C,125,1225,DEPT_D,23/06/2025,T
HOL,COSTC,CC127,Cost Centre CC127,N,125,1225,DEPT_B,27/09/2025,T
HOL,COSTC,CC128,Cost Centre CC128,N,125,1225,DEPT_A,13/07/2025,T
HOL,COSTC,CC129,Cost Centre CC129,N,125,1225,DEPT_A,18/11/2025,T
HOL,SUBJ,S100,Subjective S100,N,125,1225,,22/12/2025,T
HOL,SUBJ,S101,Subjective S101,N,125,1225,,24/04/2025,T
HOL,SUBJ,S102,Subjective S102,N,125,1225,,12/05/2025,T
HOL,SUBJ,S103,Subjective S103,C,125,1225,,22/06/2025,T
HOL,SUBJ,S104,Subjective S104,C,125,1225,,31/08/2025,W
HOL,SUBJ,S105,Subjective S105,N,125,1225,,28/03/2025,
HOL,SUBJ,S106,Subjective S106,N,125,1225,,20/03/2025,T
HOL,SUBJ,S107,Subjective S107,N,125,1225,,24/12/2025,T
HOL,SUBJ,S108,Subjective S108,N,125,1225,,07/11/2025,W
HOL,SUBJ,S109,Subjective S109,N,125,1225,,15/11/2025,
HOL,SUBJ,S110,Subjective S110,C,125,1225,,18/06/2025,W
HOL,SUBJ,S111,Subjective S111,C,125,1225,,07/09/2025,
HOL,SUBJ,S112,Subjective S112,N,125,1225,,09/09/2025,T
HOL,SUBJ,S113,Subjective S113,C,125,1225,,29/12/2025,T
HOL,SUBJ,S114,Subjective S114,N,125,1225,,20/03/2025,W
HOL,SUBJ,S115,Subjective S115,N,125,1225,,01/07/2025,
HOL,SUBJ,S116,Subjective S116,N,125,1225,,09/03/2025,T
HOL,SUBJ,S117,Subjective S117,N,125,1225,,23/11/2025,
HOL,SUBJ,S118,Subjective S118,N,125,1225,,11/11/2025,T
HOL,SUBJ,S119,Subjective S119,N,125,1225,,24/06/2025,
HOL,SUBJ,S120,Subjective S120,C,125,1225,,01/09/2025,T
HOL,SUBJ,S121,Subjective S121,N,125,1225,,23/05/2025,W
HOL,SUBJ,S122,Subjective S122,C,125,1225,,24/06/2025,
HOL,SUBJ,S123,Subjective S123,N,125,1225,,27/06/2025,T
HOL,SUBJ,S124,Subjective S124,N,125,1225,,21/01/2026,
HOL,ANL1,A110,Programme A110,N,125,1225,,15/04/2025,W
HOL,ANL1,A111,Programme A111,N,125,1225,,19/09/2025,W
HOL,ANL1,A112,Programme A112,N,125,1225,,06/11/2025,T
HOL,ANL1,A113,Programme A113,C,125,1225,,14/09/2025,T
HOL,ANL1,A114,Programme A114,C,125,1225,,15/03/2025,T
HOL,ANL1,A115,Programme A115,N,125,1225,,08/06/2025,T
HOL,ANL1,A116,Programme A116,C,125,1225,,17/08/2025,T
HOL,ANL1,A117,Programme A117,N,125,1225,,13/11/2025,T
HOL,ANL1,A118,Programme A118,C,125,1225,,26/05/2025,T
HOL,ANL1,A119,Programme A119,C,125,1225,,28/04/2025,
HOL,ANL1,A120,Programme A120,C,125,1225,,20/12/2025,T
HOL,ANL1,A121,Programme A121,N,125,1225,,22/08/2025,
HOL,ANL1,A122,Programme A122,C,125,1225,,16/05/2025,
HOL,ANL1,A123,Programme A123,C,125,1225,,07/07/2025,
HOL,ANL1,A124,Programme A124,N,125,1225,,14/05/2025,T
HOL,ANL1,A125,Programme A125,C,125,1225,,20/03/2025,T
HOL,ANL1,A126,Programme A126,N,125,1225,,22/10/2025,T
HOL,ANL1,A127,Programme A127,N,125,1225,,09/09/2025,T
HOL,ANL1,A128,Programme A128,C,125,1225,,03/12/2025,
HOL,ANL1,A129,Programme A129,N,125,1225,,14/11/2025,T
HOL,ANL2,A210,Project A210,N,125,1225,,27/04/2025,T
HOL,ANL2,A211,Project A211,N,125,1225,,11/10/2025,
HOL,ANL2,A212,Project A212,C,125,1225,,05/12/2025,T
HOL,ANL2,A213,Project A213,C,125,1225,,07/09/2025,W
HOL,ANL2,A214,Project A214,N,125,1225,,06/07/2025,T
HOL,ANL2,A215,Project A215,C,125,1225,,02/10/2025,T
HOL,ANL2,A216,Project A216,N,125,1225,,22/07/2025,T
HOL,ANL2,A217,Project A217,N,125,1225,,30/12/2025,T
HOL,ANL2,A218,Project A218,C,125,1225,,13/08/2025,W
HOL,ANL2,A219,Project A219,N,125,1225,,02/02/2026,T
HOL,ANL2,A220,Project A220,N,125,1225,,09/04/2025,W
HOL,ANL2,A221,Project A221,C,125,1225,,19/11/2025,T
HOL,ANL2,A222,Project A222,C,125,1225,,11/08/2025,T
HOL,ANL2,A223,Project A223,C,125,1225,,15/06/2025,T
HOL,ANL2,A224,Project A224,N,125,1225,,04/10/2025,W
HOC,COSTC,EC_D001,,N,125,1225,DEPT_A,10/01/2026,T
HOC,COSTC,EC_D002,EC No Parent CC,N,125,1225,,20/01/2026,T
HOC,COSTC,EC_D003,EC Invalid Period Range,N,1225,125,DEPT_A,11/12/2025,T
HOC,COSTC,EC_D004,EC Expired Period Active,N,100,200,DEPT_A,16/12/2025,T
HOC,COSTC,EC_D005,EC Stuck Workflow,N,125,1225,DEPT_A,08/01/2026,W
HOC,COSTC,EC_D006,EC Orphaned Parent,N,125,1225,DEPT_GHOST,01/02/2026,T
HOC,COSTC,EC_D007,Duplicate Dimension Description,N,125,1225,DEPT_A,14/01/2026,T
HOC,COSTC,EC_D008,Duplicate Dimension Description,N,125,1225,DEPT_B,18/12/2025,T
HOC,COSTC,CC999,Cross House Cost Centre HOC,N,125,1225,DEPT_A,04/01/2026,T
HOL,COSTC,CC999,Cross House Cost Centre HOL,N,125,1225,DEPT_A,20/12/2025,T
HOC,COSTC,EC_D009,EC Stale Dimension,N,125,1225,DEPT_A,25/01/2022,T
HOC,COSTC,EC_D010,EC Inactive With Balances,C,125,1225,DEPT_A,22/08/2024,T
HOC,COSTC,DEPT_A,EC Inactive With Balances,N,125,1225,,01/01/2025,T
