client,asset_id,asset_group,description,short_info,status,wf_state,cap_date_from,cap_period_from,date_from,date_to,apar_id,parent_asset,grant_flag,org_amount,org_amt_date,base_amount,std_amount,ins_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CA,AHOC0041,BLDG,Down-sized homogeneous ability,molestias,N,N,2024-03-19,202403,2024-03-10,,SUPP1803,,0,11947.86,2024-03-19,11947.86,11947.86,13142.65,CC863,DEPT73,PROJ5689,,,,,2026-05-04,sandra46,
CA,AHOC0042,VEH,Total upward-trending toolset,quos,N,,2024-07-27,202407,2024-07-23,,SUPP7807,,0,45976.55,2024-07-27,45976.55,45976.55,50574.21,CC235,DEPT79,PROJ6994,,,,,2026-04-02,snash,
CF,AHOC0043,BLDG,Extended analyzing paradigm,quis,C,,2024-11-20,202411,2024-10-21,2025-07-09,,,0,430210.16,2024-11-20,430210.16,430210.16,473231.18,CC474,DEPT21,PROJ7464,,,,,2026-01-26,morriskevin,
CF,AHOC0044,FURN,Business-focused optimal matrices,provident,N,,2022-09-02,202209,2022-08-23,,,,0,457712.7,2022-09-02,457712.7,457712.7,503483.97,CC575,DEPT99,PROJ5951,,,,,2026-04-18,kevinhunt,
CA,AHOC0045,BLDG,Configurable contextually-based architecture,saepe,N,,,,2024-02-27,,,,0,,,,,,CC524,DEPT93,PROJ2622,,,,,2026-03-28,daviesdamian,
CF,AHOC0046,VEH,Open-architected bottom-line open system,expedita,N,N,2023-08-11,202308,2023-07-31,,SUPP3001,,0,31214.49,2023-08-11,31214.49,31214.49,34335.94,CC943,DEPT68,PROJ2501,,,,,2026-04-19,bibisamantha,
CA,AHOC0047,SOFT,Switchable optimal open system,quasi,N,T,2025-01-15,202501,2025-01-11,,SUPP3370,,0,394533.23,2025-01-15,394533.23,394533.23,433986.55,CC653,DEPT42,PROJ3858,,,,,2026-02-08,elliot35,
CM,AHOC0048,BLDG,Front-line empowering infrastructure,delectus,N,N,2026-02-16,202602,2026-01-26,,,,1,261204.16,2026-02-16,261204.16,261204.16,287324.58,CC590,DEPT61,PROJ7984,,,,,2026-04-22,clare51,
CM,AHOC0049,SOFT,Advanced logistical process improvement,recusandae,N,N,2023-02-02,202302,2023-01-17,,,,0,148153.98,2023-02-02,148153.98,148153.98,162969.38,CC818,DEPT24,PROJ4522,,,,,2026-03-21,fordallan,
CF,AHOC0050,IT_EQ,Profit-focused empowering capacity,laudantium,T,N,2017-06-10,201706,2017-05-15,2018-05-29,,,0,47521.82,2017-06-10,47521.82,47521.82,52274.0,CC233,DEPT81,PROJ1982,,,,,2026-04-10,shawlauren,
CA,AHOC0051,BLDG,Horizontal cohesive intranet,quisquam,C,,2017-09-13,201709,2017-08-20,2020-11-03,,,0,287475.9,2017-09-13,287475.9,287475.9,316223.49,CC938,DEPT89,PROJ1430,,,,,2026-04-12,molly80,
CM,AHOC0052,FURN,Synchronized neutral framework,ut,N,,2016-09-11,201609,2016-09-09,,SUPP8432,,0,373309.77,2016-09-11,373309.77,373309.77,410640.75,CC478,DEPT49,PROJ6314,,,,,2026-05-04,singhaaron,
CM,AHOC0053,VEH,Fundamental bifurcated benchmark,quod,N,,2017-08-27,201708,2017-08-16,,,,0,215526.9,2017-08-27,215526.9,215526.9,237079.59,CC639,DEPT95,PROJ6053,,,,,2026-01-30,abdulbird,
CA,AHOC0054,SOFT,Expanded transitional Graphical User Interface,enim,N,,2022-05-19,202205,2022-04-27,,,,0,115825.25,2022-05-19,115825.25,115825.25,127407.78,CC173,DEPT60,PROJ1693,,,,,2026-03-21,leanne74,
CA,AHOC0055,VEH,Business-focused background productivity,nisi,N,T,2023-04-26,202304,2023-04-12,,SUPP2734,,0,416180.93,2023-04-26,416180.93,416180.93,457799.02,CC703,DEPT61,PROJ9584,,,,,2026-02-04,samuel05,
CA,AHOC0056,FURN,Visionary clear-thinking productivity,fuga,T,,2025-08-02,202508,2025-07-13,2025-10-26,SUPP3842,,0,118898.16,2025-08-02,118898.16,118898.16,130787.98,CC878,DEPT93,PROJ2234,,,,,2026-02-16,angelafisher,
CF,AHOC0057,SOFT,Optimized next generation access,culpa,N,,2019-06-24,201906,2019-06-06,,SUPP8565,,0,29029.89,2019-06-24,29029.89,29029.89,31932.88,CC158,DEPT57,PROJ5703,,,,,2026-02-03,hardinghollie,
CA,AHOC0058,VEH,Distributed needs-based alliance,maxime,N,,2017-01-29,201701,2017-01-15,,,,0,52647.44,2017-01-29,52647.44,52647.44,57912.18,CC761,DEPT32,PROJ1641,,,,,2026-02-25,sharonclarke,
CA,AHOC0059,VEH,Integrated high-level utilization,animi,N,N,2017-06-15,201706,2017-05-29,,SUPP3463,,0,339511.29,2017-06-15,339511.29,339511.29,373462.42,CC696,DEPT94,PROJ3317,,,,,2026-03-10,rhys31,
CF,AHOC0060,BLDG,Multi-channeled zero-defect open architecture,nemo,C,N,2024-09-09,202409,2024-08-19,2026-03-11,,,1,47633.03,2024-09-09,47633.03,47633.03,52396.33,CC416,DEPT33,PROJ4509,,,,,2026-03-09,franktaylor,
CA,,FURN,Enhanced incremental algorithm,dolorum,N,,2025-08-14,202412,2024-12-09,2025-03-16,SUPP3712,,0,10000.0,2024-12-28,299025.97,299025.97,328928.57,CC144,DEPT62,PROJ6968,,,,,2026-04-21,victoria34,DQ-AM-C01
CA,AHOC0062,BLDG,,corrupti,N,T,2025-11-22,202401,2023-12-15,,SUPP5616,,0,10000.0,2024-01-14,285639.28,285639.28,314203.21,CC614,DEPT77,PROJ7859,,,,,2026-02-14,ecarr,DQ-AM-C02
CA,AHOC0063,,Face-to-face dedicated knowledgebase,laudantium,N,,2024-09-17,201906,2019-05-29,2025-03-30,SUPP4637,,0,10000.0,2019-06-12,74526.98,74526.98,81979.68,CC457,DEPT13,PROJ7797,,,,,2026-01-31,julian30,DQ-AM-C03
CA,AHOC0064,BLDG,Switchable content-based initiative,iure,N,N,2023-08-14,201711,,2021-03-10,,,0,10000.0,2017-11-22,458780.69,458780.69,504658.76,CC822,DEPT70,PROJ8349,,,,,2026-04-13,brian45,DQ-AM-C04
CA,AHOC0065,SOFT,Stand-alone multimedia initiative,veritatis,N,,2025-05-17,201901,2019-01-08,,SUPP2816,,0,0.0,2019-01-21,319836.91,319836.91,351820.6,CC611,DEPT86,PROJ9782,,,,,2026-01-27,matthew14,DQ-AM-C05
CA,AHOC0066,SOFT,Enhanced optimal firmware,amet,N,,,,2022-06-13,,,,0,10000.0,,,,,CC581,DEPT15,PROJ7338,,,,,2026-03-13,andersonleigh,DQ-AM-C06
CA,AHOC0067,BLDG,Upgradable zero tolerance functionalities,nostrum,N,,2025-10-11,202003,2020-02-22,,,,0,10000.0,2020-03-19,321755.01,321755.01,,CC286,DEPT27,PROJ2033,,,,,2026-04-26,coopermelissa,DQ-AM-C07
CA,AHOC0068,FURN,Ergonomic eco-centric analyzer,voluptatum,X,T,2024-10-29,201903,2019-03-10,,SUPP1783,,0,10000.0,2019-03-11,376892.17,376892.17,414581.39,CC439,DEPT44,PROJ3039,,,,,2026-03-13,zwinter,DQ-AM-V01
CA,AHOC0069,FURN,Public-key systemic success,velit,N,Y,2024-11-07,201704,2017-03-26,,,,0,10000.0,2017-04-08,301624.2,301624.2,331786.62,CC181,DEPT51,PROJ5843,,,,,2026-03-05,juliewilliams,DQ-AM-V02
CA,AHOC0070,BLDG,Synchronized full-range process improvement,ipsam,N,T,2023-12-16,,2017-03-10,,SUPP3621,,0,-500.0,,,,,CC246,DEPT87,PROJ8179,,,,,2026-01-29,petersclifford,DQ-AM-V03
CA,AHOC0071,VEH,Profit-focused fault-tolerant secured line,nemo,N,,2025-01-20,201704,2024-01-01,2023-01-01,SUPP5566,,0,10000.0,2017-04-04,69709.86,69709.86,76680.85,CC216,DEPT13,PROJ4048,,,,,2026-03-29,sophie48,DQ-AM-V04
CA,AHOC0072,FURN,De-engineered content-based instruction set,vel,N,T,2022-01-01,201712,2023-01-01,,,,0,10000.0,2017-12-10,37951.97,37951.97,41747.17,CC189,DEPT97,PROJ6236,,,,,2026-04-20,ldavies,DQ-AM-V05
CA,AHOC0073,VEH,Seamless non-volatile framework,necessitatibus,N,T,2020-01-01,201901,2019-01-01,,,,0,10000.0,2022-01-01,247516.95,247516.95,272268.65,CC922,DEPT80,PROJ3126,,,,,2026-04-13,rogersrhys,DQ-AM-V06
CA,AHOC0074,VEH,Optional zero tolerance paradigm,sequi,N,,2025-12-07,,2023-07-21,2023-11-03,SUPP3981,,0,10000.0,2023-07-21,712.1,712.1,783.31,CC232,DEPT65,PROJ9238,,,,,2099-01-01,natalie77,DQ-AM-V07
CA,AHOC0075,VEH,Synergistic didactic migration,pariatur,N,T,2025-06-13,202307,2023-06-21,2023-01-01,,,0,10000.0,2023-07-21,137951.07,137951.07,151746.18,CC756,DEPT31,PROJ3526,,,,,2026-02-15,katycunningham,DQ-AM-K01
CA,AHOC0076,BLDG,Profound stable productivity,sit,N,W,2025-11-10,202101,2021-01-07,,,,0,10000.0,2021-01-26,319856.6,319856.6,351842.26,CC757,DEPT48,PROJ8912,,,,,2026-02-25,colin34,DQ-AM-K02
CA,AHOC0077,VEH,Face-to-face dedicated circuit,alias,N,,2024-04-12,201912,2019-12-05,,,,0,5000.0,,494023.66,494023.66,543426.03,CC479,DEPT75,PROJ2739,,,,,2026-03-06,smithalice,DQ-AM-K03
CA,AHOC0078,SOFT,Seamless zero administration archive,odit,N,,2024-12-31,201803,2018-02-20,,,,1,10000.0,2018-03-18,164390.47,164390.47,180829.52,,,,,,,,2026-03-25,kshah,DQ-AM-K04
CA,AHOC0001,BLDG,Ergonomic transitional standardization,molestiae,N,,2024-08-17,202302,2023-01-18,,SUPP1133,,0,10000.0,2023-02-15,421581.97,421581.97,463740.17,CC541,DEPT27,PROJ5333,,,,,2026-04-28,jmatthews,DQ-AM-D01
CA,AHOC0080,IT_EQ,Dup Desc,corrupti,N,,2024-01-03,202508,2025-08-08,,SUPP2584,,0,500.0,2025-08-27,340518.92,340518.92,374570.81,CC913,DEPT53,PROJ6990,,,,,2026-05-01,zlloyd,DQ-AM-D02
CA,AHOC0081,IT_EQ,Dup Desc,architecto,N,N,2024-12-22,202304,2023-03-23,,,,0,500.0,2023-04-02,82088.52,82088.52,90297.37,CC444,DEPT74,PROJ9351,,,,,2026-04-03,adrianmurphy,DQ-AM-D02
CA,AHOC0082,SOFT,Persistent static moderator,ratione,N,T,2025-05-14,202301,2023-01-15,2024-08-10,,ORPHAN_PARENT,0,10000.0,2023-01-30,483568.28,483568.28,531925.11,CC697,DEPT71,PROJ3793,,,,,2026-04-02,angela98,DQ-AM-R04
CA,AHOC0083,BLDG,Optimized neutral knowledge user,dolore,N,,2025-03-05,202012,2020-12-12,,NON_EXISTENT_SUPPLIER,,0,10000.0,2020-12-28,387711.18,387711.18,426482.3,CC163,DEPT27,PROJ9498,,,,,2026-02-20,wpower,DQ-AM-R05
CA,AHOC0084,VEH,Fully-configurable scalable focus group,quasi,N,,2026-03-30,202406,2024-06-06,,,,0,10000.0,2024-06-27,322011.24,322011.24,354212.36,CC352,DEPT45,PROJ5890,,,,,2026-02-22,rjohnson,
CA,AHOC0085,SOFT,Organic asynchronous structure,illo,N,T,2024-05-29,201908,2019-07-29,,SUPP7464,,0,10000.0,2019-08-01,287164.93,287164.93,315881.42,CC891,DEPT28,PROJ5758,,,,,2026-01-30,abdulgoodwin,
CA,AHOC0086,FURN,Quality-focused attitude-oriented challenge,distinctio,N,N,2024-07-12,201708,2017-07-28,,SUPP9700,,0,10000.0,2017-08-16,370704.6,370704.6,407775.06,CC338,DEPT16,PROJ2641,,,,,2026-03-18,jacquelinefaulkner,
CA,AHOC0087,IT_EQ,Triple-buffered didactic architecture,nesciunt,N,,2025-08-18,202411,2024-10-28,2025-09-17,,,0,10000.0,2024-11-27,161262.68,161262.68,177388.95,CC687,DEPT39,PROJ9767,,,,,2026-04-29,dbutcher,
CA,AHOC0088,IT_EQ,Operative analyzing database,nihil,N,T,2024-12-26,,2026-03-07,2026-04-07,,,0,10000.0,2026-03-07,611.17,611.17,672.29,CC565,DEPT92,PROJ9901,,,,,2026-04-02,lfranklin,
CA,AHOC0089,FURN,Total 3rdgeneration task-force,repellat,N,N,2023-11-05,202210,2022-09-18,,,,0,10000.0,2022-10-09,378884.09,378884.09,416772.5,CC515,DEPT64,PROJ9442,,,,,2026-03-07,wjones,
CA,AHOC0090,SOFT,Innovative web-enabled info-mediaries,nihil,N,N,2024-06-18,,2019-09-25,,SUPP6890,,0,10000.0,,,,,CC163,DEPT95,PROJ2936,,,,,2026-03-25,hollylloyd,
CA,AHOC0091,BLDG,Optional mobile algorithm,molestias,N,,2025-09-19,202303,2023-02-21,2025-07-21,,,0,10000.0,2023-03-04,351268.42,351268.42,386395.26,CC945,DEPT37,PROJ5054,,,,,2026-04-22,aimee62,
CA,AHOC0092,IT_EQ,Persistent clear-thinking process improvement,quibusdam,N,N,2025-11-14,202002,2020-01-10,,,,0,10000.0,2020-02-06,260650.43,260650.43,286715.47,CC600,DEPT21,PROJ9361,,,,,2026-03-23,walkerjenna,
CA,AHOC0093,IT_EQ,Re-contextualized stable algorithm,blanditiis,N,,2024-05-28,202409,2024-09-16,,SUPP2044,,0,10000.0,2024-09-22,289577.32,289577.32,318535.05,CC161,DEPT18,PROJ8734,,,,,2026-01-29,dkirk,
CA,AHOC0094,SOFT,Enterprise-wide actuating firmware,modi,N,T,2025-08-23,,2020-07-23,,SUPP6697,,0,10000.0,2020-07-23,967.73,967.73,1064.5,CC650,DEPT60,PROJ9664,,,,,2026-02-10,phillip75,
CA,AHOC0095,IT_EQ,Mandatory well-modulated implementation,hic,N,,2023-11-20,201807,2018-06-18,,SUPP7868,,0,10000.0,2018-07-17,437728.88,437728.88,481501.77,CC116,DEPT40,PROJ4376,,,,,2026-02-02,fsmith,
CA,AHOC0096,SOFT,Phased 3rdgeneration synergy,quis,N,N,2024-10-05,201908,2019-08-04,,SUPP6253,,0,10000.0,2019-08-11,408077.34,408077.34,448885.07,CC997,DEPT28,PROJ9540,,,,,2026-02-22,watkinsbruce,
CA,AHOC0097,SOFT,Face-to-face solution-oriented architecture,totam,N,,2025-02-09,202308,2023-07-25,,SUPP7821,,0,10000.0,2023-08-15,191196.16,191196.16,210315.78,CC407,DEPT58,PROJ4012,,,,,2026-05-01,mitchelllouis,
CA,AHOC0098,VEH,Exclusive 3rdgeneration process improvement,dolor,N,,2025-08-19,202009,2020-09-13,,,,0,10000.0,2020-09-20,128242.83,128242.83,141067.11,CC967,DEPT57,PROJ2514,,,,,2026-04-03,malcolmjones,
CA,AHOC0099,IT_EQ,Customizable non-volatile data-warehouse,omnis,N,,2026-03-03,,2016-07-08,2018-12-22,,,0,10000.0,,,,,CC348,DEPT99,PROJ4350,,,,,2026-03-16,laura29,
CA,AHOC0100,VEH,Robust value-added structure,cum,N,,2024-01-05,,2021-08-12,,,,0,10000.0,,,,,CC523,DEPT15,PROJ4625,,,,,2026-04-29,graemegriffiths,
CA,AHOC0101,BLDG,Assimilated fault-tolerant orchestration,veritatis,N,N,2026-03-04,,2020-02-18,,SUPP6770,,0,10000.0,2020-02-18,839.43,839.43,923.37,CC837,DEPT79,PROJ9000,,,,,2026-02-17,tfrost,
CA,AHOC0102,IT_EQ,Exclusive asynchronous parallelism,voluptas,N,,2023-08-15,201811,2018-10-19,,,,0,10000.0,2018-11-04,228548.82,228548.82,251403.7,CC731,DEPT71,PROJ8993,,,,,2026-01-27,timothyharrison,
CA,AHOC0103,FURN,Innovative systemic policy,cumque,N,T,2024-08-25,201706,2017-06-05,,,,0,10000.0,2017-06-21,75299.85,75299.85,82829.84,CC462,DEPT44,PROJ7502,,,,,2026-02-04,wardanne,
CA,AHOC0104,IT_EQ,Switchable holistic architecture,quae,N,,2026-01-03,202008,2020-07-29,,,,0,10000.0,2020-08-15,238526.54,238526.54,262379.19,CC965,DEPT65,PROJ6427,,,,,2026-04-07,james67,
CA,AHOC0105,VEH,Customer-focused intermediate hierarchy,tempora,N,N,2024-01-22,202206,2022-06-09,2026-03-17,SUPP4394,,0,10000.0,2022-06-27,17417.99,17417.99,19159.79,CC870,DEPT60,PROJ2260,,,,,2026-03-04,bgoddard,
CA,AHOC0106,IT_EQ,Enhanced upward-trending model,totam,N,N,2024-11-12,,2016-12-12,,SUPP7499,,0,10000.0,2016-12-12,308.93,308.93,339.82,CC434,DEPT13,PROJ5478,,,,,2026-05-05,amber87,
CA,AHOC0107,FURN,Persistent intermediate superstructure,rerum,N,,2024-11-06,201905,2019-05-09,,,,0,10000.0,2019-05-13,190620.0,190620.0,209682.0,CC209,DEPT21,PROJ1085,,,,,2026-03-05,brandon31,
CA,AHOC0108,VEH,Grass-roots local encryption,officiis,N,,2026-02-16,202207,2022-07-25,,,,1,10000.0,2022-07-27,298865.35,298865.35,328751.89,CC523,DEPT59,PROJ2387,,,,,2026-04-27,fholt,
CA,AHOC0109,BLDG,Inverse contextually-based matrix,error,N,,2024-09-17,202006,2020-05-25,,,,0,10000.0,2020-06-02,472166.93,472166.93,519383.62,CC209,DEPT27,PROJ5991,,,,,2026-01-25,garry54,
CA,AHOC0110,FURN,Right-sized tangible focus group,quos,N,T,2025-10-17,201912,2019-12-11,2022-04-11,,,0,10000.0,2019-12-30,240025.86,240025.86,264028.45,CC398,DEPT98,PROJ9044,,,,,2026-04-08,lewiskarl,
CA,AHOC0111,VEH,Configurable disintermediate success,nemo,N,T,2025-05-18,202404,2024-04-16,,,,0,10000.0,2024-04-22,219789.02,219789.02,241767.92,CC968,DEPT62,PROJ9180,,,,,2026-02-11,pduffy,
